Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Youngstown State,Cris Carroll,4,14,0.2857142857142857,14.509775260595932,10,-4.509775260595932,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,15.949536962185642,11,-4.9495369621856415
Youngstown State,Rich Rolf,2,4,0.5,4.102336767825437,4,-0.10233676782543721,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.542098469415147,6,0.45790153058485306
Youngstown State,Jason Nelson,3,8,0.375,7.922266165724607,7,-0.922266165724607,1,1,1.0,0.7198808507948548,1,0.28011914920514525,8.642147016519461,8,-0.6421470165194609
Youngstown State,Bryson Dawkins,8,15,0.5333333333333333,16.08949427702452,18,1.9105057229754792,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,17.52925597861423,18,0.47074402138576943
Youngstown State,Cam Polak,0,4,0.0,4.0874274976742395,0,-4.0874274976742395,0,0,0.0,0.0,0,0.0,4.0874274976742395,0,-4.0874274976742395
Youngstown State,Vlad Salaridze,1,9,0.1111111111111111,8.15808739166343,2,-6.158087391663431,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.59784909325314,4,-5.59784909325314
Youngstown State,Tae Blackshear,2,4,0.5,4.060059025416707,6,1.9399409745832932,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.4998207270064166,8,2.5001792729935834
Youngstown State,Imanuel Zorgvol,0,1,0.0,1.0132192687246513,0,-1.0132192687246513,0,0,0.0,0.0,0,0.0,1.0132192687246513,0,-1.0132192687246513
Youngstown State,Tyler Robinett,2,2,1.0,1.9386938251432053,5,3.061306174856795,0,0,0.0,0.0,0,0.0,1.9386938251432053,5,3.061306174856795
Youngstown State,Drew King,1,2,0.5,1.829077047457728,2,0.17092295254227197,0,0,0.0,0.0,0,0.0,1.829077047457728,2,0.17092295254227197
UNC Greensboro,KJ Younger,4,8,0.5,8.276990971674035,9,0.7230090283259649,2,5,0.4,3.599404253974274,2,-1.5994042539742739,11.87639522564831,11,-0.8763952256483094
UNC Greensboro,Donald Whitehead Jr.,5,12,0.4166666666666667,11.660456726749198,12,0.33954327325080236,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,13.820099279133762,14,0.17990072086623776
UNC Greensboro,Justin Neely,4,7,0.5714285714285714,6.9059444411244995,8,1.0940555588755005,8,9,0.8888888888888888,6.478927657153693,8,1.521072342846307,13.384872098278192,16,2.6151279017218076
UNC Greensboro,Domas Kauzonas,1,4,0.25,3.7577401220014712,2,-1.7577401220014712,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.197501823591181,3,-2.197501823591181
UNC Greensboro,Noah Norgaard,4,8,0.5,8.812420793728865,8,-0.8124207937288652,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,10.252182495318575,9,-1.252182495318575
UNC Greensboro,Valentino Pinedo,1,5,0.2,4.65237260096258,2,-2.65237260096258,1,1,1.0,0.7198808507948548,1,0.28011914920514525,5.372253451757435,3,-2.3722534517574347
UNC Greensboro,Lilian Marville,0,1,0.0,0.6661155857154233,0,-0.6661155857154233,0,0,0.0,0.0,0,0.0,0.6661155857154233,0,-0.6661155857154233
UNC Greensboro,Clinton Efinda,1,2,0.5,1.9518582143547936,2,0.048141785645206436,0,0,0.0,0.0,0,0.0,1.9518582143547936,2,0.048141785645206436
UNC Greensboro,Landon King,1,5,0.2,4.801022283948632,2,-2.8010222839486323,0,0,0.0,0.0,0,0.0,4.801022283948632,2,-2.8010222839486323
UNC Greensboro,Assane Mandian,3,3,1.0,2.665466012002981,8,5.334533987997019,0,0,0.0,0.0,0,0.0,2.665466012002981,8,5.334533987997019
