Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Akron,Tavari Johnson,6,15,0.4,14.843378326869678,14,-0.8433783268696775,5,5,1.0,3.599404253974274,5,1.4005957460257261,18.44278258084395,19,0.5572174191560499
Akron,Eric Mahaffey,4,6,0.6666666666666666,5.590831574331353,8,2.409168425668647,0,0,0.0,0.0,0,0.0,5.590831574331353,8,2.409168425668647
Akron,Evan Mahaffey,5,5,1.0,4.976923313477423,11,6.023076686522577,0,0,0.0,0.0,0,0.0,4.976923313477423,11,6.023076686522577
Akron,Amani Lyles,6,10,0.6,10.518924044505281,13,2.4810759554947186,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,15.558090000069264,17,1.4419099999307363
Akron,Shammah Scott,2,6,0.3333333333333333,5.7926035418001405,6,0.20739645819985952,0,0,0.0,0.0,0,0.0,5.7926035418001405,6,0.20739645819985952
Akron,Bowen Hardman,5,6,0.8333333333333334,6.209324348019286,15,8.790675651980713,4,5,0.8,3.599404253974274,4,0.4005957460257261,9.80872860199356,19,9.19127139800644
Akron,Sharron Young,2,7,0.2857142857142857,6.637117281549404,6,-0.6371172815494042,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.076878983139114,8,-0.0768789831391139
Akron,Ognjen Stankovic,0,0,0.0,0.0,0,0.0,2,4,0.5,2.879523403179419,2,-0.879523403179419,2.879523403179419,2,-0.879523403179419
Akron,Marvin Musiime-Kamali,1,1,1.0,1.1009498237415112,2,0.8990501762584888,0,0,0.0,0.0,0,0.0,1.1009498237415112,2,0.8990501762584888
Akron,Halil Barre,0,0,0.0,0.0,0,0.0,3,4,0.75,2.879523403179419,3,0.12047659682058098,2.879523403179419,3,0.12047659682058098
Akron,Zach Halligan,1,1,1.0,1.0134220899495399,2,0.9865779100504601,0,0,0.0,0.0,0,0.0,1.0134220899495399,2,0.9865779100504601
Evansville,Connor Turnbull,0,1,0.0,1.0940943888342287,0,-1.0940943888342287,0,0,0.0,0.0,0,0.0,1.0940943888342287,0,-1.0940943888342287
Evansville,Joshua Hughes,3,5,0.6,4.8640458499763835,6,1.1359541500236165,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.303807551566093,7,0.6961924484339068
Evansville,AJ Casey,4,6,0.6666666666666666,6.177824725567656,8,1.822175274432344,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,11.216990681131639,13,1.783009318868361
Evansville,Alex Hemenway,0,4,0.0,4.3180551841884816,0,-4.3180551841884816,3,3,1.0,2.159642552384564,3,0.8403574476154358,6.477697736573045,3,-3.4776977365730453
Evansville,Keishon Porter,5,12,0.4166666666666667,11.287321956083705,12,0.712678043916295,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,12.727083657673415,13,0.27291634232658524
Evansville,Bryce Quinet,5,8,0.625,8.158664293344659,12,3.8413357066553413,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.598425994934368,13,3.4015740050656316
Evansville,Leif Moeller,2,5,0.4,4.664381064266826,4,-0.6643810642668262,0,0,0.0,0.0,0,0.0,4.664381064266826,4,-0.6643810642668262
Evansville,Trent Hundley,0,1,0.0,1.1073568811359809,0,-1.1073568811359809,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,3.266999433520545,2,-1.266999433520545
Evansville,Kaia Berridge,0,3,0.0,2.977773727068133,0,-2.977773727068133,2,4,0.5,2.879523403179419,2,-0.879523403179419,5.857297130247552,2,-3.8572971302475523
Evansville,James Dyson-Merwe,1,1,1.0,1.0134220899495399,2,0.9865779100504601,0,0,0.0,0.0,0,0.0,1.0134220899495399,2,0.9865779100504601
