Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Rutgers,Jamichael Davis,2,5,0.4,4.034587791926055,5,0.9654122080739453,0,0,0.0,0.0,0,0.0,4.034587791926055,5,0.9654122080739453
Rutgers,Denis Badalau,0,5,0.0,5.376336870414203,0,-5.376336870414203,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.816098572003913,2,-4.816098572003913
Rutgers,Tariq Francis,3,6,0.5,5.057239261218471,7,1.942760738781529,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.497000962808181,9,2.5029990371918194
Rutgers,Dylan Grant,4,8,0.5,6.931139647923331,9,2.068860352076669,1,4,0.25,2.879523403179419,1,-1.879523403179419,9.81066305110275,10,0.1893369488972496
Rutgers,Darren Buchanan Jr.,5,9,0.5555555555555556,8.025069040733026,10,1.974930959266974,3,3,1.0,2.159642552384564,3,0.8403574476154358,10.18471159311759,13,2.8152884068824093
Rutgers,Harun Zrno,3,7,0.42857142857142855,6.87523720610507,9,2.12476279389493,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,11.914403161669053,14,2.0855968383309467
Rutgers,Chris Nwuli,0,2,0.0,1.5833012334064445,0,-1.5833012334064445,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,3.0230629349961537,0,-3.0230629349961537
Rutgers,Emmanuel Ogbole,1,3,0.3333333333333333,2.775626554372584,2,-0.7756265543725842,0,0,0.0,0.0,0,0.0,2.775626554372584,2,-0.7756265543725842
Rutgers,Lino Mark,1,5,0.2,4.977355834225994,2,-2.9773558342259943,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.856879237405414,5,-2.8568792374054137
Rutgers,Kaden Powers,0,2,0.0,1.8353155111223904,0,-1.8353155111223904,0,0,0.0,0.0,0,0.0,1.8353155111223904,0,-1.8353155111223904
Tennessee,Nate Ament,7,14,0.5,12.837770990170121,18,5.162229009829879,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,14.997413542554686,20,5.0025864574453145
Tennessee,Ja'Kobi Gillespie,11,20,0.55,20.456804015135788,28,7.543195984864212,4,5,0.8,3.599404253974274,4,0.4005957460257261,24.056208269110062,32,7.943791730889938
Tennessee,Felix Okpara,4,6,0.6666666666666666,5.646898766305076,9,3.3531012336949244,1,1,1.0,0.7198808507948548,1,0.28011914920514525,6.3667796170999305,10,3.6332203829000695
Tennessee,Ethan Burg,0,1,0.0,1.0152412992655557,0,-1.0152412992655557,0,0,0.0,0.0,0,0.0,1.0152412992655557,0,-1.0152412992655557
Tennessee,Bishop Boswell,1,2,0.5,1.9535672283891306,2,0.04643277161086945,0,0,0.0,0.0,0,0.0,1.9535672283891306,2,0.04643277161086945
Tennessee,J.P. Estrella,3,4,0.75,3.750998300586057,6,2.249001699413943,4,4,1.0,2.879523403179419,4,1.120476596820581,6.630521703765476,10,3.369478296234524
Tennessee,Amari Evans,0,6,0.0,5.8150703324845585,0,-5.8150703324845585,0,0,0.0,0.0,0,0.0,5.8150703324845585,0,-5.8150703324845585
Tennessee,Cade Phillips,1,1,1.0,0.899864948320646,2,1.100135051679354,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.3396266499103557,3,0.6603733500896443
Tennessee,DeWayne Brown II,2,4,0.5,3.7648460768339067,4,0.2351539231660933,0,0,0.0,0.0,0,0.0,3.7648460768339067,4,0.2351539231660933
Tennessee,Jaylen Carey,2,2,1.0,1.9138835307900595,4,2.0861164692099408,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,3.353645232379769,4,0.646354767620231
Tennessee,Troy Henderson,0,1,0.0,0.7757705778168889,0,-0.7757705778168889,0,0,0.0,0.0,0,0.0,0.7757705778168889,0,-0.7757705778168889
