Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Creighton,Nik Graves,0,8,0.0,7.856793262456979,0,-7.856793262456979,0,0,0.0,0.0,0,0.0,7.856793262456979,0,-7.856793262456979
Creighton,Josh Dix,6,10,0.6,8.860371388465538,15,6.139628611534462,0,0,0.0,0.0,0,0.0,8.860371388465538,15,6.139628611534462
Creighton,Jasen Green,6,10,0.6,9.937411168959889,13,3.0625888310401113,2,4,0.5,2.879523403179419,2,-0.879523403179419,12.816934572139308,15,2.183065427860692
Creighton,Blake Harper,0,5,0.0,4.767814804568989,0,-4.767814804568989,0,0,0.0,0.0,0,0.0,4.767814804568989,0,-4.767814804568989
Creighton,Hudson Greer,4,7,0.5714285714285714,7.030699147348594,11,3.969300852651406,1,1,1.0,0.7198808507948548,1,0.28011914920514525,7.750579998143449,12,4.249420001856551
Creighton,Isaac Traudt,3,4,0.75,4.339175928296301,9,4.660824071703699,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.778937629886011,10,4.221062370113989
Creighton,Owen Freeman,3,4,0.75,3.7556621601591034,6,2.2443378398408966,0,0,0.0,0.0,0,0.0,3.7556621601591034,6,2.2443378398408966
Creighton,Fedor Zugic,0,3,0.0,2.979248911239579,0,-2.979248911239579,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.419010612829289,1,-3.4190106128292888
Creighton,Austin Swartz,0,4,0.0,4.472845938078313,0,-4.472845938078313,0,0,0.0,0.0,0,0.0,4.472845938078313,0,-4.472845938078313
Creighton,Kerem Konan,0,2,0.0,1.9902169892488717,0,-1.9902169892488717,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.429978690838581,1,-2.429978690838581
Creighton,Ty Davis,0,1,0.0,1.0448954453887755,0,-1.0448954453887755,0,0,0.0,0.0,0,0.0,1.0448954453887755,0,-1.0448954453887755
Iowa State,Blake Buchanan,6,11,0.5454545454545454,10.909781605853096,12,1.0902183941469037,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,11.629662456647951,12,0.3703375433520488
Iowa State,Joshua Jefferson,8,17,0.47058823529411764,16.80345752641586,17,0.19654247358414167,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,18.243219228005568,18,-0.24321922800556806
Iowa State,Killyan Toure,8,14,0.5714285714285714,14.261416089195523,17,2.7385839108044774,3,4,0.75,2.879523403179419,3,0.12047659682058098,17.14093949237494,20,2.8590605076250597
Iowa State,Milan Momcilovic,3,9,0.3333333333333333,8.061623346628961,8,-0.06162334662896107,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.50138504821867,10,0.4986149517813292
Iowa State,Nate Heise,2,3,0.6666666666666666,2.9424703126108174,5,2.0575296873891826,3,4,0.75,2.879523403179419,3,0.12047659682058098,5.821993715790237,8,2.178006284209763
Iowa State,Jamarion Batemon,0,3,0.0,3.1259808942890777,0,-3.1259808942890777,0,0,0.0,0.0,0,0.0,3.1259808942890777,0,-3.1259808942890777
Iowa State,Dominick Nelson,3,6,0.5,5.6945088233735195,6,0.3054911766264805,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,6.414389674168374,6,-0.41438967416837436
Iowa State,Dominykas Pleta,2,2,1.0,2.1271127829177208,4,1.8728872170822792,0,0,0.0,0.0,0,0.0,2.1271127829177208,4,1.8728872170822792
