Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
East Texas A&M,Evan Phelps,1,4,0.25,4.731314656348239,3,-1.7313146563482391,0,0,0.0,0.0,0,0.0,4.731314656348239,3,-1.7313146563482391
East Texas A&M,Vinny Sigona,2,5,0.4,5.437853158352349,6,0.5621468416476514,0,0,0.0,0.0,0,0.0,5.437853158352349,6,0.5621468416476514
East Texas A&M,Josh Taylor,3,7,0.42857142857142855,6.958687676854597,6,-0.9586876768545967,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,9.118332335875019,8,-1.118332335875019
East Texas A&M,Ronnie Harrison,4,6,0.6666666666666666,5.150320303876359,10,4.849679696123641,2,2,1.0,1.4397631060136147,2,0.5602368939863853,6.590083409889974,12,5.409916590110026
East Texas A&M,Damian Garcia,7,11,0.6363636363636364,11.480617842809206,18,6.519382157190794,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,13.640262501829628,20,6.359737498170372
East Texas A&M,London Fields,1,4,0.25,4.101246666197678,3,-1.101246666197678,2,2,1.0,1.4397631060136147,2,0.5602368939863853,5.541009772211293,5,-0.541009772211293
East Texas A&M,Michael Folarin,0,2,0.0,1.9978645700867643,0,-1.9978645700867643,4,6,0.6666666666666666,4.319289318040844,4,-0.3192893180408438,6.317153888127608,4,-2.317153888127608
East Texas A&M,Gianni Hunt,3,6,0.5,6.502023836679983,6,-0.5020238366799834,4,4,1.0,2.8795262120272294,4,1.1204737879727706,9.381550048707213,10,0.6184499512927868
East Texas A&M,Tay Mosher,3,5,0.6,4.645542246848377,8,3.354457753151623,0,0,0.0,0.0,0,0.0,4.645542246848377,8,3.354457753151623
East Texas A&M,Noah Pagotto,3,4,0.75,4.352756153731965,6,1.6472438462680348,2,2,1.0,1.4397631060136147,2,0.5602368939863853,5.79251925974558,8,2.20748074025442
Army,Kevin McCarthy,4,9,0.4444444444444444,9.350529520961226,12,2.649470479038774,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,10.070411073968033,12,1.9295889260319665
Army,Jorn Everson,1,3,0.3333333333333333,3.0453521063362774,2,-1.0453521063362774,0,0,0.0,0.0,0,0.0,3.0453521063362774,2,-1.0453521063362774
Army,Ryan Curry,3,9,0.3333333333333333,8.922417877445524,8,-0.9224178774455236,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,11.082062536465946,10,-1.082062536465946
Army,Jackson Furman,2,8,0.25,8.658568599759906,5,-3.6585685997599064,0,0,0.0,0.0,0,0.0,8.658568599759906,5,-3.6585685997599064
Army,Jaxson Bell,2,6,0.3333333333333333,6.565866569110792,5,-1.565866569110792,0,0,0.0,0.0,0,0.0,6.565866569110792,5,-1.565866569110792
Army,Joshua Eli,3,3,1.0,3.049807607862572,6,2.950192392137428,3,3,1.0,2.159644659020422,3,0.8403553409795781,5.209452266882995,9,3.7905477331170054
Army,Jacen Holloway,2,8,0.25,8.208663413819076,4,-4.208663413819076,1,3,0.3333333333333333,2.159644659020422,1,-1.159644659020422,10.368308072839499,5,-5.368308072839499
Army,Tate Laczkowski,2,3,0.6666666666666666,2.911831390470119,4,1.0881686095298808,0,0,0.0,0.0,0,0.0,2.911831390470119,4,1.0881686095298808
Army,Alex Engro,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397631060136147,2,0.5602368939863853,1.4397631060136147,2,0.5602368939863853
Army,Dillon Watt,1,1,1.0,1.107341393599315,2,0.892658606400685,4,4,1.0,2.8795262120272294,4,1.1204737879727706,3.9868676056265446,6,2.0131323943734554
Army,Jackson Mayo,1,2,0.5,2.501072448724441,3,0.4989275512755591,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,3.9408355547380554,4,0.05916444526194464
Army,Jahaan Green,0,2,0.0,1.9435209858291274,0,-1.9435209858291274,0,0,0.0,0.0,0,0.0,1.9435209858291274,0,-1.9435209858291274
Army,Dylan Murans,1,2,0.5,1.9592860844940314,2,0.04071391550596859,0,0,0.0,0.0,0,0.0,1.9592860844940314,2,0.04071391550596859
Army,Dylan Benner,0,0,0.0,0.0,0,0.0,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,1.4397631060136147,1,-0.4397631060136147
