Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
NC State,Darrion Williams,5,11,0.45454545454545453,9.893996355923134,12,2.106003644076866,0,0,0.0,0.0,0,0.0,9.893996355923134,12,2.106003644076866
NC State,Quadir Copeland,2,5,0.4,5.535044979912913,4,-1.5350449799129127,4,5,0.8,3.599404253974274,4,0.4005957460257261,9.134449233887187,8,-1.134449233887187
NC State,Tre Holloman,2,5,0.4,4.210410578339045,6,1.7895894216609554,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.650172279928754,8,2.3498277200712456
NC State,Matt Able,3,7,0.42857142857142855,6.813144576272135,7,0.1868554237278648,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.252906277861845,9,0.7470937221381551
NC State,Ven-Allen Lubin,2,6,0.3333333333333333,5.974494846106236,4,-1.9744948461062357,3,6,0.5,4.319285104769128,3,-1.3192851047691283,10.293779950875365,7,-3.293779950875365
NC State,Paul McNeil,2,7,0.2857142857142857,7.231895615384857,5,-2.2318956153848566,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.671657316974565,7,-1.6716573169745654
NC State,Terrance Arceneaux,4,5,0.8,5.522699561305357,9,3.477300438694643,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,7.682342113689922,11,3.3176578863100783
NC State,Alyn Breed,1,2,0.5,2.719327653841198,3,0.2806723461588021,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.159089355430908,5,0.8409106445690924
NC State,Musa Sagnia,1,1,1.0,0.85668386375548,2,1.14331613624452,1,1,1.0,0.7198808507948548,1,0.28011914920514525,1.5765647145503348,3,1.4234352854496652
Boise State,RJ Keene II,3,5,0.6,5.0569442707145065,8,2.9430557292854935,0,0,0.0,0.0,0,0.0,5.0569442707145065,8,2.9430557292854935
Boise State,Dylan Andrews,8,17,0.47058823529411764,16.418721108470653,21,4.581278891529347,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,20.73800621323978,26,5.261993786760218
Boise State,Andrew Meadow,1,4,0.25,3.898342005326576,2,-1.898342005326576,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,8.93750796089056,6,-2.93750796089056
Boise State,Pearson Carmichael,3,7,0.42857142857142855,7.8445744731356735,9,1.1554255268643265,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,10.004217025520237,11,0.9957829744797628
Boise State,Spencer Ahrens,0,2,0.0,1.6738717470596531,0,-1.6738717470596531,0,0,0.0,0.0,0,0.0,1.6738717470596531,0,-1.6738717470596531
Boise State,Dominic Parolin,0,2,0.0,1.7587305302280727,0,-1.7587305302280727,0,0,0.0,0.0,0,0.0,1.7587305302280727,0,-1.7587305302280727
Boise State,Javan Buchanan,2,8,0.25,7.418916592857148,4,-3.4189165928571477,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,12.458082548421132,10,-2.4580825484211317
Boise State,Drew Fielder,0,3,0.0,2.7965100519560564,0,-2.7965100519560564,3,5,0.6,3.599404253974274,3,-0.5994042539742739,6.39591430593033,3,-3.3959143059303303
Boise State,Aginaldo Neto,1,4,0.25,3.431482147583902,3,-0.4314821475839019,1,4,0.25,2.879523403179419,1,-1.879523403179419,6.311005550763321,4,-2.311005550763321
