Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Radford,Del Jones,5,11,0.45454545454545453,10.0263835919227,12,1.9736164080772998,4,6,0.6666666666666666,4.319289318040844,4,-0.3192893180408438,14.345672909963543,16,1.6543270900364568
Radford,Dennis Parker Jr.,6,15,0.4,14.435475724271225,13,-1.4354757242712246,5,5,1.0,3.599407765034037,5,1.4005922349659632,18.034883489305262,18,-0.03488348930526186
Radford,Tyson Brown,1,7,0.14285714285714285,7.622754548026508,2,-5.622754548026508,0,0,0.0,0.0,0,0.0,7.622754548026508,2,-5.622754548026508
Radford,Frederik Erichsen,1,2,0.5,1.5915519807622605,3,1.4084480192377395,2,2,1.0,1.4397631060136147,2,0.5602368939863853,3.031315086775875,5,1.9686849132241249
Radford,Jaylon Johnson,5,14,0.35714285714285715,13.334536851605932,14,0.6654631483940676,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,14.774299957619547,15,0.22570004238045271
Radford,Louie Jordan,3,8,0.375,9.40800935420849,9,-0.40800935420848994,0,0,0.0,0.0,0,0.0,9.40800935420849,9,-0.40800935420848994
Radford,Brennan Rigsby Jr.,2,7,0.2857142857142857,7.930705289963738,4,-3.930705289963738,1,1,1.0,0.7198815530068073,1,0.28011844699319266,8.650586842970545,5,-3.6505868429705455
Radford,Lukas Walls,0,4,0.0,5.133197359984145,0,-5.133197359984145,2,2,1.0,1.4397631060136147,2,0.5602368939863853,6.57296046599776,2,-4.57296046599776
Radford,Mari Jordan,0,1,0.0,0.836838031294938,0,-0.836838031294938,0,0,0.0,0.0,0,0.0,0.836838031294938,0,-0.836838031294938
SMU,Jaron Pierre Jr.,5,13,0.38461538461538464,13.967205573861413,12,-1.9672055738614134,3,3,1.0,2.159644659020422,3,0.8403553409795781,16.126850232881836,15,-1.1268502328818357
SMU,Corey Washington,8,13,0.6153846153846154,14.509862761257576,19,4.490137238742424,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,17.389388973284806,21,3.610611026715194
SMU,B.J. Edwards,4,13,0.3076923076923077,13.427921647741059,9,-4.427921647741059,1,1,1.0,0.7198815530068073,1,0.28011844699319266,14.147803200747866,10,-4.147803200747866
SMU,Boopie Miller,5,9,0.5555555555555556,9.036540010605943,13,3.9634599893940567,12,12,1.0,8.638578636081688,12,3.3614213639183124,17.67511864668763,25,7.324881353312371
SMU,Samet Yigitoglu,2,4,0.5,4.031873258016761,4,-0.031873258016760886,4,8,0.5,5.759052424054459,4,-1.7590524240544587,9.790925682071219,8,-1.7909256820712187
SMU,Jermaine O'Neal Jr.,2,4,0.5,4.928768738973094,5,0.07123126102690591,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,6.368531844986709,6,-0.368531844986709
SMU,B.J. Davis-Ray,0,2,0.0,2.1782417129979015,0,-2.1782417129979015,0,0,0.0,0.0,0,0.0,2.1782417129979015,0,-2.1782417129979015
SMU,Mitchell Holmes,1,1,1.0,1.1009498237415112,2,0.8990501762584888,2,2,1.0,1.4397631060136147,2,0.5602368939863853,2.540712929755126,4,1.4592870702448741
