Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Rhode Island,Myles Corey,6,6,1.0,5.922955707188402,13,7.077044292811598,9,11,0.8181818181818182,7.918689358743403,9,1.0813106412565974,13.841645065931804,22,8.158354934068196
Rhode Island,Alex Crawford,1,2,0.5,1.8018370518713014,2,0.1981629481286986,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.2415987534610107,3,-0.24159875346101067
Rhode Island,Keeyan Itejere,5,6,0.8333333333333334,6.430486003576729,10,3.5695139964232707,0,0,0.0,0.0,0,0.0,6.430486003576729,10,3.5695139964232707
Rhode Island,Jonah Hinton,6,17,0.35294117647058826,17.304364335086795,15,-2.3043643350867953,3,4,0.75,2.879523403179419,3,0.12047659682058098,20.183887738266215,18,-2.1838877382662147
Rhode Island,Jahmere Tripp,3,7,0.42857142857142855,6.8496920708761895,7,0.15030792912381052,4,8,0.5,5.759046806358838,4,-1.759046806358838,12.608738877235027,11,-1.6087388772350266
Rhode Island,Damone King,0,2,0.0,2.2879617428148924,0,-2.2879617428148924,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.727723444404602,2,-1.7277234444046021
Rhode Island,Tyler Cochran,3,8,0.375,8.203673013299131,7,-1.203673013299131,6,9,0.6666666666666666,6.478927657153693,6,-0.4789276571536929,14.682600670452825,13,-1.6826006704528247
Rhode Island,RJ Johnson,0,1,0.0,0.7413735224168854,0,-0.7413735224168854,0,0,0.0,0.0,0,0.0,0.7413735224168854,0,-0.7413735224168854
Rhode Island,Drissa Traore,0,1,0.0,1.0334234031378873,0,-1.0334234031378873,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.473185104727597,1,-1.4731851047275968
Vermont,Lucas Mari,2,6,0.3333333333333333,6.916868567253132,6,-0.9168685672531316,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.35663026884284,8,-0.35663026884284044
Vermont,TJ Long,4,11,0.36363636363636365,11.376573563164786,10,-1.3765735631647864,3,4,0.75,2.879523403179419,3,0.12047659682058098,14.256096966344206,13,-1.2560969663442059
Vermont,Gus Yalden,2,4,0.5,3.52550884741564,5,1.4744911525843598,3,4,0.75,2.879523403179419,3,0.12047659682058098,6.40503225059506,8,1.5949677494049403
Vermont,Ben Johnson,4,7,0.5714285714285714,6.714175618677751,11,4.285824381322249,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,8.15393732026746,11,2.8460626797325403
Vermont,TJ Hurley,1,4,0.25,4.0327539243382935,3,-1.0327539243382935,0,0,0.0,0.0,0,0.0,4.0327539243382935,3,-1.0327539243382935
Vermont,Jackson Skipper,0,2,0.0,2.014703612419351,0,-2.014703612419351,0,0,0.0,0.0,0,0.0,2.014703612419351,0,-2.014703612419351
Vermont,Noah Barnett,1,1,1.0,1.0782383075474127,2,0.9217616924525873,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,5.397523412316541,7,1.6024765876834586
Vermont,Sean Blake,2,6,0.3333333333333333,6.8072269920961155,4,-2.8072269920961155,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,7.52710784289097,4,-3.5271078428909703
Vermont,Momo Nkugwa,1,3,0.3333333333333333,3.8569528755508364,2,-1.8569528755508364,0,0,0.0,0.0,0,0.0,3.8569528755508364,2,-1.8569528755508364
Vermont,Ben Michaels,3,4,0.75,4.23744804369117,6,1.7625519563088297,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.11697144687059,9,1.8830285531294102
