Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Sacred Heart,Fallou Gueye,3,5,0.6,4.96721374891494,7,2.03278625108506,4,4,1.0,2.879523403179419,4,1.120476596820581,7.846737152094359,11,3.1532628479056406
Sacred Heart,Anquan Hill,11,23,0.4782608695652174,20.92979831286563,24,3.0702016871343716,10,11,0.9090909090909091,7.918689358743403,10,2.0813106412565974,28.848487671609032,34,5.151512328390968
Sacred Heart,Yann Farell,7,13,0.5384615384615384,12.423955478862304,18,5.576044521137696,2,2,1.0,1.4397617015897095,2,0.5602382984102905,13.863717180452014,20,6.136282819547986
Sacred Heart,Mekhi Conner,1,7,0.14285714285714285,7.523445272221452,3,-4.523445272221452,0,0,0.0,0.0,0,0.0,7.523445272221452,3,-4.523445272221452
Sacred Heart,Taj Bryant,0,1,0.0,0.9796379463127299,0,-0.9796379463127299,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.4193996479024396,2,-0.41939964790243955
Sacred Heart,Nyle Ralph-Beyer,2,4,0.5,4.390632667227515,6,1.609367332772485,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.830394368817225,8,2.169605631182775
Sacred Heart,Dashon Gittens,7,9,0.7777777777777778,9.11244716842774,17,7.887552831572259,5,5,1.0,3.599404253974274,5,1.4005957460257261,12.711851422402015,22,9.288148577597985
Sacred Heart,Jaden Slaughter,2,3,0.6666666666666666,3.1530602983253857,4,0.8469397016746143,0,0,0.0,0.0,0,0.0,3.1530602983253857,4,0.8469397016746143
Sacred Heart,Abdou Yadd,1,2,0.5,1.9513728641476216,2,0.048627135852378434,0,0,0.0,0.0,0,0.0,1.9513728641476216,2,0.048627135852378434
Central Connecticut,Darin Smith Jr.,12,21,0.5714285714285714,20.59629478772129,27,6.403705212278709,11,12,0.9166666666666666,8.638570209538257,11,2.3614297904617434,29.23486499725955,38,8.76513500274045
Central Connecticut,Max Frazier,9,11,0.8181818181818182,10.887112737848023,18,7.112887262151977,6,10,0.6,7.198808507948548,6,-1.1988085079485478,18.08592124579657,24,5.91407875420343
Central Connecticut,Melo Sanchez,4,7,0.5714285714285714,6.959715071260829,11,4.040284928739171,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,11.998881026824812,17,5.001118973175188
Central Connecticut,Jay Rodgers,3,7,0.42857142857142855,6.623048414890932,7,0.3769515851090679,0,0,0.0,0.0,0,0.0,6.623048414890932,7,0.3769515851090679
Central Connecticut,Daniel James,3,4,0.75,4.081623808658721,6,1.9183761913412791,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.521385510248431,8,2.4786144897515694
Central Connecticut,James Jones,2,4,0.5,3.7474263807895705,4,0.25257361921042953,0,0,0.0,0.0,0,0.0,3.7474263807895705,4,0.25257361921042953
Central Connecticut,Ja'Kobe Williams,2,2,1.0,1.789764428785218,4,2.210235571214782,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,3.2295261303749276,4,0.7704738696250724
Central Connecticut,Gabe Spinelli,2,3,0.6666666666666666,2.794320720723272,4,1.205679279276728,0,0,0.0,0.0,0,0.0,2.794320720723272,4,1.205679279276728
Central Connecticut,Nico Ashley,1,3,0.3333333333333333,2.8731647710500345,2,-0.8731647710500345,0,0,0.0,0.0,0,0.0,2.8731647710500345,2,-0.8731647710500345
