Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Creighton,Nik Graves,0,8,0.0,7.856793262456979,0,-7.856793262456979,0,0,0.0,0.0,0,0.0,7.856793262456979,0,-7.856793262456979
Creighton,Josh Dix,6,10,0.6,8.860371388465538,15,6.139628611534462,0,0,0.0,0.0,0,0.0,8.860371388465538,15,6.139628611534462
Creighton,Jasen Green,6,10,0.6,9.937411168959889,13,3.0625888310401113,2,4,0.5,2.879618279987802,2,-0.8796182799878021,12.817029448947691,15,2.1829705510523087
Creighton,Blake Harper,0,5,0.0,4.767814804568989,0,-4.767814804568989,0,0,0.0,0.0,0,0.0,4.767814804568989,0,-4.767814804568989
Creighton,Hudson Greer,4,7,0.5714285714285714,7.030699147348594,11,3.969300852651406,1,1,1.0,0.7199045699969505,1,0.2800954300030495,7.750603717345545,12,4.249396282654455
Creighton,Isaac Traudt,3,4,0.75,4.339175928296301,9,4.660824071703699,1,2,0.5,1.439809139993901,1,-0.43980913999390103,5.778985068290202,10,4.221014931709798
Creighton,Owen Freeman,3,4,0.75,3.7556621601591034,6,2.2443378398408966,0,0,0.0,0.0,0,0.0,3.7556621601591034,6,2.2443378398408966
Creighton,Fedor Zugic,0,3,0.0,2.979248911239579,0,-2.979248911239579,1,2,0.5,1.439809139993901,1,-0.43980913999390103,4.41905805123348,1,-3.4190580512334803
Creighton,Austin Swartz,0,4,0.0,4.472845938078313,0,-4.472845938078313,0,0,0.0,0.0,0,0.0,4.472845938078313,0,-4.472845938078313
Creighton,Kerem Konan,0,2,0.0,1.9902169892488717,0,-1.9902169892488717,1,2,0.5,1.439809139993901,1,-0.43980913999390103,3.4300261292427727,1,-2.4300261292427727
Creighton,Ty Davis,0,1,0.0,1.0448954453887755,0,-1.0448954453887755,0,0,0.0,0.0,0,0.0,1.0448954453887755,0,-1.0448954453887755
Iowa State,Blake Buchanan,6,11,0.5454545454545454,10.909781605853096,12,1.0902183941469037,0,1,0.0,0.7199045699969505,0,-0.7199045699969505,11.629686175850047,12,0.37031382414995306
Iowa State,Joshua Jefferson,8,17,0.47058823529411764,16.80345752641586,17,0.19654247358414167,1,2,0.5,1.439809139993901,1,-0.43980913999390103,18.24326666640976,18,-0.24326666640975958
Iowa State,Killyan Toure,8,14,0.5714285714285714,14.261416089195523,17,2.7385839108044774,3,4,0.75,2.879618279987802,3,0.12038172001219793,17.141034369183323,20,2.8589656308166767
Iowa State,Milan Momcilovic,3,9,0.3333333333333333,8.061623346628961,8,-0.06162334662896107,2,2,1.0,1.439809139993901,2,0.560190860006099,9.501432486622862,10,0.49856751337713767
Iowa State,Nate Heise,2,3,0.6666666666666666,2.9424703126108174,5,2.0575296873891826,3,4,0.75,2.879618279987802,3,0.12038172001219793,5.82208859259862,8,2.17791140740138
Iowa State,Jamarion Batemon,0,3,0.0,3.1259808942890777,0,-3.1259808942890777,0,0,0.0,0.0,0,0.0,3.1259808942890777,0,-3.1259808942890777
Iowa State,Dominick Nelson,3,6,0.5,5.6945088233735195,6,0.3054911766264805,0,1,0.0,0.7199045699969505,0,-0.7199045699969505,6.41441339337047,6,-0.4144133933704701
Iowa State,Dominykas Pleta,2,2,1.0,2.1271127829177208,4,1.8728872170822792,0,0,0.0,0.0,0,0.0,2.1271127829177208,4,1.8728872170822792
