Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Army,Tate Laczkowski,1,2,0.5,1.79364110510059,2,0.20635889489940995,0,0,0.0,0.0,0,0.0,1.79364110510059,2,0.20635889489940995
Army,Ryan Curry,3,12,0.25,11.873048794264866,8,-3.873048794264866,6,6,1.0,4.319289318040844,6,1.6807106819591562,16.19233811230571,14,-2.192338112305709
Army,Jorn Everson,2,7,0.2857142857142857,6.434835054052449,5,-1.4348350540524493,0,0,0.0,0.0,0,0.0,6.434835054052449,5,-1.4348350540524493
Army,Kevin McCarthy,2,5,0.4,5.1376475060149644,6,0.8623524939850356,3,4,0.75,2.8795262120272294,3,0.12047378797277064,8.017173718042194,9,0.9828262819578057
Army,Jacen Holloway,4,8,0.5,7.482719298504206,8,0.5172807014957943,4,5,0.8,3.599407765034037,4,0.4005922349659632,11.082127063538243,12,0.917872936461757
Army,Jackson Furman,2,5,0.4,4.801890219847897,6,1.1981097801521026,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,6.961534878868319,8,1.038465121131681
Army,Joshua Eli,5,7,0.7142857142857143,7.315160036875253,11,3.6848399631247473,1,3,0.3333333333333333,2.159644659020422,1,-1.159644659020422,9.474804695895674,12,2.525195304104326
Army,Jaxson Bell,3,6,0.5,7.214836911192048,8,0.7851630888079519,8,12,0.6666666666666666,8.638578636081688,8,-0.6385786360816876,15.853415547273736,16,0.1465844527262643
Army,Dayon Polk,1,1,1.0,0.8396758262907604,3,2.1603241737092396,0,0,0.0,0.0,0,0.0,0.8396758262907604,3,2.1603241737092396
Fairleigh Dickinson,Raysean Johnson,4,8,0.5,7.6564825119078606,10,2.3435174880921394,6,8,0.75,5.759052424054459,6,0.24094757594554128,13.41553493596232,16,2.58446506403768
Fairleigh Dickinson,Noah Melson,3,10,0.3,10.66707359974995,9,-1.6670735997499495,0,0,0.0,0.0,0,0.0,10.66707359974995,9,-1.6670735997499495
Fairleigh Dickinson,Eric Parnell,5,13,0.38461538461538464,13.209604146382503,12,-1.2096041463825031,1,1,1.0,0.7198815530068073,1,0.28011844699319266,13.92948569938931,13,-0.9294856993893106
Fairleigh Dickinson,Cyril Martynov,3,10,0.3,9.438526106462168,6,-3.4385261064621684,3,3,1.0,2.159644659020422,3,0.8403553409795781,11.59817076548259,9,-2.5981707654825907
Fairleigh Dickinson,Joey Niesman,3,9,0.3333333333333333,8.939263993527705,6,-2.939263993527705,0,0,0.0,0.0,0,0.0,8.939263993527705,6,-2.939263993527705
Fairleigh Dickinson,Taeshaud Jackson,3,5,0.6,4.674911381963837,6,1.3250886180361627,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,6.114674487977452,7,0.8853255120225478
Fairleigh Dickinson,Arthur Cox,2,6,0.3333333333333333,5.799383229563828,4,-1.7993832295638281,6,9,0.6666666666666666,6.478933977061266,6,-0.47893397706126617,12.278317206625093,10,-2.2783172066250934
Fairleigh Dickinson,David Jevtic,1,2,0.5,2.238275114574858,3,0.7617248854251422,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,3.6780382205884727,3,-0.6780382205884727
