Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Boston University,Michael McNair,10,15,0.6666666666666666,14.766635224948029,27,12.233364775051971,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,16.206398330961644,28,11.793601669038356
Boston University,Ben Defty,1,2,0.5,1.702879130150105,2,0.29712086984989505,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,4.582405342177334,4,-0.5824053421773341
Boston University,Ben Roy,4,6,0.6666666666666666,6.345198486379248,9,2.654801513620752,2,2,1.0,1.4397631060136147,2,0.5602368939863853,7.784961592392863,11,3.215038407607137
Boston University,Azmar Abdullah,4,8,0.5,9.131498354470832,11,1.868501645529168,0,0,0.0,0.0,0,0.0,9.131498354470832,11,1.868501645529168
Boston University,Sam Hughes,3,9,0.3333333333333333,9.333161711885966,8,-1.3331617118859658,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,11.492806370906388,10,-1.4928063709063881
Boston University,Malcolm Chimezie,4,4,1.0,4.013267825585656,8,3.9867321744143442,0,0,0.0,0.0,0,0.0,4.013267825585656,8,3.9867321744143442
Boston University,Ethan Okwuosa,3,6,0.5,6.401135172019655,9,2.5988648279803446,0,0,0.0,0.0,0,0.0,6.401135172019655,9,2.5988648279803446
Boston University,Chance Gladden,2,4,0.5,3.8045494805906683,4,0.19545051940933167,2,2,1.0,1.4397631060136147,2,0.5602368939863853,5.244312586604283,6,0.7556874133957168
Penn State,Eli Rice,3,6,0.5,6.294593955460703,8,1.7054060445392967,3,4,0.75,2.8795262120272294,3,0.12047378797277064,9.174120167487933,11,1.8258798325120669
Penn State,Melih Tunca,4,9,0.4444444444444444,9.04683956316173,9,-0.04683956316173088,7,9,0.7777777777777778,6.478933977061266,7,0.5210660229387338,15.525773540222996,16,0.47422645977700384
Penn State,Kayden Mingo,5,9,0.5555555555555556,8.800092887425436,11,2.1999071125745644,3,7,0.42857142857142855,5.039170871047651,3,-2.0391708710476513,13.839263758473088,14,0.16073624152691224
Penn State,Josh Reed,5,6,0.8333333333333334,5.595874525016951,11,5.404125474983049,6,6,1.0,4.319289318040844,6,1.6807106819591562,9.915163843057794,17,7.084836156942206
Penn State,Dominick Stewart,3,5,0.6,5.79273863854767,7,1.2072613614523302,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,7.232501744561285,8,0.7674982554387153
Penn State,Freddie Dilione V,3,8,0.375,7.899708566950118,8,0.10029143304988164,0,0,0.0,0.0,0,0.0,7.899708566950118,8,0.10029143304988164
Penn State,Saa Ciani,1,3,0.3333333333333333,3.101113160351593,2,-1.1011131603515931,0,0,0.0,0.0,0,0.0,3.101113160351593,2,-1.1011131603515931
Penn State,Tibor Mirtic,2,2,1.0,2.186563135275285,4,1.8134368647247152,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,3.6263262412888997,5,1.3736737587111003
Penn State,Ivan Juric,4,4,1.0,4.089624687286681,8,3.9103753127133194,7,10,0.7,7.198815530068074,7,-0.19881553006807362,11.288440217354754,15,3.7115597826452458
