Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Georgia State,Christian Beam,2,4,0.5,3.954600330012829,4,0.04539966998717082,0,0,0.0,0.0,0,0.0,3.954600330012829,4,0.04539966998717082
Georgia State,Joah Chappelle,6,16,0.375,15.355417308390455,14,-1.3554173083904555,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,16.07529886139726,14,-2.075298861397261
Georgia State,Ayouba Berthe,3,10,0.3,10.811501247740885,9,-1.8115012477408854,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,12.2512643537545,10,-2.2512643537545003
Georgia State,Micah Tucker,6,16,0.375,16.187768131506832,13,-3.1877681315068322,2,2,1.0,1.4397631060136147,2,0.5602368939863853,17.627531237520447,15,-2.627531237520447
Georgia State,Malachi Brown,2,9,0.2222222222222222,8.490261805644625,4,-4.490261805644625,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,12.80955112368547,9,-3.8095511236854698
Georgia State,Chris Jones,0,2,0.0,1.6302736178961108,0,-1.6302736178961108,0,0,0.0,0.0,0,0.0,1.6302736178961108,0,-1.6302736178961108
Georgia State,Trey Scott III,1,6,0.16666666666666666,5.854236917936257,3,-2.854236917936257,0,0,0.0,0.0,0,0.0,5.854236917936257,3,-2.854236917936257
Georgia State,Isaiah Sherrard,1,3,0.3333333333333333,2.918596274565098,2,-0.9185962745650982,1,1,1.0,0.7198815530068073,1,0.28011844699319266,3.6384778275719056,3,-0.6384778275719056
Georgia State,James Cooper,0,1,0.0,0.9419444190220513,0,-0.9419444190220513,0,0,0.0,0.0,0,0.0,0.9419444190220513,0,-0.9419444190220513
New Mexico State,Jemel Jones,4,13,0.3076923076923077,11.765758642632443,8,-3.765758642632443,4,5,0.8,3.599407765034037,4,0.4005922349659632,15.36516640766648,12,-3.3651664076664805
New Mexico State,Julius Mims,3,7,0.42857142857142855,6.990889487309471,6,-0.9908894873094711,0,0,0.0,0.0,0,0.0,6.990889487309471,6,-0.9908894873094711
New Mexico State,Gabe Pickens,2,7,0.2857142857142857,6.369788197515785,4,-2.369788197515785,0,0,0.0,0.0,0,0.0,6.369788197515785,4,-2.369788197515785
New Mexico State,Anthony Wrzeszcz,1,4,0.25,4.723273313023655,3,-1.7232733130236548,0,0,0.0,0.0,0,0.0,4.723273313023655,3,-1.7232733130236548
New Mexico State,Kyrese Mullen,3,6,0.5,5.590060525741054,6,0.4099394742589464,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,6.309942078747861,6,-0.30994207874786106
New Mexico State,Jayland Randall,3,8,0.375,7.867795455818093,9,1.1322045441819073,0,0,0.0,0.0,0,0.0,7.867795455818093,9,1.1322045441819073
New Mexico State,Cyr Malonga,1,3,0.3333333333333333,2.870410952149177,2,-0.870410952149177,3,4,0.75,2.8795262120272294,3,0.12047378797277064,5.749937164176407,5,-0.7499371641764068
New Mexico State,Chris Terrell,4,10,0.4,9.004085791436184,9,-0.004085791436184039,2,2,1.0,1.4397631060136147,2,0.5602368939863853,10.443848897449799,11,0.5561511025502011
New Mexico State,JaeCoby Osborne,3,4,0.75,3.988885495102645,6,2.011114504897355,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,5.42864860111626,7,1.5713513988837402
New Mexico State,Elijah Elliott,4,11,0.36363636363636365,10.910722311051613,11,0.08927768894838728,0,0,0.0,0.0,0,0.0,10.910722311051613,11,0.08927768894838728
New Mexico State,Amarco Doyle,1,3,0.3333333333333333,3.3575277828514407,3,-0.3575277828514407,0,0,0.0,0.0,0,0.0,3.3575277828514407,3,-0.3575277828514407
