Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Houston Christian,Demarco Bethea,2,6,0.3333333333333333,6.078080833115427,4,-2.0780808331154272,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,7.517842534705137,4,-3.517842534705137
Houston Christian,Elijah Brooks,7,13,0.5384615384615384,11.518888232313754,14,2.4811117676862455,3,7,0.42857142857142855,5.039165955563983,3,-2.039165955563983,16.558054187877737,17,0.44194581212226325
Houston Christian,Kylin Green,9,11,0.8181818181818182,10.711540867268404,23,12.288459132731596,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,12.151302568858114,24,11.848697431141886
Houston Christian,Mambourou Mara,0,3,0.0,3.050657805324853,0,-3.050657805324853,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,4.490419506914563,0,-4.490419506914563
Houston Christian,Nehikhare Igiehon,0,1,0.0,1.125764614752841,0,-1.125764614752841,0,4,0.0,2.879523403179419,0,-2.879523403179419,4.00528801793226,0,-4.00528801793226
Houston Christian,D'Aundre Samuels,0,2,0.0,1.4905314519370694,0,-1.4905314519370694,0,0,0.0,0.0,0,0.0,1.4905314519370694,0,-1.4905314519370694
Houston Christian,Trent Johnson,2,4,0.5,4.160758080847949,6,1.8392419191520508,4,4,1.0,2.879523403179419,4,1.120476596820581,7.040281484027368,10,2.9597185159726322
Houston Christian,Ryan Bartley,4,9,0.4444444444444444,10.039667323480819,11,0.9603326765191813,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,10.759548174275674,11,0.24045182572432644
Houston Christian,Demari Williams,1,1,1.0,0.8081833406741672,2,1.1918166593258328,0,0,0.0,0.0,0,0.0,0.8081833406741672,2,1.1918166593258328
Houston Christian,Caleb Gaston,0,1,0.0,0.9588596508244842,0,-0.9588596508244842,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.3986213524141937,1,-1.3986213524141937
Bellarmine,Brian Waddell,5,8,0.625,7.2340738656853505,11,3.7659261343146495,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,11.553358970454479,16,4.446641029545521
Bellarmine,Myles Watkins,2,3,0.6666666666666666,2.739253715815673,4,1.2607462841843269,0,0,0.0,0.0,0,0.0,2.739253715815673,4,1.2607462841843269
Bellarmine,Jack Karasinski,9,12,0.75,12.233873651363867,22,9.766126348636133,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,17.27303960692785,28,10.72696039307215
Bellarmine,Sam Donald,2,4,0.5,3.8928459892716143,4,0.1071540107283857,0,0,0.0,0.0,0,0.0,3.8928459892716143,4,0.1071540107283857
Bellarmine,Kenyon Goodin,2,6,0.3333333333333333,6.128149614262137,4,-2.128149614262137,3,3,1.0,2.159642552384564,3,0.8403574476154358,8.287792166646701,7,-1.2877921666467014
Bellarmine,Michael Wilson Jr.,3,5,0.6,4.850919906702415,7,2.1490800932975853,0,0,0.0,0.0,0,0.0,4.850919906702415,7,2.1490800932975853
Bellarmine,Grant Whitaker,2,2,1.0,1.740377398583675,4,2.259622601416325,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.1801391001733847,6,2.8198608998266153
Bellarmine,Darrius Bolden,0,2,0.0,1.7774617623833975,0,-1.7774617623833975,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.2172234639731068,2,-1.2172234639731068
