Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Maryland,Pharrel Payne,5,10,0.5,9.971322346988353,10,0.028677653011646598,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,14.29060745175748,14,-0.2906074517574808
Maryland,Darius Adams,3,8,0.375,7.328491340199529,8,0.6715086598004714,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,12.367657295763511,13,0.6323427042364891
Maryland,Elijah Saunders,3,5,0.6,4.892655966440616,6,1.107344033559384,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,7.0522985188251806,8,0.9477014811748194
Maryland,Myles Rice,0,2,0.0,1.76997817853922,0,-1.76997817853922,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.2097398801289296,1,-2.2097398801289296
Maryland,David Coit,2,7,0.2857142857142857,5.922900199533284,4,-1.9229001995332844,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.362661901122994,6,-1.3626619011229941
Maryland,Andre Mills,4,8,0.5,7.638635983578452,9,1.3613640164215477,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.078397685168161,11,1.9216023148318389
Maryland,Guillermo Del Pino,1,5,0.2,5.029499903425147,3,-2.0294999034251466,0,0,0.0,0.0,0,0.0,5.029499903425147,3,-2.0294999034251466
Maryland,Isaiah Watts,1,6,0.16666666666666666,6.005580245812768,3,-3.0055802458127676,0,0,0.0,0.0,0,0.0,6.005580245812768,3,-3.0055802458127676
Maryland,Aleks Alston,1,3,0.3333333333333333,2.9699087504331008,2,-0.9699087504331008,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,3.6897896012279556,2,-1.6897896012279556
Maryland,Collin Metcalf,0,1,0.0,0.738074461784591,0,-0.738074461784591,0,0,0.0,0.0,0,0.0,0.738074461784591,0,-0.738074461784591
Gonzaga,Tyon Grant-Foster,3,7,0.42857142857142855,7.38663473395954,6,-1.3866347339595402,0,0,0.0,0.0,0,0.0,7.38663473395954,6,-1.3866347339595402
Gonzaga,Graham Ike,4,7,0.5714285714285714,6.036220943378912,9,2.963779056621088,4,4,1.0,2.879523403179419,4,1.120476596820581,8.91574434655833,13,4.084255653441669
Gonzaga,Braden Huff,9,10,0.9,9.915826662808383,19,9.084173337191617,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,12.075469215192948,20,7.924530784807052
Gonzaga,Mario Saint-Supry,1,5,0.2,5.131725224678263,2,-3.131725224678263,0,0,0.0,0.0,0,0.0,5.131725224678263,2,-3.131725224678263
Gonzaga,Adam Miller,2,5,0.4,5.194363477530266,5,-0.19436347753026606,0,0,0.0,0.0,0,0.0,5.194363477530266,5,-0.19436347753026606
Gonzaga,Jalen Warley,2,2,1.0,1.5639577452316602,4,2.43604225476834,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.0037194468213695,5,1.9962805531786305
Gonzaga,Emmanuel Innocenti,5,7,0.7142857142857143,7.137361024643017,15,7.862638975356983,0,0,0.0,0.0,0,0.0,7.137361024643017,15,7.862638975356983
Gonzaga,Braeden Smith,2,3,0.6666666666666666,3.3933363073500304,5,1.6066636926499696,0,0,0.0,0.0,0,0.0,3.3933363073500304,5,1.6066636926499696
Gonzaga,Steele Venters,4,7,0.5714285714285714,7.236920127289362,12,4.763079872710638,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.67668182887907,14,5.323318171120929
Gonzaga,Davis Fogle,3,7,0.42857142857142855,6.705798211843717,6,-0.7057982118437174,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.145559913433427,8,-0.1455599134334271
Gonzaga,Ismaila Diagne,1,1,1.0,1.0908464688534487,2,0.9091535311465513,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.5306081704431582,4,1.4693918295568418
Gonzaga,Noah Haaland,0,2,0.0,2.217304500973931,0,-2.217304500973931,0,0,0.0,0.0,0,0.0,2.217304500973931,0,-2.217304500973931
