Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
New Orleans,Coleton Benson,2,10,0.2,9.610023249522007,6,-3.6100232495220066,0,0,0.0,0.0,0,0.0,9.610023249522007,6,-3.6100232495220066
New Orleans,Churchill Abass,2,5,0.4,4.767785895706311,4,-0.7677858957063108,0,0,0.0,0.0,0,0.0,4.767785895706311,4,-0.7677858957063108
New Orleans,Jakevion Buckley,6,12,0.5,10.745970490115042,12,1.2540295098849583,4,8,0.5,5.759046806358838,4,-1.759046806358838,16.50501729647388,16,-0.5050172964738806
New Orleans,MJ Thomas,1,3,0.3333333333333333,2.5403464720826037,2,-0.5403464720826037,1,1,1.0,0.7198808507948548,1,0.28011914920514525,3.2602273228774585,3,-0.26022732287745853
New Orleans,TJ Cope,2,5,0.4,5.321985743404868,4,-1.321985743404868,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,6.041866594199723,4,-2.041866594199723
New Orleans,Enzo Boudouma,1,7,0.14285714285714285,6.327238272581324,2,-4.327238272581324,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.766999974171034,4,-3.766999974171034
New Orleans,Mathok Majok,4,5,0.8,4.7281366980036,8,3.2718633019964,1,1,1.0,0.7198808507948548,1,0.28011914920514525,5.448017548798455,9,3.551982451201545
New Orleans,Kedrick Osby,0,2,0.0,1.7840601303142987,0,-1.7840601303142987,0,0,0.0,0.0,0,0.0,1.7840601303142987,0,-1.7840601303142987
New Orleans,Panagiotis Pagonis,0,1,0.0,1.0132192687246513,0,-1.0132192687246513,0,0,0.0,0.0,0,0.0,1.0132192687246513,0,-1.0132192687246513
New Orleans,Jamal Chretien II,1,2,0.5,2.1035448633482092,2,-0.10354486334820923,0,0,0.0,0.0,0,0.0,2.1035448633482092,2,-0.10354486334820923
New Orleans,Irish Coquia,1,2,0.5,1.8336631162602541,2,0.16633688373974587,0,0,0.0,0.0,0,0.0,1.8336631162602541,2,0.16633688373974587
Texas Tech,JT Toppin,9,18,0.5,17.38407026207114,19,1.6159297379288589,0,3,0.0,2.159642552384564,0,-2.159642552384564,19.543712814455706,19,-0.5437128144557057
Texas Tech,Donovan Atwell,5,9,0.5555555555555556,9.384396169670953,13,3.6156038303290465,0,0,0.0,0.0,0,0.0,9.384396169670953,13,3.6156038303290465
Texas Tech,Christian Anderson,8,13,0.6153846153846154,12.613499926433281,22,9.386500073566719,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,14.053261628022991,23,8.946738371977009
Texas Tech,Jaylen Petty,0,4,0.0,3.76803623751072,0,-3.76803623751072,0,0,0.0,0.0,0,0.0,3.76803623751072,0,-3.76803623751072
Texas Tech,LeJuan Watts,2,11,0.18181818181818182,10.470887914017142,5,-5.470887914017142,7,10,0.7,7.198808507948548,7,-0.19880850794854776,17.66969642196569,12,-5.669696421965689
Texas Tech,Luke Bamgboye,3,5,0.6,4.5940972951753265,6,1.4059027048246735,7,10,0.7,7.198808507948548,7,-0.19880850794854776,11.792905803123874,13,1.2070941968761257
Texas Tech,Tyeree Bryan,0,1,0.0,1.5167383528949956,0,-1.5167383528949956,0,0,0.0,0.0,0,0.0,1.5167383528949956,0,-1.5167383528949956
Texas Tech,Leon Horner,1,2,0.5,1.8651074901051576,2,0.13489250989484236,0,0,0.0,0.0,0,0.0,1.8651074901051576,2,0.13489250989484236
Texas Tech,Nolan Groves,0,1,0.0,1.0655971295630238,0,-1.0655971295630238,0,0,0.0,0.0,0,0.0,1.0655971295630238,0,-1.0655971295630238
