Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Omaha,Ja'Sean Glover,3,9,0.3333333333333333,9.740771620588067,6,-3.740771620588067,3,3,1.0,2.159644659020422,3,0.8403553409795781,11.90041627960849,9,-2.900416279608489
Omaha,Kamryn Thomas,4,9,0.4444444444444444,10.266446938850464,10,-0.2664469388504642,5,8,0.625,5.759052424054459,5,-0.7590524240544587,16.025499362904924,15,-1.0254993629049238
Omaha,Grant Stubblefield,1,2,0.5,1.863234539162912,2,0.13676546083708807,0,0,0.0,0.0,0,0.0,1.863234539162912,2,0.13676546083708807
Omaha,Lance Waddles,6,14,0.42857142857142855,14.432693574089184,15,0.5673064259108163,0,0,0.0,0.0,0,0.0,14.432693574089184,15,0.5673064259108163
Omaha,Brock Scholl,1,4,0.25,4.226154037894578,2,-2.2261540378945783,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,5.665917143908193,3,-2.6659171439081932
Omaha,Julian Margrave,1,3,0.3333333333333333,3.279708992514361,3,-0.2797089925143612,0,0,0.0,0.0,0,0.0,3.279708992514361,3,-0.2797089925143612
Omaha,Khamani Cooper,0,4,0.0,4.035374018658046,0,-4.035374018658046,0,0,0.0,0.0,0,0.0,4.035374018658046,0,-4.035374018658046
Omaha,Christian Richardson,2,3,0.6666666666666666,3.149478142625848,4,0.8505218573741522,4,4,1.0,2.8795262120272294,4,1.1204737879727706,6.029004354653077,8,1.9709956453469228
Omaha,Tony Osburn,2,7,0.2857142857142857,7.627710707187136,5,-2.627710707187136,1,3,0.3333333333333333,2.159644659020422,1,-1.159644659020422,9.787355366207558,6,-3.7873553662075583
Florida International,Corey Stephenson,4,9,0.4444444444444444,10.040244128095877,11,0.9597558719041235,4,6,0.6666666666666666,4.319289318040844,4,-0.3192893180408438,14.35953344613672,15,0.6404665538632806
Florida International,Eric Dibami,2,3,0.6666666666666666,2.638227659054471,4,1.361772340945529,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,4.077990765068086,5,0.922009234931914
Florida International,Zawdie Jackson,3,12,0.25,11.823919050028604,8,-3.8239190500286036,2,2,1.0,1.4397631060136147,2,0.5602368939863853,13.263682156042218,10,-3.2636821560422185
Florida International,Ashton Williamson,1,5,0.2,5.102845057591945,2,-3.102845057591945,0,0,0.0,0.0,0,0.0,5.102845057591945,2,-3.102845057591945
Florida International,Larry Olayinka,2,4,0.5,3.6587704343125047,4,0.3412295656874953,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,6.5382966463397345,6,-0.5382966463397345
Florida International,Brit Harris,9,16,0.5625,16.40906809666739,22,5.59093190333261,2,5,0.4,3.599407765034037,2,-1.5994077650340368,20.008475861701427,24,3.9915241382985727
Florida International,Thiago Sucatzky,0,1,0.0,0.82064001098705,0,-0.82064001098705,0,0,0.0,0.0,0,0.0,0.82064001098705,0,-0.82064001098705
Florida International,Julian Mackey,5,11,0.45454545454545453,11.905395979509752,12,0.09460402049024808,0,3,0.0,2.159644659020422,0,-2.159644659020422,14.065040638530174,12,-2.0650406385301743
Florida International,Kennedy Brown,0,1,0.0,0.8379729851650807,0,-0.8379729851650807,0,0,0.0,0.0,0,0.0,0.8379729851650807,0,-0.8379729851650807
Florida International,Olajuwon Ibrahim,0,2,0.0,1.885363035518722,0,-1.885363035518722,0,0,0.0,0.0,0,0.0,1.885363035518722,0,-1.885363035518722
