Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Portland State,Terri Miller Jr.,7,11,0.6363636363636364,10.872158541404929,15,4.127841458595071,4,6,0.6666666666666666,4.319289318040844,4,-0.3192893180408438,15.191447859445773,19,3.8085521405542266
Portland State,Tre-Vaughn Minott,7,14,0.5,14.371441783959016,14,-0.37144178395901584,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,16.531086442979436,16,-0.5310864429794364
Portland State,Jaylin Henderson,1,7,0.14285714285714285,6.72302155070934,2,-4.72302155070934,8,8,1.0,5.759052424054459,8,2.2409475759455413,12.482073974763798,10,-2.4820739747637983
Portland State,Alex Dupre,3,7,0.42857142857142855,6.73871634012509,8,1.26128365987491,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,8.178479446138704,9,0.821520553861296
Portland State,Sebastian Tidor,3,9,0.3333333333333333,8.518686406404559,7,-1.5186864064045587,2,5,0.4,3.599407765034037,2,-1.5994077650340368,12.118094171438596,9,-3.118094171438596
Portland State,Brycen Long,0,2,0.0,1.633197157610216,0,-1.633197157610216,0,0,0.0,0.0,0,0.0,1.633197157610216,0,-1.633197157610216
Portland State,Keyon Kensie Jr.,1,7,0.14285714285714285,6.979556288788986,2,-4.979556288788986,0,0,0.0,0.0,0,0.0,6.979556288788986,2,-4.979556288788986
Portland State,Kelcy Phipps,1,1,1.0,1.0486661900963785,3,1.9513338099036215,0,0,0.0,0.0,0,0.0,1.0486661900963785,3,1.9513338099036215
Utah Tech,Ethan Potter,9,13,0.6923076923076923,12.050048375303161,18,5.949951624696839,0,0,0.0,0.0,0,0.0,12.050048375303161,18,5.949951624696839
Utah Tech,Noah Bolanga,3,10,0.3,9.47380543395057,7,-2.47380543395057,0,0,0.0,0.0,0,0.0,9.47380543395057,7,-2.47380543395057
Utah Tech,Tanner Davis,4,8,0.5,7.954645272212604,8,0.04535472778739624,0,0,0.0,0.0,0,0.0,7.954645272212604,8,0.04535472778739624
Utah Tech,Jusaun Holt,2,7,0.2857142857142857,5.926903149496322,6,0.07309685050367776,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,6.64678470250313,6,-0.6467847025031297
Utah Tech,Chance Trujillo,3,9,0.3333333333333333,9.603847673880134,7,-2.603847673880134,5,5,1.0,3.599407765034037,5,1.4005922349659632,13.203255438914171,12,-1.2032554389141712
Utah Tech,Madiba Owona,2,7,0.2857142857142857,7.088810568586085,4,-3.0888105685860854,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,8.5285736745997,5,-3.5285736745997003
Utah Tech,Samuel Ariyibi,1,2,0.5,1.8281216669023865,2,0.17187833309761347,2,2,1.0,1.4397631060136147,2,0.5602368939863853,3.267884772916001,4,0.732115227083999
Utah Tech,Britton Berrett,1,1,1.0,1.19747603270371,3,1.80252396729629,0,0,0.0,0.0,0,0.0,1.19747603270371,3,1.80252396729629
