Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Syracuse,J.J. Starling,4,9,0.4444444444444444,8.991576745792639,9,0.008423254207361452,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,10.431338447382348,10,-0.4313384473823483
Syracuse,Nate Kingz,2,6,0.3333333333333333,6.846573350725858,5,-1.8465733507258584,0,0,0.0,0.0,0,0.0,6.846573350725858,5,-1.8465733507258584
Syracuse,Sadiq White Jr.,6,7,0.8571428571428571,6.932372869090874,13,6.067627130909126,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,9.092015421475438,14,4.907984578524562
Syracuse,Tyler Betsey,3,14,0.21428571428571427,14.435558341647777,8,-6.435558341647777,2,2,1.0,1.4397617015897095,2,0.5602382984102905,15.875320043237487,10,-5.875320043237487
Syracuse,Naithan George,1,5,0.2,4.536689396205247,3,-1.5366893962052472,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.976451097794957,5,-0.976451097794957
Syracuse,William Kyle III,2,3,0.6666666666666666,3.2046501547956696,4,0.7953498452043304,5,8,0.625,5.759046806358838,5,-0.759046806358838,8.963696961154508,9,0.03630303884549235
Syracuse,Kiyan Anthony,3,8,0.375,8.209243266385258,7,-1.2092432663852577,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.649004967974967,8,-1.6490049679749674
Syracuse,Luke Fennell,1,3,0.3333333333333333,3.3689790972969478,3,-0.3689790972969478,0,0,0.0,0.0,0,0.0,3.3689790972969478,3,-0.3689790972969478
Syracuse,Noah Lobdell,0,1,0.0,1.5215545644084458,0,-1.5215545644084458,0,0,0.0,0.0,0,0.0,1.5215545644084458,0,-1.5215545644084458
Iowa State,Milan Momcilovic,8,14,0.5714285714285714,13.76649584934212,22,8.23350415065788,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,15.926138401726684,24,8.073861598273316
Iowa State,Blake Buchanan,6,8,0.75,8.2294879667676,12,3.7705120332324,0,0,0.0,0.0,0,0.0,8.2294879667676,12,3.7705120332324
Iowa State,Killyan Toure,7,9,0.7777777777777778,9.081093731013336,16,6.918906268986664,3,3,1.0,2.159642552384564,3,0.8403574476154358,11.2407362833979,19,7.759263716602099
Iowa State,Joshua Jefferson,6,14,0.42857142857142855,13.910129262051017,12,-1.9101292620510169,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,15.349890963640727,13,-2.3498909636407266
Iowa State,Nate Heise,1,4,0.25,4.1846423245719695,2,-2.1846423245719695,0,0,0.0,0.0,0,0.0,4.1846423245719695,2,-2.1846423245719695
Iowa State,Dominykas Pleta,3,4,0.75,4.213058963015284,6,1.7869410369847163,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.652820664604993,7,1.3471793353950066
Iowa State,Jamarion Batemon,2,4,0.5,3.4679763745857337,5,1.5320236254142663,0,0,0.0,0.0,0,0.0,3.4679763745857337,5,1.5320236254142663
Iowa State,Dominick Nelson,3,3,1.0,2.773490834342105,6,3.226509165657895,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,7.812656789906088,12,4.187343210093912
Iowa State,Xzavion Mitchell,0,0,0.0,0.0,0,0.0,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,1.4397617015897095,1,-0.4397617015897095
Iowa State,Eric Mulder,0,0,0.0,0.0,0,0.0,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,1.4397617015897095,0,-1.4397617015897095
Iowa State,Anthony Rise,0,1,0.0,0.8180886039518066,0,-0.8180886039518066,0,0,0.0,0.0,0,0.0,0.8180886039518066,0,-0.8180886039518066
