Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Wagner,Jaden Baker,5,12,0.4166666666666667,12.0994178040962,12,-0.09941780409620016,1,1,1.0,0.7198808507948548,1,0.28011914920514525,12.819298654891055,13,0.18070134510894498
Wagner,Eddie Placer,4,6,0.6666666666666666,6.454846530292176,10,3.5451534697078237,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,7.894608231881886,11,3.105391768118114
Wagner,John Awoke,1,5,0.2,4.927503326805849,2,-2.927503326805849,0,0,0.0,0.0,0,0.0,4.927503326805849,2,-2.927503326805849
Wagner,Bryan Akanmu,5,9,0.5555555555555556,9.074494722143381,10,0.9255052778566188,0,0,0.0,0.0,0,0.0,9.074494722143381,10,0.9255052778566188
Wagner,Michael Cooper,1,1,1.0,0.8166222284307642,2,1.1833777715692357,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.2563839300204735,3,0.7436160699795265
Wagner,Nick Jones,11,17,0.6470588235294118,17.042731369201157,25,7.957268630798843,10,11,0.9090909090909091,7.918689358743403,10,2.0813106412565974,24.96142072794456,35,10.03857927205544
Wagner,Elijah Brown,1,1,1.0,1.0436836574253707,2,0.9563163425746293,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.4834453590150805,4,1.5165546409849195
Wagner,Sam Smith,6,7,0.8571428571428571,6.922312945295776,12,5.077687054704224,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.362074646885485,14,5.637925353114515
Wagner,Bineal Basil,0,1,0.0,0.9796379463127299,0,-0.9796379463127299,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.4193996479024396,1,-1.4193996479024396
Wagner,Zavier Fitch,3,5,0.6,4.718028509805942,8,3.281971490194058,2,5,0.4,3.599404253974274,2,-1.5994042539742739,8.317432763780216,10,1.6825672362197839
Manhattan,Fraser Roxburgh,7,10,0.7,10.420610604843022,17,6.579389395156978,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,11.140491455637877,17,5.859508544362123
Manhattan,Jaden Winston,8,11,0.7272727272727273,10.392492865330142,18,7.6075071346698575,3,3,1.0,2.159642552384564,3,0.8403574476154358,12.552135417714707,21,8.447864582285293
Manhattan,Marko Ljubicic,3,7,0.42857142857142855,7.200320614700482,8,0.7996793852995179,0,0,0.0,0.0,0,0.0,7.200320614700482,8,0.7996793852995179
Manhattan,Terrance Jones,4,16,0.25,15.722041627701406,9,-6.722041627701406,7,8,0.875,5.759046806358838,7,1.240953193641162,21.481088434060243,16,-5.4810884340602435
Manhattan,Devin Dinkins,5,17,0.29411764705882354,16.438128848469347,13,-3.438128848469347,12,14,0.8571428571428571,10.078331911127966,12,1.9216680888720337,26.516460759597315,25,-1.5164607595973152
Manhattan,Anthony Isaac,3,6,0.5,6.213133636451291,6,-0.2131336364512908,5,9,0.5555555555555556,6.478927657153693,5,-1.478927657153693,12.692061293604983,11,-1.6920612936049828
Manhattan,Quron Elliott,0,1,0.0,1.0985116657643161,0,-1.0985116657643161,0,0,0.0,0.0,0,0.0,1.0985116657643161,0,-1.0985116657643161
Manhattan,Erik Oliver-Bush,1,1,1.0,1.1977730894327518,3,1.8022269105672482,0,0,0.0,0.0,0,0.0,1.1977730894327518,3,1.8022269105672482
