Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
St. Francis (PA),Ahmad Harrison,1,7,0.14285714285714285,6.510263753108496,2,-4.510263753108496,2,2,1.0,1.439809139993901,2,0.560190860006099,7.950072893102397,4,-3.950072893102397
St. Francis (PA),Gestin Liberis,2,4,0.5,4.11973110036938,4,-0.11973110036938017,2,3,0.6666666666666666,2.1597137099908514,2,-0.15971370999085144,6.279444810360232,6,-0.27944481036023205
St. Francis (PA),Victor Payne,5,10,0.5,10.719535408610312,13,2.2804645913896877,2,2,1.0,1.439809139993901,2,0.560190860006099,12.159344548604214,15,2.8406554513957865
St. Francis (PA),Skylar Wicks,7,15,0.4666666666666667,13.408345778318173,16,2.591654221681827,5,7,0.7142857142857143,5.0393319899786535,5,-0.0393319899786535,18.447677768296828,21,2.5523222317031724
St. Francis (PA),Zion Russell,4,7,0.5714285714285714,6.786505254794177,10,3.213494745205823,1,2,0.5,1.439809139993901,1,-0.43980913999390103,8.226314394788078,11,2.773685605211922
St. Francis (PA),Brandon Russell,0,3,0.0,2.9335884733068,0,-2.9335884733068,0,0,0.0,0.0,0,0.0,2.9335884733068,0,-2.9335884733068
St. Francis (PA),Cameron Tweedy,1,5,0.2,5.144941142854148,2,-3.1449411428541483,0,0,0.0,0.0,0,0.0,5.144941142854148,2,-3.1449411428541483
St. Francis (PA),Ralph Martino Jr.,2,3,0.6666666666666666,2.565544104838188,5,2.434455895161812,0,0,0.0,0.0,0,0.0,2.565544104838188,5,2.434455895161812
St. Francis (PA),KJ Swain Jr.,0,1,0.0,1.094641675607162,0,-1.094641675607162,0,0,0.0,0.0,0,0.0,1.094641675607162,0,-1.094641675607162
Troy,Kerrington Kiel,1,5,0.2,5.250078974481237,2,-3.2500789744812373,2,2,1.0,1.439809139993901,2,0.560190860006099,6.6898881144751385,4,-2.6898881144751385
Troy,Thomas Dowd,5,8,0.625,8.704148158404049,13,4.295851841595951,5,6,0.8333333333333334,4.319427419981703,5,0.6805725800182971,13.023575578385753,18,4.976424421614247
Troy,Cobi Campbell,5,13,0.38461538461538464,13.306304004167366,11,-2.306304004167366,0,0,0.0,0.0,0,0.0,13.306304004167366,11,-2.306304004167366
Troy,Victor Valdes,6,11,0.5454545454545454,11.14758981369079,12,0.8524101863092106,2,5,0.4,3.5995228499847527,2,-1.5995228499847527,14.747112663675543,14,-0.7471126636755425
Troy,Theo Seng,3,7,0.42857142857142855,7.158572016820842,6,-1.158572016820842,3,5,0.6,3.5995228499847527,3,-0.5995228499847527,10.758094866805594,9,-1.7580948668055942
Troy,Jerrell Bellamy,4,6,0.6666666666666666,6.181918299184876,8,1.8180817008151244,2,4,0.5,2.879618279987802,2,-0.8796182799878021,9.061536579172678,10,0.9384634208273219
Troy,Cooper Campbell,0,2,0.0,2.2308994358415974,0,-2.2308994358415974,5,6,0.8333333333333334,4.319427419981703,5,0.6805725800182971,6.5503268558233,5,-1.5503268558233003
Troy,Austin Cross,1,2,0.5,2.244166945764942,3,0.7558330542350582,0,2,0.0,1.439809139993901,0,-1.439809139993901,3.683976085758843,3,-0.683976085758843
