Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Baylor,Michael Rataj,4,6,0.6666666666666666,5.444629725714514,8,2.555370274285486,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,6.884392831728129,9,2.115607168271871
Baylor,Dan Skillings Jr.,4,6,0.6666666666666666,5.8263766806060575,9,3.1736233193939425,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,8.705902892633286,11,2.2940971073667136
Baylor,Cameron Carr,5,11,0.45454545454545453,11.126106880291594,12,0.8738931197084057,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,15.445396198332439,17,1.554603801667561
Baylor,Obi Agbim,5,10,0.5,10.510238042909796,14,3.489761957090204,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,12.669882701930218,16,3.3301172980697817
Baylor,Caden Powell,1,2,0.5,1.8629649346263522,2,0.13703506537364785,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,6.182254252667196,7,0.817745747332804
Baylor,Isaac Williams IV,4,8,0.5,8.031540638760816,9,0.9684593612391836,4,4,1.0,2.8795262120272294,4,1.1204737879727706,10.911066850788046,13,2.088933149211954
Baylor,Tounde Yessoufou,7,14,0.5,13.587066358773153,15,1.4129336412268465,3,5,0.6,3.599407765034037,3,-0.5994077650340368,17.18647412380719,18,0.8135258761928092
San Diego State,Miles Byrd,5,12,0.4166666666666667,11.738696805260469,12,0.261303194739531,1,1,1.0,0.7198815530068073,1,0.28011844699319266,12.458578358267276,13,0.5414216417327236
San Diego State,Reese Dixon-Waters,4,12,0.3333333333333333,11.65519978007454,11,-0.6551997800745397,1,1,1.0,0.7198815530068073,1,0.28011844699319266,12.375081333081347,12,-0.37508133308134717
San Diego State,Elzie Harrington,4,9,0.4444444444444444,9.242164992806778,11,1.757835007193222,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,10.681928098820393,12,1.3180719011796072
San Diego State,Jeremiah Oden,2,3,0.6666666666666666,3.1597098520256504,6,2.8402901479743496,0,0,0.0,0.0,0,0.0,3.1597098520256504,6,2.8402901479743496
San Diego State,BJ Davis,4,7,0.5714285714285714,6.682034070550461,8,1.3179659294495387,3,3,1.0,2.159644659020422,3,0.8403553409795781,8.841678729570884,11,2.1583212704291164
San Diego State,Taj DeGourville,2,3,0.6666666666666666,2.530263924065892,5,2.469736075934108,2,2,1.0,1.4397631060136147,2,0.5602368939863853,3.970027030079507,7,3.029972969920493
San Diego State,Tae Simmons,3,3,1.0,2.9218476854159916,6,3.0781523145840084,0,0,0.0,0.0,0,0.0,2.9218476854159916,6,3.0781523145840084
San Diego State,Sean Newman Jr.,2,6,0.3333333333333333,5.638520041871297,4,-1.6385200418712973,6,6,1.0,4.319289318040844,6,1.6807106819591562,9.95780935991214,10,0.042190640087859776
San Diego State,Miles Heide,0,1,0.0,0.833249513188519,0,-0.833249513188519,0,0,0.0,0.0,0,0.0,0.833249513188519,0,-0.833249513188519
San Diego State,Pharaoh Compton,2,3,0.6666666666666666,3.0705278373244504,4,0.9294721626755496,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,4.510290943338065,4,-0.5102909433380649
