Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Kansas,Flory Bidunga,5,15,0.3333333333333333,13.852234922185055,10,-3.8522349221850547,3,4,0.75,2.879523403179419,3,0.12047659682058098,16.731758325364474,13,-3.731758325364474
Kansas,Melvin Council Jr.,6,17,0.35294117647058826,15.425704044243547,12,-3.425704044243547,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,20.46486999980753,17,-3.4648699998075294
Kansas,Bryson Tiller,1,4,0.25,3.70372183826462,2,-1.7037218382646202,4,4,1.0,2.879523403179419,4,1.120476596820581,6.58324524144404,6,-0.5832452414440397
Kansas,Tre White,3,4,0.75,4.339129615974537,8,3.660870384025463,6,6,1.0,4.319285104769128,6,1.6807148952308717,8.658414720743664,14,5.341585279256336
Kansas,Kohl Rosario,2,6,0.3333333333333333,6.103256681459997,5,-1.103256681459997,0,0,0.0,0.0,0,0.0,6.103256681459997,5,-1.103256681459997
Kansas,Jamari McDowell,2,3,0.6666666666666666,3.165386387910202,6,2.834613612089798,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.605148089499911,7,2.3948519105000887
Kansas,Elmarko Jackson,4,7,0.5714285714285714,7.1984124227737345,10,2.8015875772262655,7,7,1.0,5.039165955563983,7,1.9608340444360168,12.237578378337718,17,4.762421621662282
Kansas,Paul Mbiya,1,1,1.0,0.94180952387676,2,1.0581904761232401,0,0,0.0,0.0,0,0.0,0.94180952387676,2,1.0581904761232401
Tennessee,Cade Phillips,2,3,0.6666666666666666,2.781523120810114,4,1.2184768791898861,0,0,0.0,0.0,0,0.0,2.781523120810114,4,1.2184768791898861
Tennessee,Nate Ament,5,15,0.3333333333333333,13.92743287375809,12,-1.9274328737580895,8,8,1.0,5.759046806358838,8,2.240953193641162,19.68647968011693,20,0.3135203198830716
Tennessee,Ja'Kobi Gillespie,5,19,0.2631578947368421,18.495534075702952,11,-7.4955340757029525,0,0,0.0,0.0,0,0.0,18.495534075702952,11,-7.4955340757029525
Tennessee,J.P. Estrella,4,4,1.0,3.5311323649768096,9,5.468867635023191,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.970894066566519,10,5.029105933433481
Tennessee,Amaree Abram,1,4,0.25,4.266937806814649,3,-1.2669378068146493,0,0,0.0,0.0,0,0.0,4.266937806814649,3,-1.2669378068146493
Tennessee,Jaylen Carey,4,8,0.5,7.6358695115374875,8,0.3641304884625125,3,6,0.5,4.319285104769128,3,-1.3192851047691283,11.955154616306615,11,-0.9551546163066149
Tennessee,Felix Okpara,2,5,0.4,4.476886556254863,4,-0.476886556254863,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.356409959434282,7,-0.35640995943428244
Tennessee,Troy Henderson,0,1,0.0,0.8598113100612318,0,-0.8598113100612318,0,0,0.0,0.0,0,0.0,0.8598113100612318,0,-0.8598113100612318
Tennessee,Ethan Burg,1,1,1.0,1.062755222281249,3,1.937244777718751,0,0,0.0,0.0,0,0.0,1.062755222281249,3,1.937244777718751
Tennessee,Bishop Boswell,2,3,0.6666666666666666,2.901049472347162,5,2.098950527652838,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.3408111739368715,7,2.6591888260631285
