Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
NC State,Quadir Copeland,10,14,0.7142857142857143,13.24908671890772,22,8.75091328109228,6,10,0.6,7.198808507948548,6,-1.1988085079485478,20.447895226856268,28,7.552104773143732
NC State,Ven-Allen Lubin,10,14,0.7142857142857143,13.339795361136272,20,6.660204638863728,3,4,0.75,2.879523403179419,3,0.12047659682058098,16.21931876431569,23,6.780681235684309
NC State,Darrion Williams,3,10,0.3,9.434625672612462,8,-1.4346256726124622,2,4,0.5,2.879523403179419,2,-0.879523403179419,12.314149075791882,10,-2.3141490757918817
NC State,Paul McNeil,6,11,0.5454545454545454,10.816625766864199,15,4.183374233135801,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,15.135910871633328,20,4.864089128366672
NC State,Matt Able,0,5,0.0,4.304794083025781,0,-4.304794083025781,0,0,0.0,0.0,0,0.0,4.304794083025781,0,-4.304794083025781
NC State,Alyn Breed,2,4,0.5,3.65841761943728,5,1.3415823805627198,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.09817932102699,7,1.90182067897301
NC State,Tre Holloman,2,4,0.5,3.919870425507604,5,1.0801295744923962,0,0,0.0,0.0,0,0.0,3.919870425507604,5,1.0801295744923962
NC State,Terrance Arceneaux,1,2,0.5,2.1519843138241685,2,-0.15198431382416855,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.591746015413878,4,0.40825398458612217
Texas,Tramon Mark,2,5,0.4,4.423709614055101,4,-0.42370961405510066,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.86347131564481,5,-0.8634713156448104
Texas,Camden Heide,4,5,0.8,5.07339451905313,11,5.92660548094687,0,0,0.0,0.0,0,0.0,5.07339451905313,11,5.92660548094687
Texas,Jordan Pope,8,15,0.5333333333333333,15.084871734710116,23,7.915128265289884,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,19.404156839479246,28,8.595843160520754
Texas,Matas Vokietaitis,4,4,1.0,4.048586838876688,8,3.9514131611233116,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,8.367871943645817,13,4.632128056354183
Texas,Chendall Weaver,4,8,0.5,8.546039183742142,11,2.453960816257858,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,13.585205139306126,17,3.414794860693874
Texas,Dailyn Swain,4,9,0.4444444444444444,8.896350775540173,8,-0.8963507755401725,6,6,1.0,4.319285104769128,6,1.6807148952308717,13.2156358803093,14,0.7843641196907001
Texas,Lassina Traore,0,1,0.0,1.0462209550704467,0,-1.0462209550704467,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.4859826566601564,2,-0.4859826566601564
Texas,Simeon Wilcher,3,5,0.6,4.664033980837262,9,4.335966019162738,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.543557384016681,12,4.456442615983319
