Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Bethune-Cookman,Quentin Heady,2,9,0.2222222222222222,8.737573233515274,5,-3.737573233515274,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,10.177334935104984,6,-4.177334935104984
Bethune-Cookman,Arterio Morris,3,10,0.3,9.257854438958448,6,-3.2578544389584483,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.697616140548158,8,-2.697616140548158
Bethune-Cookman,Jakobi Heady,3,9,0.3333333333333333,8.880626341447382,6,-2.880626341447382,9,11,0.8181818181818182,7.918689358743403,9,1.0813106412565974,16.799315700190785,15,-1.7993157001907853
Bethune-Cookman,Daniel Rouzan,4,10,0.4,8.73077950471339,8,-0.7307795047133894,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.170541206303099,10,-0.1705412063030991
Bethune-Cookman,Jordan Johnson,0,3,0.0,2.7929257972162826,0,-2.7929257972162826,0,0,0.0,0.0,0,0.0,2.7929257972162826,0,-2.7929257972162826
Bethune-Cookman,David Onanina,0,1,0.0,0.7385562604846192,0,-0.7385562604846192,0,0,0.0,0.0,0,0.0,0.7385562604846192,0,-0.7385562604846192
Bethune-Cookman,Ariel Bland,2,2,1.0,2.0757467112106784,4,1.9242532887893216,0,0,0.0,0.0,0,0.0,2.0757467112106784,4,1.9242532887893216
Bethune-Cookman,Seneca Willoughby,1,8,0.125,7.015932380032128,2,-5.015932380032128,3,4,0.75,2.879523403179419,3,0.12047659682058098,9.895455783211547,5,-4.895455783211547
Bethune-Cookman,Rickey Mitchell Jr.,2,4,0.5,3.5247911833183068,5,1.4752088166816932,0,0,0.0,0.0,0,0.0,3.5247911833183068,5,1.4752088166816932
Bethune-Cookman,Dailon Minor,1,2,0.5,1.9137854827004808,3,1.0862145172995192,0,0,0.0,0.0,0,0.0,1.9137854827004808,3,1.0862145172995192
Indiana,Tucker DeVries,6,12,0.5,11.928315388206757,17,5.071684611793243,3,3,1.0,2.159642552384564,3,0.8403574476154358,14.087957940591322,20,5.912042059408678
Indiana,Tayton Conerway,4,8,0.5,8.41506862405062,8,-0.4150686240506207,1,1,1.0,0.7198808507948548,1,0.28011914920514525,9.134949474845476,9,-0.1349494748454756
Indiana,Reed Bailey,1,4,0.25,4.0746635733539955,2,-2.0746635733539955,3,4,0.75,2.879523403179419,3,0.12047659682058098,6.954186976533414,5,-1.954186976533414
Indiana,Lamar Wilkerson,7,15,0.4666666666666667,15.84217340089534,15,-0.8421734008953408,3,3,1.0,2.159642552384564,3,0.8403574476154358,18.001815953279905,18,-0.001815953279905358
Indiana,Trent Sisley,6,10,0.6,11.156584094036951,13,1.8434159059630488,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,12.596345795626661,14,1.403654204373339
Indiana,Sam Alexis,6,9,0.6666666666666666,9.086336859734079,12,2.913663140265921,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.526098561323789,14,3.4739014386762115
Indiana,Conor Enright,1,1,1.0,1.0634266116180646,3,1.9365733883819354,0,0,0.0,0.0,0,0.0,1.0634266116180646,3,1.9365733883819354
Indiana,Nick Dorn,4,5,0.8,5.241833378630895,12,6.758166621369105,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.681595080220605,14,7.318404919779395
Indiana,Jasai Miles,0,1,0.0,1.1495937769756561,0,-1.1495937769756561,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.5893554785653654,1,-1.5893554785653654
Indiana,Drew Snively,1,1,1.0,1.1102827113432856,2,0.8897172886567144,0,0,0.0,0.0,0,0.0,1.1102827113432856,2,0.8897172886567144
