Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Jackson State,Dorian McMillian,5,12,0.4166666666666667,11.371594065485114,11,-0.3715940654851142,0,0,0.0,0.0,0,0.0,11.371594065485114,11,-0.3715940654851142
Jackson State,Devin Ree,1,6,0.16666666666666666,6.141373496230067,3,-3.1413734962300666,0,0,0.0,0.0,0,0.0,6.141373496230067,3,-3.1413734962300666
Jackson State,Daeshun Ruffin,8,17,0.47058823529411764,16.02087080246734,17,0.9791291975326608,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,17.46063250405705,18,0.5393674959429511
Jackson State,Mike Williams,0,4,0.0,4.453325765291151,0,-4.453325765291151,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.893087466880861,2,-3.8930874668808606
Jackson State,Jayme Mitchell Jr.,5,10,0.5,10.66439104320431,12,1.3356089567956904,1,1,1.0,0.7198808507948548,1,0.28011914920514525,11.384271893999165,13,1.6157281060008355
Jackson State,Ebo Wilson,0,3,0.0,2.97978979837149,0,-2.97978979837149,0,0,0.0,0.0,0,0.0,2.97978979837149,0,-2.97978979837149
Jackson State,Deyan Kolev,2,3,0.6666666666666666,2.9924987331050685,4,1.0075012668949315,0,0,0.0,0.0,0,0.0,2.9924987331050685,4,1.0075012668949315
Louisiana,De'Vion Lavergne,0,4,0.0,4.217823843470054,0,-4.217823843470054,0,0,0.0,0.0,0,0.0,4.217823843470054,0,-4.217823843470054
Louisiana,Jeremiah Evans,2,5,0.4,5.274485936278117,4,-1.2744859362781167,2,4,0.5,2.879523403179419,2,-0.879523403179419,8.154009339457536,6,-2.154009339457536
Louisiana,Joshua Lewis,1,7,0.14285714285714285,6.587319199844529,2,-4.587319199844529,2,4,0.5,2.879523403179419,2,-0.879523403179419,9.466842603023949,4,-5.466842603023949
Louisiana,Jaxon Olvera,3,11,0.2727272727272727,11.008227696347404,7,-4.008227696347404,3,4,0.75,2.879523403179419,3,0.12047659682058098,13.887751099526824,10,-3.887751099526824
Louisiana,Milan Mejia,1,6,0.16666666666666666,6.572165987546136,3,-3.5721659875461356,0,0,0.0,0.0,0,0.0,6.572165987546136,3,-3.5721659875461356
Louisiana,Dorian Finister,2,9,0.2222222222222222,9.527915522899171,4,-5.527915522899171,0,0,0.0,0.0,0,0.0,9.527915522899171,4,-5.527915522899171
Louisiana,Dariyus Woodson,5,8,0.625,9.398033291575649,12,2.601966708424351,1,4,0.25,2.879523403179419,1,-1.879523403179419,12.277556694755068,13,0.7224433052449317
Louisiana,Mike Collins,1,1,1.0,0.8716923606245865,3,2.1283076393754135,0,0,0.0,0.0,0,0.0,0.8716923606245865,3,2.1283076393754135
Louisiana,Kyran Ratliff,1,1,1.0,0.8379729851650807,2,1.1620270148349192,0,0,0.0,0.0,0,0.0,0.8379729851650807,2,1.1620270148349192
