Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
LSU,Max Mackinnon,4,11,0.36363636363636365,11.236739763790279,8,-3.236739763790279,3,3,1.0,2.159642552384564,3,0.8403574476154358,13.396382316174844,11,-2.3963823161748437
LSU,Marquel Sutton,4,8,0.5,8.199349167060957,8,-0.19934916706095684,0,0,0.0,0.0,0,0.0,8.199349167060957,8,-0.19934916706095684
LSU,Mike Nwoko,6,9,0.6666666666666666,8.759431888668113,12,3.2405681113318874,2,5,0.4,3.599404253974274,2,-1.5994042539742739,12.358836142642387,14,1.641163857357613
LSU,Dedan Thomas Jr.,6,14,0.42857142857142855,13.295615412501364,14,0.7043845874986356,4,8,0.5,5.759046806358838,4,-1.759046806358838,19.0546622188602,18,-1.0546622188602015
LSU,Robert Miller III,1,3,0.3333333333333333,2.936869272465412,2,-0.9368692724654122,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.3766309740551215,4,-0.37663097405512147
LSU,PJ Carter,1,3,0.3333333333333333,2.9414314618087705,3,0.058568538191229536,0,0,0.0,0.0,0,0.0,2.9414314618087705,3,0.058568538191229536
LSU,Rashad King,3,4,0.75,4.738540839441496,8,3.2614591605585037,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.178302541031206,9,2.821697458968794
LSU,Pablo Tamba,1,1,1.0,1.107341393599315,2,0.892658606400685,0,0,0.0,0.0,0,0.0,1.107341393599315,2,0.892658606400685
LSU,Jalen Reed,0,2,0.0,1.6818310322639665,0,-1.6818310322639665,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.121592733853676,2,-1.1215927338536762
LSU,Jalen Reece,0,1,0.0,1.2126030718924143,0,-1.2126030718924143,0,0,0.0,0.0,0,0.0,1.2126030718924143,0,-1.2126030718924143
Drake,Okku Federiko,2,7,0.2857142857142857,6.907554417399403,4,-2.9075544173994032,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,7.627435268194258,4,-3.627435268194258
Drake,Jalen Quinn,6,11,0.5454545454545454,10.334094958147581,14,3.665905041852419,6,6,1.0,4.319285104769128,6,1.6807148952308717,14.65338006291671,20,5.34661993708329
Drake,Jaehshon Thomas,6,13,0.46153846153846156,12.4761622678479,16,3.5238377321520993,0,0,0.0,0.0,0,0.0,12.4761622678479,16,3.5238377321520993
Drake,Wilguens Jr. Exacte,3,8,0.375,7.501126441045475,6,-1.501126441045475,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.940888142635185,8,-0.9408881426351847
Drake,Andrew Alia,1,4,0.25,4.4567365402666255,2,-2.4567365402666255,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,5.17661739106148,2,-3.1766173910614803
Drake,Braden Appelhans,1,5,0.2,5.084101612134096,2,-3.084101612134096,0,0,0.0,0.0,0,0.0,5.084101612134096,2,-3.084101612134096
Drake,Eli Shetlar,0,4,0.0,3.881697011164401,0,-3.881697011164401,0,0,0.0,0.0,0,0.0,3.881697011164401,0,-3.881697011164401
Drake,Griffen Goodbary,3,9,0.3333333333333333,9.442308235217784,8,-1.4423082352177836,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,11.601950787602348,10,-1.6019507876023482
