Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Lehigh,Hank Alvey,4,8,0.5,7.212664413674819,8,0.787335586325181,0,4,0.0,2.879523403179419,0,-2.879523403179419,10.092187816854238,8,-2.0921878168542385
Lehigh,Caleb Thomas,3,7,0.42857142857142855,7.083547107889132,7,-0.08354710788913167,3,4,0.75,2.879523403179419,3,0.12047659682058098,9.963070511068551,10,0.03692948893144887
Lehigh,Nasir Whitlock,11,19,0.5789473684210527,19.376156908601473,27,7.623843091398527,4,4,1.0,2.879523403179419,4,1.120476596820581,22.255680311780893,31,8.744319688219107
Lehigh,Peter Kramer,3,6,0.5,6.801779086372207,9,2.198220913627793,0,0,0.0,0.0,0,0.0,6.801779086372207,9,2.198220913627793
Lehigh,Jake Pike,1,2,0.5,1.889176464632072,3,1.110823535367928,0,0,0.0,0.0,0,0.0,1.889176464632072,3,1.110823535367928
Lehigh,Joshua Ingram,5,9,0.5555555555555556,9.353287567129872,11,1.6467124328701281,0,0,0.0,0.0,0,0.0,9.353287567129872,11,1.6467124328701281
Lehigh,Jalen Vazquez,0,2,0.0,2.065161846680172,0,-2.065161846680172,0,0,0.0,0.0,0,0.0,2.065161846680172,0,-2.065161846680172
Lehigh,Andrew Urosevic,2,4,0.5,4.004176993201611,6,1.995823006798389,0,0,0.0,0.0,0,0.0,4.004176993201611,6,1.995823006798389
Lehigh,Alfredo Addesa,0,1,0.0,0.7684416365807568,0,-0.7684416365807568,0,0,0.0,0.0,0,0.0,0.7684416365807568,0,-0.7684416365807568
Texas State,Makai Willis,1,3,0.3333333333333333,2.8095713507989712,2,-0.8095713507989712,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.249333052388681,3,-1.249333052388681
Texas State,DJ Hall,9,11,0.8181818181818182,10.068336103930697,18,7.931663896069303,5,5,1.0,3.599404253974274,5,1.4005957460257261,13.667740357904972,23,9.332259642095028
Texas State,Mark Drone,6,14,0.42857142857142855,11.730650982779679,12,0.26934901722032123,3,4,0.75,2.879523403179419,3,0.12047659682058098,14.610174385959098,15,0.38982561404090177
Texas State,Kaden Gumbs,4,10,0.4,9.62023165355089,8,-1.6202316535508903,3,4,0.75,2.879523403179419,3,0.12047659682058098,12.49975505673031,11,-1.4997550567303097
Texas State,Franck Emmou,1,5,0.2,3.959783632324097,2,-1.959783632324097,0,0,0.0,0.0,0,0.0,3.959783632324097,2,-1.959783632324097
Texas State,Ky Pernell,3,6,0.5,5.010930538343145,7,1.9890694616568547,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.450692239932855,9,2.549307760067145
Texas State,Robert Fields,1,4,0.25,4.13851926431048,2,-2.13851926431048,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.5782809659001895,3,-2.5782809659001895
Texas State,Dimp Pernell,2,8,0.25,7.366988072665578,5,-2.3669880726655776,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.806749774255287,6,-2.8067497742552874
Texas State,Jalen Bolden,0,1,0.0,0.808229707655663,0,-0.808229707655663,0,0,0.0,0.0,0,0.0,0.808229707655663,0,-0.808229707655663
Texas State,Tay Knox,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397617015897095,2,0.5602382984102905,1.4397617015897095,2,0.5602382984102905
