Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Ohio State,John Mobley Jr.,1,3,0.3333333333333333,2.563577784990766,3,0.43642221500923384,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,4.003340891004381,3,-1.003340891004381
Ohio State,Brandon Noel,0,2,0.0,2.117663551570849,0,-2.117663551570849,0,0,0.0,0.0,0,0.0,2.117663551570849,0,-2.117663551570849
Ohio State,Bruce Thornton,7,15,0.4666666666666667,13.79392110645345,15,1.2060788935465503,3,3,1.0,2.159644659020422,3,0.8403553409795781,15.953565765473872,18,2.046434234526128
Ohio State,Christoph Tilly,1,8,0.125,6.996040344398798,2,-4.996040344398798,8,8,1.0,5.759052424054459,8,2.2409475759455413,12.755092768453256,10,-2.755092768453256
Ohio State,Amare Bynum,3,5,0.6,5.317500513740435,7,1.682499486259565,0,0,0.0,0.0,0,0.0,5.317500513740435,7,1.682499486259565
Ohio State,Devin Royal,9,15,0.6,14.8009627009275,22,7.199037299072501,0,0,0.0,0.0,0,0.0,14.8009627009275,22,7.199037299072501
Ohio State,Ivan Njegovan,2,4,0.5,3.585794230782577,4,0.414205769217423,0,0,0.0,0.0,0,0.0,3.585794230782577,4,0.414205769217423
Ohio State,Gabe Cupps,0,2,0.0,2.1732956870886033,0,-2.1732956870886033,2,2,1.0,1.4397631060136147,2,0.5602368939863853,3.6130587931022182,2,-1.6130587931022182
Pittsburgh,Damarco Minor,7,14,0.5,13.314379942018094,17,3.6856200579819056,1,1,1.0,0.7198815530068073,1,0.28011844699319266,14.034261495024902,18,3.965738504975098
Pittsburgh,Cameron Corhen,6,14,0.42857142857142855,13.377324036801705,13,-0.37732403680170457,5,10,0.5,7.198815530068074,5,-2.1988155300680736,20.576139566869777,18,-2.5761395668697773
Pittsburgh,Omari Witherspoon,4,14,0.2857142857142857,11.757399477275946,8,-3.7573994772759463,3,4,0.75,2.8795262120272294,3,0.12047378797277064,14.636925689303176,11,-3.636925689303176
Pittsburgh,Roman Siulepa,1,9,0.1111111111111111,7.828649148025509,2,-5.828649148025509,0,0,0.0,0.0,0,0.0,7.828649148025509,2,-5.828649148025509
Pittsburgh,Papa Amadou Kante,0,2,0.0,1.304304061688847,0,-1.304304061688847,0,0,0.0,0.0,0,0.0,1.304304061688847,0,-1.304304061688847
Pittsburgh,Nojus Indrusaitis,0,3,0.0,2.6735722638772206,0,-2.6735722638772206,0,0,0.0,0.0,0,0.0,2.6735722638772206,0,-2.6735722638772206
Pittsburgh,Barry Dunning Jr.,8,13,0.6153846153846154,12.857693176854639,17,4.142306823145361,1,1,1.0,0.7198815530068073,1,0.28011844699319266,13.577574729861446,18,4.422425270138554
