Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Siena,Francis Folefac,4,9,0.4444444444444444,9.46839080980319,8,-1.4683908098031893,6,9,0.6666666666666666,6.478927657153693,6,-0.4789276571536929,15.947318466956883,14,-1.947318466956883
Siena,Brendan Coyle,0,2,0.0,2.2062710830400967,0,-2.2062710830400967,0,0,0.0,0.0,0,0.0,2.2062710830400967,0,-2.2062710830400967
Siena,Antonio Chandler,2,2,1.0,2.0268441798990797,4,1.9731558201009203,3,6,0.5,4.319285104769128,3,-1.3192851047691283,6.3461292846682085,7,0.6538707153317915
Siena,Justice Shoats,5,9,0.5555555555555556,7.3026161918637555,10,2.6973838081362445,2,6,0.3333333333333333,4.319285104769128,2,-2.3192851047691283,11.621901296632885,12,0.37809870336711526
Siena,Gavin Doty,4,9,0.4444444444444444,8.873934387761047,9,0.1260656122389534,8,8,1.0,5.759046806358838,8,2.240953193641162,14.632981194119886,17,2.3670188058801145
Siena,Tajae Jones,0,1,0.0,0.8167130833568355,0,-0.8167130833568355,0,0,0.0,0.0,0,0.0,0.8167130833568355,0,-0.8167130833568355
Siena,Christian Jones,2,6,0.3333333333333333,5.84043194731886,5,-0.8404319473188604,0,0,0.0,0.0,0,0.0,5.84043194731886,5,-0.8404319473188604
Siena,Marcus Jackson,0,2,0.0,1.875319488810089,0,-1.875319488810089,1,4,0.25,2.879523403179419,1,-1.879523403179419,4.754842891989508,1,-3.754842891989508
Siena,Owen Schlager,1,4,0.25,4.743581178094193,2,-2.7435811780941934,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.183342879683903,3,-3.183342879683903
American University,Greg Jones,0,6,0.0,6.253482133983695,0,-6.253482133983695,6,6,1.0,4.319285104769128,6,1.6807148952308717,10.572767238752824,6,-4.572767238752824
American University,Matt Mayock,5,12,0.4166666666666667,11.547231539491335,10,-1.5472315394913352,1,1,1.0,0.7198808507948548,1,0.28011914920514525,12.26711239028619,11,-1.26711239028619
American University,Julen Iturbe,1,4,0.25,3.740207141468766,3,-0.7402071414687659,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,5.89984969385333,4,-1.89984969385333
American University,Geoff Sprouse,0,5,0.0,5.520193489364767,0,-5.520193489364767,0,0,0.0,0.0,0,0.0,5.520193489364767,0,-5.520193489364767
American University,Chris Eagan,1,3,0.3333333333333333,3.1030039900489914,2,-1.1030039900489914,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.542765691638701,4,-0.5427656916387011
American University,Madden Collins,5,11,0.45454545454545453,11.072234825637755,10,-1.0722348256377554,3,4,0.75,2.879523403179419,3,0.12047659682058098,13.951758228817175,13,-0.9517582288171749
American University,Wyatt Nausadis,3,6,0.5,4.700813247608963,6,1.2991867523910372,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,6.860455799993527,8,1.1395442000064726
American University,Kade Sebastian,3,3,1.0,3.0397727817992317,8,4.960227218200768,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.4795344833889414,9,4.5204655166110586
