Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Wofford,Kahmare Holmes,10,13,0.7692307692307693,12.594806754855972,24,11.405193245144028,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,17.633972710419954,30,12.366027289580046
Wofford,Cayden Vasko,5,15,0.3333333333333333,16.134336872315252,12,-4.134336872315252,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,17.574098573904962,13,-4.574098573904962
Wofford,Luke Flynn,2,8,0.25,7.9730167896098285,5,-2.9730167896098285,4,5,0.8,3.599404253974274,4,0.4005957460257261,11.572421043584102,9,-2.572421043584102
Wofford,Nils Machowski,1,7,0.14285714285714285,7.150915751587814,3,-4.150915751587814,8,10,0.8,7.198808507948548,8,0.8011914920514522,14.349724259536362,11,-3.3497242595363623
Wofford,Rex Stirling,4,7,0.5714285714285714,6.848706022300247,8,1.151293977699753,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.288467723889957,10,1.7115322761100433
Wofford,Chace Watley,0,3,0.0,2.9049548179773943,0,-2.9049548179773943,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.344716519567104,1,-3.344716519567104
Wofford,Brian Sumpter,2,4,0.5,4.177885005250781,4,-0.177885005250781,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.617646706840491,5,-0.6176467068404907
Wofford,Maximo Ortega,0,3,0.0,2.7037313187929315,0,-2.7037313187929315,0,0,0.0,0.0,0,0.0,2.7037313187929315,0,-2.7037313187929315
Wofford,Brendan Rigsbee,1,2,0.5,1.6563215907003408,3,1.3436784092996592,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.09608329229005,4,0.9039167077099499
Eastern Kentucky,Austin Ball,6,16,0.375,17.628620728910867,15,-2.6286207289108674,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,21.947905833679997,20,-1.9479058336799966
Eastern Kentucky,MJ Williams,3,8,0.375,7.345821744547926,7,-0.34582174454792636,4,4,1.0,2.879523403179419,4,1.120476596820581,10.225345147727346,11,0.7746548522726542
Eastern Kentucky,Jackson Holt,2,8,0.25,7.404741796053237,4,-3.404741796053237,0,0,0.0,0.0,0,0.0,7.404741796053237,4,-3.404741796053237
Eastern Kentucky,Yvens Paul,4,10,0.4,10.04828354617341,8,-2.04828354617341,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,11.48804524776312,9,-2.48804524776312
Eastern Kentucky,Jayden Harris,4,11,0.36363636363636365,10.791143137307204,9,-1.7911431373072038,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,11.511023988102059,9,-2.5110239881020586
Eastern Kentucky,Turner Buttry,4,11,0.36363636363636365,12.124668731124242,9,-3.124668731124242,1,1,1.0,0.7198808507948548,1,0.28011914920514525,12.844549581919097,10,-2.8445495819190967
Eastern Kentucky,Juan Cranford Jr.,3,4,0.75,4.334456976253282,9,4.665543023746718,0,0,0.0,0.0,0,0.0,4.334456976253282,9,4.665543023746718
Eastern Kentucky,Tyler Jackson,1,4,0.25,4.210785290689038,3,-1.2107852906890377,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.6505469922787475,5,-0.6505469922787475
