Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Coppin State,Jamari Piercy,5,8,0.625,7.568391122975511,10,2.4316088770244892,0,0,0.0,0.0,0,0.0,7.568391122975511,10,2.4316088770244892
Coppin State,Hassan Perkins,6,11,0.5454545454545454,10.35879327569886,13,2.6412067243011403,6,6,1.0,4.319285104769128,6,1.6807148952308717,14.678078380467987,19,4.321921619532013
Coppin State,Demariontay Hall,3,5,0.6,4.613686508976269,6,1.3863134910237314,0,3,0.0,2.159642552384564,0,-2.159642552384564,6.773329061360833,6,-0.7733290613608332
Coppin State,Chris Morgan,5,7,0.7142857142857143,6.559584983220566,10,3.4404150167794336,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,7.999346684810276,11,3.000653315189724
Coppin State,Khali Horton,2,5,0.4,4.96190335653324,6,1.0380966434667602,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.841426759712659,9,1.1585732402873408
Coppin State,Nelson Lamizana,4,7,0.5714285714285714,6.747354872013084,9,2.2526451279869164,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.187116573602793,11,2.8128834263972067
Coppin State,Hussain Williams,0,1,0.0,1.1949975031053006,0,-1.1949975031053006,0,0,0.0,0.0,0,0.0,1.1949975031053006,0,-1.1949975031053006
Coppin State,Tyler Koenig,2,2,1.0,2.0035579283676026,4,1.9964420716323974,7,8,0.875,5.759046806358838,7,1.240953193641162,7.762604734726441,11,3.237395265273559
Coppin State,Torrin Andrews,0,3,0.0,2.879461432436091,0,-2.879461432436091,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,7.198746537205219,4,-3.198746537205219
Coppin State,Daveyon Lydner,1,1,1.0,0.9297289971909977,3,2.0702710028090023,0,0,0.0,0.0,0,0.0,0.9297289971909977,3,2.0702710028090023
Loyola Maryland,Jordan Stiemke,7,10,0.7,10.320663073403944,19,8.679336926596056,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.760424774993654,21,9.239575225006346
Loyola Maryland,Braeden Speed,4,7,0.5714285714285714,7.023449403544719,9,1.9765505964552812,0,0,0.0,0.0,0,0.0,7.023449403544719,9,1.9765505964552812
Loyola Maryland,Sam Springer,2,4,0.5,4.602029602262613,5,0.39797039773738696,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.041791303852323,7,0.9582086961476772
Loyola Maryland,Jonas Sirtautas,2,2,1.0,1.830481974496648,4,2.169518025503352,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,3.990124526881212,5,1.0098754731187878
Loyola Maryland,Emmett Adair,11,17,0.6470588235294118,16.918505361729547,25,8.081494638270453,4,4,1.0,2.879523403179419,4,1.120476596820581,19.798028764908967,29,9.201971235091033
Loyola Maryland,Jacob Theodosiou,3,8,0.375,8.258980600055303,6,-2.2589806000553025,12,13,0.9230769230769231,9.358451060333111,12,2.6415489396668885,17.617431660388412,18,0.38256833961158776
Loyola Maryland,Sebastien Emenalo,1,3,0.3333333333333333,3.45554653774587,3,-0.45554653774587006,0,0,0.0,0.0,0,0.0,3.45554653774587,3,-0.45554653774587006
Loyola Maryland,Troy Cicero Jr.,0,2,0.0,2.2964190162042337,0,-2.2964190162042337,0,0,0.0,0.0,0,0.0,2.2964190162042337,0,-2.2964190162042337
Loyola Maryland,Tyson Commander,1,2,0.5,2.1438264987190445,3,0.8561735012809555,0,0,0.0,0.0,0,0.0,2.1438264987190445,3,0.8561735012809555
