Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Monmouth,Stefanos Spartalis,4,8,0.5,6.836795706274794,8,1.1632042937252063,4,4,1.0,2.879523403179419,4,1.120476596820581,9.716319109454213,12,2.283680890545787
Monmouth,Jack Collins,1,2,0.5,2.161049299424156,3,0.8389507005758441,2,4,0.5,2.879523403179419,2,-0.879523403179419,5.0405727026035745,5,-0.040572702603574484
Monmouth,Justin Ray,7,7,1.0,6.533814156572554,17,10.466185843427446,4,5,0.8,3.599404253974274,4,0.4005957460257261,10.133218410546828,21,10.866781589453172
Monmouth,Jason Rivera-Torres,7,12,0.5833333333333334,11.284407204030613,17,5.715592795969387,3,4,0.75,2.879523403179419,3,0.12047659682058098,14.163930607210032,20,5.836069392789968
Monmouth,Andrew Ball,4,9,0.4444444444444444,7.487295330225626,8,0.512704669774374,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,12.526461285789608,12,-0.5264612857896083
Monmouth,Cornelius Robinson III,3,6,0.5,5.34332348415762,6,0.6566765158423804,3,3,1.0,2.159642552384564,3,0.8403574476154358,7.502966036542183,9,1.4970339634578167
Monmouth,Jinup Dobuol,1,2,0.5,2.025488522747141,3,0.9745114772528591,0,0,0.0,0.0,0,0.0,2.025488522747141,3,0.9745114772528591
Monmouth,Dok Muordar,2,3,0.6666666666666666,2.9906536851052437,4,1.0093463148947563,2,4,0.5,2.879523403179419,2,-0.879523403179419,5.870177088284663,6,0.12982291171533689
Lafayette,Shareef Jackson,5,9,0.5555555555555556,7.783686896518198,10,2.216313103481802,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.223448598107908,11,1.7765514018920925
Lafayette,Christian Humphrey,0,4,0.0,4.074785375759199,0,-4.074785375759199,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.514547077348909,2,-3.514547077348909
Lafayette,Mark Butler,4,9,0.4444444444444444,7.471930883345184,8,0.5280691166548159,5,5,1.0,3.599404253974274,5,1.4005957460257261,11.071335137319458,13,1.9286648626805416
Lafayette,Caleb Williams,6,16,0.375,14.166294634469011,16,1.8337053655309887,0,0,0.0,0.0,0,0.0,14.166294634469011,16,1.8337053655309887
Lafayette,Ryan Pettit,0,0,0.0,0.0,0,0.0,3,3,1.0,2.159642552384564,3,0.8403574476154358,2.159642552384564,3,0.8403574476154358
Lafayette,Luke Bevilacqua,2,2,1.0,1.5232089701600176,4,2.4767910298399824,3,6,0.5,4.319285104769128,3,-1.3192851047691283,5.842494074929146,7,1.1575059250708541
Lafayette,Andrew Phillips,3,11,0.2727272727272727,10.179095961666762,8,-2.1790959616667624,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,11.618857663256472,9,-2.618857663256472
Lafayette,Misha Bednostin,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397617015897095,2,0.5602382984102905,1.4397617015897095,2,0.5602382984102905
Lafayette,Ashton Wallace,1,2,0.5,1.7973049049144172,2,0.2026950950855828,0,0,0.0,0.0,0,0.0,1.7973049049144172,2,0.2026950950855828
