Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
St. Bonaventure,Frank Mitchell,5,12,0.4166666666666667,12.303868457188527,10,-2.3038684571885266,3,6,0.5,4.319289318040844,3,-1.3192893180408438,16.62315777522937,13,-3.6231577752293695
St. Bonaventure,Cayden Charles,4,7,0.5714285714285714,7.088619675231207,9,1.9113803247687926,7,7,1.0,5.039170871047651,7,1.9608291289523487,12.12779054627886,16,3.8722094537211404
St. Bonaventure,Dasonte Bowen,4,5,0.8,4.595120005334658,8,3.4048799946653423,2,2,1.0,1.4397631060136147,2,0.5602368939863853,6.034883111348273,10,3.9651168886517274
St. Bonaventure,Darryl Simmons II,1,5,0.2,5.014682928612922,2,-3.014682928612922,0,0,0.0,0.0,0,0.0,5.014682928612922,2,-3.014682928612922
St. Bonaventure,Daniel Egbuniwe,4,7,0.5714285714285714,6.596950110168804,9,2.4030498898311956,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,8.036713216182418,9,0.9632867838175816
St. Bonaventure,Ilia Ermakov,0,2,0.0,1.9257697981299877,0,-1.9257697981299877,0,0,0.0,0.0,0,0.0,1.9257697981299877,0,-1.9257697981299877
St. Bonaventure,Amar'e Marshall,1,1,1.0,0.9901358384180627,2,1.0098641615819373,0,0,0.0,0.0,0,0.0,0.9901358384180627,2,1.0098641615819373
St. Bonaventure,Achille Lonati,4,6,0.6666666666666666,5.9912102441949475,11,5.0087897558050525,2,5,0.4,3.599407765034037,2,-1.5994077650340368,9.590618009228985,13,3.4093819907710152
St. Bonaventure,Joe Grahovac,2,2,1.0,2.1821492009610495,5,2.8178507990389505,0,0,0.0,0.0,0,0.0,2.1821492009610495,5,2.8178507990389505
Florida Atlantic,Isaiah Elohim,3,7,0.42857142857142855,7.195143456898273,7,-0.19514345689827284,0,0,0.0,0.0,0,0.0,7.195143456898273,7,-0.19514345689827284
Florida Atlantic,Devin Vanterpool,6,13,0.46153846153846156,13.308917560682406,15,1.6910824393175936,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,16.188443772709636,17,0.8115562272903638
Florida Atlantic,Xander Pintelon,2,9,0.2222222222222222,10.030302421293399,5,-5.030302421293399,3,3,1.0,2.159644659020422,3,0.8403553409795781,12.189947080313821,8,-4.1899470803138215
Florida Atlantic,Devin Williams,1,1,1.0,1.0706916742494297,2,0.9293083257505703,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,2.5104547802630446,3,0.4895452197369554
Florida Atlantic,Niccolo Moretti,0,6,0.0,6.757941605693382,0,-6.757941605693382,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,8.197704711706997,1,-7.197704711706997
Florida Atlantic,Maxim Logue,4,5,0.8,5.156856741004828,8,2.8431432589951724,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,5.876738294011635,8,2.123261705988365
Florida Atlantic,Kanaan Carlyle,3,11,0.2727272727272727,10.484059019943965,7,-3.484059019943965,2,2,1.0,1.4397631060136147,2,0.5602368939863853,11.92382212595758,9,-2.92382212595758
Florida Atlantic,Amar Amkou,5,7,0.7142857142857143,7.337102880359402,12,4.662897119640598,0,0,0.0,0.0,0,0.0,7.337102880359402,12,4.662897119640598
