Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Yale,Isaac Celiscar,4,8,0.5,8.014909973448345,9,0.9850900265516547,7,8,0.875,5.759046806358838,7,1.240953193641162,13.773956779807182,16,2.2260432201928175
Yale,Casey Simmons,1,6,0.16666666666666666,5.181513214036208,2,-3.181513214036208,0,0,0.0,0.0,0,0.0,5.181513214036208,2,-3.181513214036208
Yale,Samson Aletan,2,3,0.6666666666666666,2.7623388911550695,4,1.2376611088449305,4,5,0.8,3.599404253974274,4,0.4005957460257261,6.361743145129344,8,1.6382568548706562
Yale,Nick Townsend,5,10,0.5,8.93803145857854,11,2.061968541421461,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,11.097674010963104,13,1.9023259890368962
Yale,Trevor Mullin,4,8,0.5,7.638591114430051,8,0.3614088855699489,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.07835281601976,9,-0.07835281601976085
Yale,Riley Fox,9,14,0.6428571428571429,13.327314817831887,20,6.672685182168113,3,4,0.75,2.879523403179419,3,0.12047659682058098,16.206838221011306,23,6.7931617789886936
Yale,Jordan Brathwaite,2,3,0.6666666666666666,3.1064169562994532,6,2.8935830437005468,0,0,0.0,0.0,0,0.0,3.1064169562994532,6,2.8935830437005468
Yale,Devon Arlington,0,3,0.0,2.7239503984218842,0,-2.7239503984218842,0,0,0.0,0.0,0,0.0,2.7239503984218842,0,-2.7239503984218842
Vermont,Gus Yalden,8,14,0.5714285714285714,12.810474464758995,17,4.189525535241005,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,17.129759569528122,22,4.870240430471878
Vermont,TJ Hurley,5,11,0.45454545454545453,10.617902144172824,14,3.382097855827176,5,5,1.0,3.599404253974274,5,1.4005957460257261,14.217306398147098,19,4.782693601852902
Vermont,Momo Nkugwa,1,2,0.5,2.180082094195824,2,-0.1800820941958241,0,0,0.0,0.0,0,0.0,2.180082094195824,2,-0.1800820941958241
Vermont,Sean Blake,4,5,0.8,4.739324766781718,8,3.260675233218282,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.179086468371428,10,3.8209135316285723
Vermont,Noah Barnett,0,1,0.0,1.0247991778426273,0,-1.0247991778426273,0,0,0.0,0.0,0,0.0,1.0247991778426273,0,-1.0247991778426273
Vermont,TJ Long,5,12,0.4166666666666667,12.432611454816454,14,1.5673885451835456,4,5,0.8,3.599404253974274,4,0.4005957460257261,16.032015708790727,18,1.967984291209273
Vermont,Ben Johnson,1,3,0.3333333333333333,3.1959390765342284,2,-1.1959390765342284,0,0,0.0,0.0,0,0.0,3.1959390765342284,2,-1.1959390765342284
Vermont,Ben Michaels,0,1,0.0,1.3894768842802314,0,-1.3894768842802314,1,4,0.25,2.879523403179419,1,-1.879523403179419,4.269000287459651,1,-3.269000287459651
