Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
California Baptist,Martel Williams,6,13,0.46153846153846156,12.399566378044755,12,-0.3995663780447547,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,14.55920893042932,14,-0.5592089304293193
California Baptist,Jordan Muller,3,7,0.42857142857142855,6.220534598447051,7,0.7794654015529492,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,8.380177150831615,8,-0.3801771508316154
California Baptist,Bradey Henige,1,7,0.14285714285714285,6.5097251453422444,2,-4.5097251453422444,0,0,0.0,0.0,0,0.0,6.5097251453422444,2,-4.5097251453422444
California Baptist,Dominique Daniels Jr.,7,19,0.3684210526315789,18.334402784212884,15,-3.334402784212884,10,11,0.9090909090909091,7.918689358743403,10,2.0813106412565974,26.253092142956287,25,-1.2530921429562873
California Baptist,Thomas Ndong,2,3,0.6666666666666666,2.887813553582803,4,1.1121864464171969,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.327575255172513,5,0.6724247448274872
California Baptist,Devon Malcolm,3,7,0.42857142857142855,6.847749464046636,6,-0.8477494640466361,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,9.0073920164312,8,-1.0073920164312007
California Baptist,Jonathan Griman,3,6,0.5,6.215026752554367,6,-0.2150267525543672,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.654788454144077,8,0.34521154585592306
Colorado,Elijah Malone,3,6,0.5,5.7967920040952965,6,0.2032079959047035,0,0,0.0,0.0,0,0.0,5.7967920040952965,6,0.2032079959047035
Colorado,Bangot Dak,1,7,0.14285714285714285,7.101528133331035,3,-4.101528133331035,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.541289834920745,5,-3.541289834920745
Colorado,Felix Kossaras,3,4,0.75,4.260018167056876,6,1.7399818329431236,0,0,0.0,0.0,0,0.0,4.260018167056876,6,1.7399818329431236
Colorado,Sebastian Rancik,3,7,0.42857142857142855,7.320427717852624,8,0.679572282147376,4,4,1.0,2.879523403179419,4,1.120476596820581,10.199951121032043,12,1.8000488789679565
Colorado,Isaiah Johnson,4,7,0.5714285714285714,7.400542694025291,8,0.5994573059747088,9,11,0.8181818181818182,7.918689358743403,9,1.0813106412565974,15.319232052768694,17,1.6807679472313062
Colorado,Ian Inman,0,1,0.0,1.155981300873314,0,-1.155981300873314,0,0,0.0,0.0,0,0.0,1.155981300873314,0,-1.155981300873314
Colorado,Josiah Sanders,2,3,0.6666666666666666,3.3589899843097184,5,1.6410100156902816,2,4,0.5,2.879523403179419,2,-0.879523403179419,6.238513387489137,7,0.761486612510863
Colorado,Jalin Holland,0,2,0.0,2.3203961561653887,0,-2.3203961561653887,2,4,0.5,2.879523403179419,2,-0.879523403179419,5.199919559344808,2,-3.199919559344808
Colorado,Barrington Hargress,4,8,0.5,7.32032233492265,8,0.6796776650773504,4,4,1.0,2.879523403179419,4,1.120476596820581,10.199845738102068,12,1.8001542618979318
Colorado,Alon Michaeli,4,8,0.5,7.726128243165178,10,2.273871756834822,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.165889944754888,11,1.8341100552451124
