Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Tarleton State,Freddy Hicks,3,6,0.5,6.161977725247125,8,1.8380222747528752,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,10.481262830016252,12,1.5187371699837477
Tarleton State,Kaia Isaac,6,11,0.5454545454545454,10.488079496104062,13,2.5119205038959382,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,11.207960346898917,13,1.7920396531010834
Tarleton State,Leroy Kelly IV,2,5,0.4,4.724439827408689,5,0.2755601725913106,0,0,0.0,0.0,0,0.0,4.724439827408689,5,0.2755601725913106
Tarleton State,Ocypher Owens,5,14,0.35714285714285715,12.432177200367807,12,-0.43217720036780705,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,17.47134315593179,16,-1.471343155931791
Tarleton State,Kade Douglas,3,9,0.3333333333333333,8.337090609480276,8,-0.3370906094802759,0,0,0.0,0.0,0,0.0,8.337090609480276,8,-0.3370906094802759
Tarleton State,Jordan Mizell,2,4,0.5,4.246430254094191,4,-0.24643025409419117,0,0,0.0,0.0,0,0.0,4.246430254094191,4,-0.24643025409419117
Tarleton State,Damion Porter Jr.,0,1,0.0,0.8727505078220372,0,-0.8727505078220372,0,0,0.0,0.0,0,0.0,0.8727505078220372,0,-0.8727505078220372
Tarleton State,Cameron Thomas,0,1,0.0,0.7821350162944758,0,-0.7821350162944758,0,0,0.0,0.0,0,0.0,0.7821350162944758,0,-0.7821350162944758
Cincinnati,Day Day Thomas,6,14,0.42857142857142855,14.46934856626273,17,2.5306514337372708,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,16.628991118647292,19,2.371008881352708
Cincinnati,Shon Abaev,4,10,0.4,9.822609013058697,9,-0.8226090130586972,1,1,1.0,0.7198808507948548,1,0.28011914920514525,10.542489863853552,10,-0.542489863853552
Cincinnati,Kerr Kriisa,7,12,0.5833333333333334,11.983807614996177,20,8.016192385003823,0,0,0.0,0.0,0,0.0,11.983807614996177,20,8.016192385003823
Cincinnati,Baba Miller,4,6,0.6666666666666666,5.8991437420783,8,2.1008562579217003,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,10.938309697642282,13,2.061690302357718
Cincinnati,Tyler McKinley,1,2,0.5,1.7264540620338709,2,0.27354593796612914,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,3.1662157636235806,2,-1.1662157636235806
Cincinnati,Sencire Harris,2,6,0.3333333333333333,5.98127971697788,5,-0.9812797169778804,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,7.42104141856759,6,-1.4210414185675901
Cincinnati,Jalen Celestine,2,5,0.4,5.587047962564348,6,0.4129520374356517,0,0,0.0,0.0,0,0.0,5.587047962564348,6,0.4129520374356517
Cincinnati,Moustapha Thiam,0,1,0.0,1.0134220899495399,0,-1.0134220899495399,0,0,0.0,0.0,0,0.0,1.0134220899495399,0,-1.0134220899495399
