Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Sacramento State,Mikey Williams,5,19,0.2631578947368421,18.341240346081324,11,-7.3412403460813245,10,12,0.8333333333333334,8.638570209538257,10,1.3614297904617434,26.97981055561958,21,-5.979810555619579
Sacramento State,Jahni Summers,4,7,0.5714285714285714,8.330945254590539,12,3.6690547454094613,0,0,0.0,0.0,0,0.0,8.330945254590539,12,3.6690547454094613
Sacramento State,Prophet Johnson,6,15,0.4,14.843836448947851,14,-0.8438364489478509,7,7,1.0,5.039165955563983,7,1.9608340444360168,19.883002404511835,21,1.116997595488165
Sacramento State,Shaqir O'Neal,2,5,0.4,4.850336975185507,5,0.149663024814493,1,1,1.0,0.7198808507948548,1,0.28011914920514525,5.570217825980362,6,0.42978217401963814
Sacramento State,Mark Lavrenov,3,6,0.5,5.539594444608244,6,0.4604055553917563,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,9.858879549377372,10,0.141120450622628
Sacramento State,Arman Madi,2,4,0.5,3.7099666682100283,4,0.2900333317899717,0,0,0.0,0.0,0,0.0,3.7099666682100283,4,0.2900333317899717
Sacramento State,Jayden Teat,1,5,0.2,5.6345710741072,3,-2.6345710741071997,0,0,0.0,0.0,0,0.0,5.6345710741072,3,-2.6345710741071997
Sacramento State,MaTaj Glover,1,3,0.3333333333333333,2.470704405256765,2,-0.47070440525676505,3,3,1.0,2.159642552384564,3,0.8403574476154358,4.630346957641329,5,0.3696530423586708
Sacramento State,Jeremiah Nyarko,0,1,0.0,1.0134220899495399,0,-1.0134220899495399,0,0,0.0,0.0,0,0.0,1.0134220899495399,0,-1.0134220899495399
Sacramento State,Brandon Gardner,1,1,1.0,1.0443117471591479,2,0.9556882528408521,0,0,0.0,0.0,0,0.0,1.0443117471591479,2,0.9556882528408521
Sacramento State,Romari Robinson,1,2,0.5,1.9636227449895844,3,1.0363772550104156,1,1,1.0,0.7198808507948548,1,0.28011914920514525,2.683503595784439,4,1.316496404215561
Baylor,Cameron Carr,10,16,0.625,16.451451970683234,22,5.548548029316766,3,5,0.6,3.599404253974274,3,-0.5994042539742739,20.050856224657508,25,4.949143775342492
Baylor,Dan Skillings Jr.,4,10,0.4,10.711716429427684,8,-2.7117164294276837,4,4,1.0,2.879523403179419,4,1.120476596820581,13.591239832607103,12,-1.591239832607103
Baylor,Isaac Williams IV,4,7,0.5714285714285714,7.452161701372428,8,0.547838298627572,3,5,0.6,3.599404253974274,3,-0.5994042539742739,11.051565955346701,11,-0.051565955346701386
Baylor,Tounde Yessoufou,11,15,0.7333333333333333,14.92120757753263,22,7.0787924224673695,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,19.24049268230176,27,7.75950731769824
Baylor,Obi Agbim,2,6,0.3333333333333333,5.833413938027618,6,0.16658606197238157,4,4,1.0,2.879523403179419,4,1.120476596820581,8.712937341207038,10,1.287062658792962
Baylor,Michael Rataj,6,7,0.8571428571428571,7.494452298321051,14,6.505547701678949,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,12.533618253885034,18,5.4663817461149655
Baylor,Will Kuykendall,1,1,1.0,0.9117932464067435,2,1.0882067535932565,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.351554947996453,4,1.648445052003547
Baylor,Drew Perry,0,1,0.0,1.0871437999053037,0,-1.0871437999053037,3,4,0.75,2.879523403179419,3,0.12047659682058098,3.9666672030847225,3,-0.9666672030847225
