Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Central Connecticut,Darin Smith Jr.,6,17,0.35294117647058826,16.663937272786885,16,-0.6639372727868853,4,5,0.8,3.599407765034037,4,0.4005922349659632,20.263345037820923,20,-0.26334503782092256
Central Connecticut,Max Frazier,5,8,0.625,7.97526962976259,10,2.0247303702374104,3,4,0.75,2.8795262120272294,3,0.12047378797277064,10.85479584178982,13,2.1452041582101806
Central Connecticut,Jay Rodgers,4,7,0.5714285714285714,6.652556293151403,9,2.3474437068485967,0,0,0.0,0.0,0,0.0,6.652556293151403,9,2.3474437068485967
Central Connecticut,James Jones,4,8,0.5,8.235153209919591,10,1.7648467900804086,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,10.394797868940014,12,1.6052021310599862
Central Connecticut,Gabe Spinelli,0,1,0.0,1.2034671451399557,0,-1.2034671451399557,0,0,0.0,0.0,0,0.0,1.2034671451399557,0,-1.2034671451399557
Central Connecticut,Melo Sanchez,1,4,0.25,4.538990030398045,3,-1.538990030398045,0,0,0.0,0.0,0,0.0,4.538990030398045,3,-1.538990030398045
Central Connecticut,Nico Ashley,0,2,0.0,2.103784692153126,0,-2.103784692153126,0,0,0.0,0.0,0,0.0,2.103784692153126,0,-2.103784692153126
Central Connecticut,Elijah Parker,2,3,0.6666666666666666,3.2629360085448176,4,0.7370639914551824,0,0,0.0,0.0,0,0.0,3.2629360085448176,4,0.7370639914551824
Central Connecticut,Daniel James,0,1,0.0,1.1073568811359809,0,-1.1073568811359809,0,0,0.0,0.0,0,0.0,1.1073568811359809,0,-1.1073568811359809
Seton Hall,Mike Williams,3,10,0.3,10.516540395300925,8,-2.5165403953009253,4,4,1.0,2.8795262120272294,4,1.1204737879727706,13.396066607328155,12,-1.3960666073281551
Seton Hall,Stephon Payne,3,5,0.6,4.933756998007114,6,1.066243001992886,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,6.373520104020729,6,-0.373520104020729
Seton Hall,AJ Staton-McCray,5,9,0.5555555555555556,8.675093938483258,12,3.3249060615167423,0,0,0.0,0.0,0,0.0,8.675093938483258,12,3.3249060615167423
Seton Hall,Elijah Fisher,1,3,0.3333333333333333,3.2227596149282505,2,-1.2227596149282505,0,0,0.0,0.0,0,0.0,3.2227596149282505,2,-1.2227596149282505
Seton Hall,Adam Clark,3,8,0.375,7.241315868532976,6,-1.2413158685329764,4,4,1.0,2.8795262120272294,4,1.1204737879727706,10.120842080560205,10,-0.12084208056020529
Seton Hall,Jacob Dar,3,4,0.75,4.787084547024219,8,3.212915452975781,1,1,1.0,0.7198815530068073,1,0.28011844699319266,5.506966100031026,9,3.4930338999689736
Seton Hall,Trey Parker,2,5,0.4,6.2245930359258175,6,-0.22459303592581747,0,0,0.0,0.0,0,0.0,6.2245930359258175,6,-0.22459303592581747
Seton Hall,Tajuan Simpkins,4,6,0.6666666666666666,5.988494132873676,10,4.011505867126324,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,6.708375685880483,10,3.2916243141195167
Seton Hall,Josh Rivera,2,5,0.4,4.845274993688514,5,0.15472500631148556,0,0,0.0,0.0,0,0.0,4.845274993688514,5,0.15472500631148556
Seton Hall,Najai Hines,1,4,0.25,4.325965796642799,2,-2.325965796642799,3,3,1.0,2.159644659020422,3,0.8403553409795781,6.48561045566322,5,-1.4856104556632204
