Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Coppin State,Hassan Perkins,4,6,0.6666666666666666,5.563380713715891,9,3.4366192862841087,2,2,1.0,1.4397631060136147,2,0.5602368939863853,7.003143819729506,11,3.996856180270494
Coppin State,Chris Morgan,3,5,0.6,4.648495341831647,6,1.351504658168353,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,6.088258447845262,7,0.9117415521547381
Coppin State,Demariontay Hall,2,4,0.5,4.0294832777464995,4,-0.029483277746499503,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,5.469246383760114,5,-0.4692463837601144
Coppin State,Khali Horton,1,7,0.14285714285714285,6.067984035938971,3,-3.067984035938971,1,3,0.3333333333333333,2.159644659020422,1,-1.159644659020422,8.227628694959392,4,-4.227628694959392
Coppin State,Torrin Andrews,0,2,0.0,1.4826261224964155,0,-1.4826261224964155,2,2,1.0,1.4397631060136147,2,0.5602368939863853,2.9223892285100304,2,-0.9223892285100304
Coppin State,Baasil Saunders,2,3,0.6666666666666666,2.6057472890292632,4,1.3942527109707368,0,0,0.0,0.0,0,0.0,2.6057472890292632,4,1.3942527109707368
Coppin State,Nelson Lamizana,0,2,0.0,2.169138141648925,0,-2.169138141648925,0,0,0.0,0.0,0,0.0,2.169138141648925,0,-2.169138141648925
Coppin State,Tyler Koenig,2,3,0.6666666666666666,3.104544322789005,4,0.895455677210995,2,2,1.0,1.4397631060136147,2,0.5602368939863853,4.54430742880262,6,1.45569257119738
Coppin State,Hussain Williams,1,9,0.1111111111111111,8.823374702505191,3,-5.823374702505191,0,0,0.0,0.0,0,0.0,8.823374702505191,3,-5.823374702505191
Coppin State,Jamari Piercy,1,5,0.2,4.28386417439141,2,-2.28386417439141,0,0,0.0,0.0,0,0.0,4.28386417439141,2,-2.28386417439141
Coppin State,Taj Thweatt,1,2,0.5,2.297042048773485,2,-0.29704204877348506,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,3.7368051547871,3,-0.7368051547871
Coppin State,Daveyon Lydner,0,6,0.0,5.889589483114683,0,-5.889589483114683,2,2,1.0,1.4397631060136147,2,0.5602368939863853,7.329352589128298,2,-5.329352589128298
West Virginia,Brenen Lorient,5,9,0.5555555555555556,10.02795551354386,12,1.9720444864561397,0,0,0.0,0.0,0,0.0,10.02795551354386,12,1.9720444864561397
West Virginia,Honor Huff,5,15,0.3333333333333333,17.231462741592157,15,-2.231462741592157,2,6,0.3333333333333333,4.319289318040844,2,-2.319289318040844,21.550752059633002,17,-4.550752059633002
West Virginia,Chance Moore,6,8,0.75,7.891311614836416,12,4.108688385163584,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,12.21060093287726,17,4.789399067122741
West Virginia,Amir Jenkins,1,3,0.3333333333333333,3.205346609231903,2,-1.2053466092319032,6,10,0.6,7.198815530068074,6,-1.1988155300680736,10.404162139299977,8,-2.4041621392999772
West Virginia,Treysen Eaglestaff,4,9,0.4444444444444444,9.959276949023186,11,1.0407230509768137,0,0,0.0,0.0,0,0.0,9.959276949023186,11,1.0407230509768137
West Virginia,Jasper Floyd,1,4,0.25,3.776056025205527,2,-1.776056025205527,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,5.935700684225949,4,-1.9357006842259494
West Virginia,Jackson Fields,4,5,0.8,4.90659610777973,9,4.09340389222027,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,5.626477660786538,9,3.373522339213462
West Virginia,Morris Ugusuk,0,3,0.0,3.7696632809439787,0,-3.7696632809439787,2,2,1.0,1.4397631060136147,2,0.5602368939863853,5.209426386957594,2,-3.2094263869575936
West Virginia,Harlan Obioha,1,4,0.25,3.9515953316182544,2,-1.9515953316182544,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,5.391358437631869,3,-2.391358437631869
West Virginia,DJ Thomas,3,4,0.75,4.115130952244455,6,1.8848690477555454,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,6.274775611264877,8,1.725224388735123
