Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Hofstra,Biggie Patterson,2,5,0.4,4.836216438818514,4,-0.8362164388185143,0,0,0.0,0.0,0,0.0,4.836216438818514,4,-0.8362164388185143
Hofstra,Preston Edmead,4,13,0.3076923076923077,12.235123771199861,10,-2.235123771199861,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,17.274289726763843,16,-1.2742897267638433
Hofstra,Joshua DeCady,5,13,0.38461538461538464,12.352420658719014,10,-2.352420658719014,2,4,0.5,2.879523403179419,2,-0.879523403179419,15.231944061898433,12,-3.2319440618984334
Hofstra,Cruz Davis,9,16,0.5625,15.918459069891918,21,5.081540930108082,3,4,0.75,2.879523403179419,3,0.12047659682058098,18.797982473071336,24,5.202017526928664
Hofstra,German Plotnikov,3,4,0.75,4.003236405392539,8,3.9967635946074607,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.442998106982249,9,3.557001893017751
Hofstra,Victory Onuetu,0,1,0.0,0.899864948320646,0,-0.899864948320646,0,0,0.0,0.0,0,0.0,0.899864948320646,0,-0.899864948320646
Hofstra,Silas Sunday,1,1,1.0,1.0908464688534487,2,0.9091535311465513,3,5,0.6,3.599404253974274,3,-0.5994042539742739,4.690250722827723,5,0.3097492771722772
Hofstra,A.J. Wills,0,2,0.0,1.5081966044717774,0,-1.5081966044717774,0,0,0.0,0.0,0,0.0,1.5081966044717774,0,-1.5081966044717774
Columbia,Ryan Soulis,6,8,0.75,7.601361574034618,14,6.398638425965382,0,0,0.0,0.0,0,0.0,7.601361574034618,14,6.398638425965382
Columbia,Miles Franklin,5,12,0.4166666666666667,11.28066564864101,12,0.7193343513589898,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.72042735023072,14,1.27957264976928
Columbia,Mason Ritter,3,9,0.3333333333333333,8.48413462859104,6,-2.4841346285910397,1,1,1.0,0.7198808507948548,1,0.28011914920514525,9.204015479385895,7,-2.2040154793858946
Columbia,Kenny Noland,6,12,0.5,11.337080294938062,17,5.662919705061938,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.776841996527772,19,6.2231580034722285
Columbia,Blair Thompson,3,6,0.5,5.612370944619296,7,1.387629055380704,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,10.65153690018328,11,0.34846309981672086
Columbia,Connor Igoe,0,2,0.0,1.7390074514004943,0,-1.7390074514004943,3,4,0.75,2.879523403179419,3,0.12047659682058098,4.618530854579913,3,-1.6185308545799133
Columbia,Gerard O'Keefe,1,4,0.25,2.975684600154747,2,-0.975684600154747,0,0,0.0,0.0,0,0.0,2.975684600154747,2,-0.975684600154747
Columbia,Richard Nweke,1,3,0.3333333333333333,2.9411676474934088,2,-0.9411676474934088,0,0,0.0,0.0,0,0.0,2.9411676474934088,2,-0.9411676474934088
Columbia,Hampton Sanders,0,2,0.0,1.9453298663010616,0,-1.9453298663010616,0,0,0.0,0.0,0,0.0,1.9453298663010616,0,-1.9453298663010616
