Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
New Hampshire,Davide Poser,2,6,0.3333333333333333,5.881054536518961,5,-0.8810545365189606,1,1,1.0,0.7198815530068073,1,0.28011844699319266,6.600936089525768,6,-0.600936089525768
New Hampshire,Belal El Shakery,3,8,0.375,7.30556491222436,6,-1.3055649122243604,1,4,0.25,2.8795262120272294,1,-1.8795262120272294,10.18509112425159,7,-3.1850911242515902
New Hampshire,KiJan Robinson,5,11,0.45454545454545453,10.037689356837724,10,-0.03768935683772412,0,0,0.0,0.0,0,0.0,10.037689356837724,10,-0.03768935683772412
New Hampshire,Jack Graham,2,8,0.25,7.316848257575908,4,-3.3168482575759084,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,8.756611363589522,5,-3.7566113635895224
New Hampshire,Comeh Emuobor,5,10,0.5,10.385878569893727,10,-0.3858785698937268,5,5,1.0,3.599407765034037,5,1.4005922349659632,13.985286334927764,15,1.014713665072236
New Hampshire,R.J. Kennedy,4,9,0.4444444444444444,8.485660240366865,10,1.5143397596331347,2,2,1.0,1.4397631060136147,2,0.5602368939863853,9.92542334638048,12,2.07457665361952
New Hampshire,Tyler Bike,2,4,0.5,3.116246621522528,5,1.883753378477472,0,0,0.0,0.0,0,0.0,3.116246621522528,5,1.883753378477472
New Hampshire,John Squire,2,4,0.5,4.176575283629136,4,-0.17657528362913588,2,2,1.0,1.4397631060136147,2,0.5602368939863853,5.616338389642751,6,0.3836616103572492
New Hampshire,Giannos Xanthopoulos,1,2,0.5,2.1831273806969524,2,-0.18312738069695245,0,0,0.0,0.0,0,0.0,2.1831273806969524,2,-0.18312738069695245
Dartmouth,Brandon Mitchell-Day,6,13,0.46153846153846156,12.409581611942373,13,0.5904183880576266,2,2,1.0,1.4397631060136147,2,0.5602368939863853,13.849344717955988,15,1.1506552820440117
Dartmouth,Jayden Williams,6,11,0.5454545454545454,10.33892150865824,14,3.66107849134176,0,0,0.0,0.0,0,0.0,10.33892150865824,14,3.66107849134176
Dartmouth,Connor Amundsen,2,8,0.25,8.32410771551924,6,-2.32410771551924,2,2,1.0,1.4397631060136147,2,0.5602368939863853,9.763870821532855,8,-1.763870821532855
Dartmouth,Kareem Thomas,7,9,0.7777777777777778,8.876356554776052,14,5.123643445223948,4,5,0.8,3.599407765034037,4,0.4005922349659632,12.47576431981009,18,5.524235680189911
Dartmouth,Cameron McNamee,1,8,0.125,8.42592335124839,2,-6.4259233512483895,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,11.30544956327562,4,-7.305449563275619
Dartmouth,Shanon Simango,0,1,0.0,0.8083016069527115,0,-0.8083016069527115,0,0,0.0,0.0,0,0.0,0.8083016069527115,0,-0.8083016069527115
Dartmouth,Cam Hiatt,2,5,0.4,5.590969724704426,6,0.40903027529557434,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,7.030732830718041,7,-0.03073283071804056
Dartmouth,Jackson Munro,1,6,0.16666666666666666,6.016171421121024,3,-3.016171421121024,0,0,0.0,0.0,0,0.0,6.016171421121024,3,-3.016171421121024
