Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
New Orleans,Jakevion Buckley,5,10,0.5,9.21126162812902,10,0.7887383718709806,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,14.250427583693003,14,-0.25042758369300344
New Orleans,Panagiotis Pagonis,0,2,0.0,2.099103872607854,0,-2.099103872607854,4,4,1.0,2.879523403179419,4,1.120476596820581,4.978627275787273,4,-0.9786272757872734
New Orleans,MJ Thomas,5,10,0.5,9.634096755058723,10,0.36590324494127735,0,0,0.0,0.0,0,0.0,9.634096755058723,10,0.36590324494127735
New Orleans,Coleton Benson,1,9,0.1111111111111111,9.026175862884745,3,-6.026175862884745,0,0,0.0,0.0,0,0.0,9.026175862884745,3,-6.026175862884745
New Orleans,Churchill Abass,1,3,0.3333333333333333,2.9521757795994725,2,-0.9521757795994725,0,0,0.0,0.0,0,0.0,2.9521757795994725,2,-0.9521757795994725
New Orleans,Kedrick Osby,1,9,0.1111111111111111,9.48415480292704,3,-6.484154802927041,0,0,0.0,0.0,0,0.0,9.48415480292704,3,-6.484154802927041
New Orleans,Irish Coquia,3,5,0.6,4.853477589310866,7,2.1465224106891343,3,4,0.75,2.879523403179419,3,0.12047659682058098,7.733000992490284,10,2.2669990075097157
New Orleans,TJ Cope,7,10,0.7,11.461491771913431,17,5.5385082280865685,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,15.780776876682559,21,5.219223123317441
New Orleans,Enzo Boudouma,1,3,0.3333333333333333,3.8879913449358092,3,-0.8879913449358092,0,0,0.0,0.0,0,0.0,3.8879913449358092,3,-0.8879913449358092
Memphis,Julius Thedford,5,6,0.8333333333333334,6.655710106557304,13,6.344289893442696,0,0,0.0,0.0,0,0.0,6.655710106557304,13,6.344289893442696
Memphis,Dug McDaniel,4,10,0.4,9.90654040726037,8,-1.9065404072603709,3,4,0.75,2.879523403179419,3,0.12047659682058098,12.78606381043979,11,-1.7860638104397903
Memphis,Zach Davis,3,9,0.3333333333333333,9.593638239052199,8,-1.5936382390521988,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.033399940641909,10,-1.0333999406419085
Memphis,Quante Berry,7,8,0.875,7.941297898218511,17,9.058702101781488,0,0,0.0,0.0,0,0.0,7.941297898218511,17,9.058702101781488
Memphis,Sincere Parker,5,11,0.45454545454545453,10.172763466213143,11,0.8272365337868575,0,0,0.0,0.0,0,0.0,10.172763466213143,11,0.8272365337868575
Memphis,Hasan Abdul Hakim,1,7,0.14285714285714285,6.278677643371733,2,-4.278677643371733,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,8.438320195756297,3,-5.438320195756297
Memphis,Simon Majok,4,7,0.5714285714285714,7.086954695358575,9,1.9130453046414253,4,5,0.8,3.599404253974274,4,0.4005957460257261,10.686358949332849,13,2.313641050667151
Memphis,Arop Arop,1,3,0.3333333333333333,3.2280817403383097,2,-1.2280817403383097,0,0,0.0,0.0,0,0.0,3.2280817403383097,2,-1.2280817403383097
Memphis,William Whorton,1,3,0.3333333333333333,3.468683512434459,2,-1.4686835124344588,0,0,0.0,0.0,0,0.0,3.468683512434459,2,-1.4686835124344588
Memphis,Tariq Ingraham,2,3,0.6666666666666666,3.1517264477636715,4,0.8482735522363285,0,0,0.0,0.0,0,0.0,3.1517264477636715,4,0.8482735522363285
