Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
North Dakota State,Noah Feddersen,2,9,0.2222222222222222,7.624861232461243,4,-3.6248612324612433,0,0,0.0,0.0,0,0.0,7.624861232461243,4,-3.6248612324612433
North Dakota State,Damari Wheeler-Thomas,6,16,0.375,16.111321228788682,14,-2.1113212287886824,9,10,0.9,7.198808507948548,9,1.8011914920514522,23.31012973673723,23,-0.3101297367372311
North Dakota State,Trevian Carson,6,7,0.8571428571428571,7.1882832957380085,13,5.8117167042619915,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.628044997327718,15,6.371955002672282
North Dakota State,Markhi Strickland,7,11,0.6363636363636364,10.35256457946865,14,3.64743542053135,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.79232628105836,16,4.20767371894164
North Dakota State,Treyson Anderson,4,9,0.4444444444444444,8.142001638286416,9,0.8579983617135838,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.581763339876126,10,0.41823666012387406
North Dakota State,Andy Stefonowicz,2,5,0.4,4.7692529694896,5,0.23074703051039958,6,6,1.0,4.319285104769128,6,1.6807148952308717,9.088538074258729,11,1.9114619257412713
North Dakota State,Riley Massey,0,2,0.0,1.8864421403607157,0,-1.8864421403607157,0,0,0.0,0.0,0,0.0,1.8864421403607157,0,-1.8864421403607157
North Dakota State,Carson Smith,1,1,1.0,1.0504714643205606,2,0.9495285356794394,0,0,0.0,0.0,0,0.0,1.0504714643205606,2,0.9495285356794394
North Dakota State,Tay Smith,0,2,0.0,2.209275442643201,0,-2.209275442643201,0,0,0.0,0.0,0,0.0,2.209275442643201,0,-2.209275442643201
Montana,Money Williams,8,15,0.5333333333333333,12.843111831075696,16,3.1568881689243042,5,8,0.625,5.759046806358838,5,-0.759046806358838,18.602158637434535,21,2.3978413625654653
Montana,Te'Jon Sawyer,2,4,0.5,3.787215883943733,4,0.2127841160562669,0,0,0.0,0.0,0,0.0,3.787215883943733,4,0.2127841160562669
Montana,Tyler Thompson,3,8,0.375,8.616856908696072,8,-0.6168569086960716,0,0,0.0,0.0,0,0.0,8.616856908696072,8,-0.6168569086960716
Montana,Kenyon Aguino,1,4,0.25,4.733285009010704,2,-2.7332850090107037,0,0,0.0,0.0,0,0.0,4.733285009010704,2,-2.7332850090107037
Montana,Tyler Isaak,3,7,0.42857142857142855,6.6979220599162534,9,2.3020779400837466,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.137683761505963,11,2.862316238494037
Montana,Connor Dick,1,2,0.5,2.096717993146199,2,-0.096717993146199,1,1,1.0,0.7198808507948548,1,0.28011914920514525,2.816598843941054,3,0.18340115605894614
Montana,Courtney Anderson Jr.,4,6,0.6666666666666666,5.926212790856266,10,4.073787209143734,0,0,0.0,0.0,0,0.0,5.926212790856266,10,4.073787209143734
Montana,Brooklyn Hicks,5,11,0.45454545454545453,11.556844695156888,11,-0.5568446951568884,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,12.996606396746598,11,-1.9966063967465981
Montana,Amari Jedkins,1,1,1.0,0.7994043028127843,2,1.2005956971872158,0,0,0.0,0.0,0,0.0,0.7994043028127843,2,1.2005956971872158
