Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
North Dakota,Greyson Uelmen,2,8,0.25,7.688609440346955,4,-3.688609440346955,3,4,0.75,2.879523403179419,3,0.12047659682058098,10.568132843526374,7,-3.5681328435263744
North Dakota,Garrett Anderson,2,7,0.2857142857142857,6.900376695272577,4,-2.900376695272577,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.340138396862287,5,-3.3401383968622866
North Dakota,Marley Curtis,5,8,0.625,8.053814652174562,13,4.946185347825438,2,4,0.5,2.879523403179419,2,-0.879523403179419,10.933338055353982,15,4.066661944646018
North Dakota,Eli King,3,7,0.42857142857142855,6.635298663788685,7,0.36470133621131495,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,10.954583768557814,11,0.04541623144218576
North Dakota,Anthony Smith III,1,2,0.5,1.6609309189472317,2,0.33906908105276834,0,0,0.0,0.0,0,0.0,1.6609309189472317,2,0.33906908105276834
North Dakota,Josh Jones,0,1,0.0,1.0953775480626484,0,-1.0953775480626484,0,0,0.0,0.0,0,0.0,1.0953775480626484,0,-1.0953775480626484
North Dakota,George Natsvishvili,1,2,0.5,1.7091599141324896,2,0.2908400858675104,1,4,0.25,2.879523403179419,1,-1.879523403179419,4.588683317311909,3,-1.5886833173119088
North Dakota,Zach Kraft,3,8,0.375,8.590575885027215,9,0.40942411497278464,0,0,0.0,0.0,0,0.0,8.590575885027215,9,0.40942411497278464
North Dakota,Matthew Bothun,0,2,0.0,1.5876279763378403,0,-1.5876279763378403,0,0,0.0,0.0,0,0.0,1.5876279763378403,0,-1.5876279763378403
North Dakota,Karson Ouse,0,1,0.0,1.0687610850609386,0,-1.0687610850609386,0,0,0.0,0.0,0,0.0,1.0687610850609386,0,-1.0687610850609386
North Dakota,Reggie Thomas,2,3,0.6666666666666666,2.7795909035672617,4,1.2204090964327383,0,0,0.0,0.0,0,0.0,2.7795909035672617,4,1.2204090964327383
Idaho,Kolton Mitchell,0,4,0.0,3.683139088605267,0,-3.683139088605267,0,0,0.0,0.0,0,0.0,3.683139088605267,0,-3.683139088605267
Idaho,Biko Johnson,4,8,0.5,7.094800613714655,10,2.9051993862853447,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.534562315304365,12,3.465437684695635
Idaho,Jack Payne,2,6,0.3333333333333333,5.560281314912869,5,-0.5602813149128689,0,0,0.0,0.0,0,0.0,5.560281314912869,5,-0.5602813149128689
Idaho,Brody Rowbury,0,0,0.0,0.0,0,0.0,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,4.319285104769128,5,0.6807148952308717
Idaho,Seth Joba,4,7,0.5714285714285714,6.95670775190553,11,4.04329224809447,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.39646945349524,13,4.603530546504761
Idaho,Jackson Rasmussen,3,4,0.75,3.705749977932439,6,2.294250022067561,3,4,0.75,2.879523403179419,3,0.12047659682058098,6.585273381111858,9,2.4147266188881424
Idaho,Miles Klapper,2,3,0.6666666666666666,3.6559345459592008,6,2.3440654540407992,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.0956962475489105,8,2.9043037524510895
Idaho,Trevon Blassingame,5,5,1.0,5.223290467476977,12,6.776709532523023,0,0,0.0,0.0,0,0.0,5.223290467476977,12,6.776709532523023
Idaho,Isaiah Brickner,7,10,0.7,9.899089678189803,18,8.100910321810197,8,8,1.0,5.759046806358838,8,2.240953193641162,15.658136484548642,26,10.341863515451358
Idaho,Ewan Steele,0,2,0.0,2.394429288961393,0,-2.394429288961393,0,0,0.0,0.0,0,0.0,2.394429288961393,0,-2.394429288961393
Idaho,Aidan Sevilla,0,3,0.0,2.8404495533854552,0,-2.8404495533854552,0,0,0.0,0.0,0,0.0,2.8404495533854552,0,-2.8404495533854552
