Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Pacific,Elias Ralph,12,22,0.5454545454545454,20.84433093864498,24,3.1556690613550202,7,7,1.0,5.039165955563983,7,1.9608340444360168,25.883496894208964,31,5.116503105791036
Pacific,Kajus Kublickas,3,11,0.2727272727272727,11.12150465255317,8,-3.1215046525531704,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,15.4407897573223,13,-2.4407897573222996
Pacific,TJ Wainwright,4,8,0.5,8.853884218810391,9,0.146115781189609,3,3,1.0,2.159642552384564,3,0.8403574476154358,11.013526771194956,12,0.9864732288050444
Pacific,Isaac Jack,2,2,1.0,2.0035579283676026,4,1.9964420716323974,0,0,0.0,0.0,0,0.0,2.0035579283676026,4,1.9964420716323974
Pacific,KC Ibekwe,0,1,0.0,1.0443117471591479,0,-1.0443117471591479,0,0,0.0,0.0,0,0.0,1.0443117471591479,0,-1.0443117471591479
Pacific,Jaden Clayton,5,6,0.8333333333333334,6.512091816462219,11,4.487908183537781,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.951853518051928,13,5.048146481948072
Pacific,Alexis Marmolejos,0,1,0.0,0.7676157890752089,0,-0.7676157890752089,0,0,0.0,0.0,0,0.0,0.7676157890752089,0,-0.7676157890752089
Pacific,Justin Rochelin,1,2,0.5,2.194982322925979,2,-0.19498232292597883,0,0,0.0,0.0,0,0.0,2.194982322925979,2,-0.19498232292597883
Pacific,Jaion Pitt,2,2,1.0,2.0004746494719736,4,1.9995253505280264,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.4402363510616834,5,1.5597636489383166
Air Force,Ethan Greenberg,1,3,0.3333333333333333,3.231297313438257,2,-1.2312973134382572,0,0,0.0,0.0,0,0.0,3.231297313438257,2,-1.2312973134382572
Air Force,Eli Robinson,5,7,0.7142857142857143,7.302438000167074,11,3.697561999832926,0,0,0.0,0.0,0,0.0,7.302438000167074,11,3.697561999832926
Air Force,Lucas Hobin,4,10,0.4,9.938202125973183,11,1.0617978740268175,8,12,0.6666666666666666,8.638570209538257,8,-0.6385702095382566,18.57677233551144,19,0.42322766448856086
Air Force,Wesley Celichowski,0,2,0.0,2.2288636600871907,0,-2.2288636600871907,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.6686253616769005,1,-2.6686253616769005
Air Force,A.J. Patterson,0,2,0.0,2.2161170722911523,0,-2.2161170722911523,0,0,0.0,0.0,0,0.0,2.2161170722911523,0,-2.2161170722911523
Air Force,Kam Sanders,3,7,0.42857142857142855,7.88735447127263,8,0.11264552872736999,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,10.046997023657195,10,-0.0469970236571946
Air Force,Caleb Walker,6,6,1.0,5.777989807609962,12,6.222010192390038,3,6,0.5,4.319285104769128,3,-1.3192851047691283,10.09727491237909,15,4.90272508762091
Air Force,Kolby Gilles,0,3,0.0,2.9737317911290404,0,-2.9737317911290404,5,8,0.625,5.759046806358838,5,-0.759046806358838,8.73277859748788,5,-3.7327785974878793
Air Force,Justin Hinds,1,3,0.3333333333333333,2.81302307476603,2,-0.8130230747660301,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,3.532903925560885,2,-1.532903925560885
