Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Southern Indiana,Ismail Habib,8,19,0.42105263157894735,19.42677641264941,20,0.57322358735059,3,7,0.42857142857142855,5.039170871047651,3,-2.0391708710476513,24.465947283697062,23,-1.4659472836970622
Southern Indiana,Kaden Brown,2,9,0.2222222222222222,9.26567228375017,6,-3.2656722837501704,1,6,0.16666666666666666,4.319289318040844,1,-3.319289318040844,13.584961601791015,7,-6.584961601791015
Southern Indiana,Ola Ajiboye,1,2,0.5,1.9309849357080577,2,0.06901506429194226,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,6.250274253748902,7,0.749725746251098
Southern Indiana,Tolu Samuels,0,1,0.0,1.0134220899495399,0,-1.0134220899495399,3,8,0.375,5.759052424054459,3,-2.7590524240544587,6.772474514003998,3,-3.7724745140039984
Southern Indiana,Alem Fejzic,1,2,0.5,2.083424884273631,3,0.9165751157263688,0,0,0.0,0.0,0,0.0,2.083424884273631,3,0.9165751157263688
Southern Indiana,Cardell Bailey,9,15,0.6,13.804050469215973,21,7.195949530784027,5,7,0.7142857142857143,5.039170871047651,5,-0.03917087104765127,18.843221340263625,26,7.156778659736375
Southern Indiana,Sheridan Sharp,1,4,0.25,3.4889971024079403,2,-1.4889971024079403,0,0,0.0,0.0,0,0.0,3.4889971024079403,2,-1.4889971024079403
Southern Indiana,Devin Curtis,1,3,0.3333333333333333,3.3968596315693547,2,-1.3968596315693547,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,4.836622737582969,3,-1.8366227375829691
Western Michigan,Brady Swartz,2,6,0.3333333333333333,6.099501107024385,4,-2.099501107024385,0,0,0.0,0.0,0,0.0,6.099501107024385,4,-2.099501107024385
Western Michigan,Jayden Brewer,10,14,0.7142857142857143,14.112259580086626,23,8.887740419913374,3,3,1.0,2.159644659020422,3,0.8403553409795781,16.271904239107048,26,9.728095760892952
Western Michigan,Trey Lewis,4,10,0.4,10.507861626271643,11,0.49213837372835734,1,4,0.25,2.8795262120272294,1,-1.8795262120272294,13.387387838298872,12,-1.3873878382988725
Western Michigan,EJ Ryans,6,11,0.5454545454545454,11.03223831933,14,2.96776168067,0,0,0.0,0.0,0,0.0,11.03223831933,14,2.96776168067
Western Michigan,Hudson Ward,3,5,0.6,4.7463538138649,6,1.2536461861351,0,0,0.0,0.0,0,0.0,4.7463538138649,6,1.2536461861351
Western Michigan,Carson Vis,2,4,0.5,4.419550213161541,5,0.580449786838459,3,4,0.75,2.8795262120272294,3,0.12047378797277064,7.299076425188771,8,0.7009235748112292
Western Michigan,Max Burton,4,5,0.8,4.920137860283355,8,3.079862139716645,1,1,1.0,0.7198815530068073,1,0.28011844699319266,5.640019413290163,9,3.3599805867098373
Western Michigan,Nicholas Errica,0,1,0.0,0.9068089862489708,0,-0.9068089862489708,0,0,0.0,0.0,0,0.0,0.9068089862489708,0,-0.9068089862489708
Western Michigan,Michael Sulaka,0,1,0.0,0.8166057208592482,0,-0.8166057208592482,0,0,0.0,0.0,0,0.0,0.8166057208592482,0,-0.8166057208592482
Western Michigan,Jalen Griffith,4,7,0.5714285714285714,6.481071837359374,9,2.518928162640626,0,0,0.0,0.0,0,0.0,6.481071837359374,9,2.518928162640626
