Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Tennessee State,Travis Harper II,2,8,0.25,7.434047139427133,5,-2.4340471394271326,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,10.313573351454362,7,-3.3135733514543624
Tennessee State,Aaron Nkrumah,4,13,0.3076923076923077,11.532067812817647,9,-2.5320678128176475,1,3,0.3333333333333333,2.159644659020422,1,-1.159644659020422,13.69171247183807,10,-3.69171247183807
Tennessee State,Dante Harris,5,10,0.5,8.857020099109443,10,1.1429799008905572,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,10.296783205123058,10,-0.29678320512305767
Tennessee State,Khalil London,4,12,0.3333333333333333,12.273439737337418,10,-2.2734397373374176,0,0,0.0,0.0,0,0.0,12.273439737337418,10,-2.2734397373374176
Tennessee State,Antoine Lorick III,1,5,0.2,4.444977425035657,2,-2.444977425035657,1,3,0.3333333333333333,2.159644659020422,1,-1.159644659020422,6.6046220840560785,3,-3.6046220840560785
Tennessee State,Jalen Pitre,2,4,0.5,4.039412603872609,4,-0.03941260387260925,7,8,0.875,5.759052424054459,7,1.2409475759455413,9.798465027927069,11,1.2015349720729311
Tennessee State,Carlous Williams,0,5,0.0,4.241666382440878,0,-4.241666382440878,0,0,0.0,0.0,0,0.0,4.241666382440878,0,-4.241666382440878
Tennessee State,Kavien Jones,1,4,0.25,3.9185563200777906,2,-1.9185563200777906,0,0,0.0,0.0,0,0.0,3.9185563200777906,2,-1.9185563200777906
Tennessee State,Jabrion Spikes,0,2,0.0,1.8391218420575604,0,-1.8391218420575604,0,0,0.0,0.0,0,0.0,1.8391218420575604,0,-1.8391218420575604
Tennessee State,Damon Howard Jr.,0,2,0.0,1.788659554415828,0,-1.788659554415828,0,0,0.0,0.0,0,0.0,1.788659554415828,0,-1.788659554415828
Alabama A&M,Kintavious Dozier,4,7,0.5714285714285714,6.551850952215402,9,2.4481490477845984,9,9,1.0,6.478933977061266,9,2.521066022938734,13.030784929276667,18,4.969215070723333
Alabama A&M,Sami Pissis,7,12,0.5833333333333334,11.319807489826644,18,6.680192510173356,3,4,0.75,2.8795262120272294,3,0.12047378797277064,14.199333701853874,21,6.800666298146126
Alabama A&M,Koron Davis,4,10,0.4,9.393808617262962,8,-1.3938086172629625,6,8,0.75,5.759052424054459,6,0.24094757594554128,15.152861041317422,14,-1.152861041317422
Alabama A&M,Lou Hutchinson,0,1,0.0,1.1073568811359809,0,-1.1073568811359809,0,0,0.0,0.0,0,0.0,1.1073568811359809,0,-1.1073568811359809
Alabama A&M,Gabe Kincy,0,1,0.0,0.833249513188519,0,-0.833249513188519,0,0,0.0,0.0,0,0.0,0.833249513188519,0,-0.833249513188519
Alabama A&M,Peyton Daniels Sr.,0,3,0.0,2.757430023371346,0,-2.757430023371346,0,0,0.0,0.0,0,0.0,2.757430023371346,0,-2.757430023371346
Alabama A&M,PJ Eason,4,7,0.5714285714285714,6.799916332395502,8,1.2000836676044981,2,6,0.3333333333333333,4.319289318040844,2,-2.319289318040844,11.119205650436346,10,-1.1192056504363457
Alabama A&M,James Graham III,7,9,0.7777777777777778,8.331989603596881,17,8.668010396403119,0,0,0.0,0.0,0,0.0,8.331989603596881,17,8.668010396403119
Alabama A&M,Angok Anyang,0,1,0.0,1.0134220899495399,0,-1.0134220899495399,0,0,0.0,0.0,0,0.0,1.0134220899495399,0,-1.0134220899495399
