Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Virginia,Malik Thomas,4,7,0.5714285714285714,6.774386679241835,9,2.225613320758165,2,5,0.4,3.599404253974274,2,-1.5994042539742739,10.373790933216108,11,0.6262090667838915
Virginia,Sam Lewis,2,8,0.25,7.12199183351143,4,-3.12199183351143,0,0,0.0,0.0,0,0.0,7.12199183351143,4,-3.12199183351143
Virginia,Johann Grunloh,6,7,0.8571428571428571,7.0712394088181805,14,6.9287605911818195,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,9.230881961202744,15,5.769118038797256
Virginia,Thijs De Ridder,4,6,0.6666666666666666,5.973533608440569,9,3.026466391559431,6,9,0.6666666666666666,6.478927657153693,6,-0.4789276571536929,12.452461265594263,15,2.5475387344057374
Virginia,Dallin Hall,1,2,0.5,2.20190780869378,3,0.7980921913062198,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.6416695102834895,5,1.3583304897165105
Virginia,Chance Mallory,3,3,1.0,3.269730616112806,8,4.730269383887194,8,9,0.8888888888888888,6.478927657153693,8,1.521072342846307,9.7486582732665,16,6.2513417267335
Virginia,Ugonna Onyenso,4,8,0.5,7.672180875817798,9,1.3278191241822022,0,0,0.0,0.0,0,0.0,7.672180875817798,9,1.3278191241822022
Virginia,Jacari White,3,5,0.6,5.2862813646451166,9,3.7137186353548834,1,1,1.0,0.7198808507948548,1,0.28011914920514525,6.006162215439971,10,3.9938377845600286
Virginia,Devin Tillis,0,4,0.0,4.271150870473393,0,-4.271150870473393,0,0,0.0,0.0,0,0.0,4.271150870473393,0,-4.271150870473393
Virginia,Carter Lang,1,1,1.0,1.1977730894327518,3,1.8022269105672482,0,0,0.0,0.0,0,0.0,1.1977730894327518,3,1.8022269105672482
Virginia,Martin Carrere,0,1,0.0,0.9290614423082544,0,-0.9290614423082544,0,0,0.0,0.0,0,0.0,0.9290614423082544,0,-0.9290614423082544
Texas,Matas Vokietaitis,2,7,0.2857142857142857,6.949674807946783,4,-2.949674807946783,3,9,0.3333333333333333,6.478927657153693,3,-3.478927657153693,13.428602465100475,7,-6.428602465100475
Texas,Jordan Pope,3,8,0.375,7.714593327531477,6,-1.7145933275314773,4,4,1.0,2.879523403179419,4,1.120476596820581,10.594116730710896,10,-0.5941167307108959
Texas,Dailyn Swain,6,13,0.46153846153846156,13.059617680339285,13,-0.05961768033928472,2,2,1.0,1.4397617015897095,2,0.5602382984102905,14.499379381928994,15,0.5006206180710056
Texas,Tramon Mark,4,8,0.5,7.911423879678395,9,1.088576120321605,0,0,0.0,0.0,0,0.0,7.911423879678395,9,1.088576120321605
Texas,Nic Codie,1,3,0.3333333333333333,3.123590947263468,2,-1.1235909472634682,0,0,0.0,0.0,0,0.0,3.123590947263468,2,-1.1235909472634682
Texas,Simeon Wilcher,3,8,0.375,7.748149151994788,8,0.25185084800521196,0,0,0.0,0.0,0,0.0,7.748149151994788,8,0.25185084800521196
Texas,Chendall Weaver,3,9,0.3333333333333333,9.63933514258528,6,-3.6393351425852796,3,3,1.0,2.159642552384564,3,0.8403574476154358,11.798977694969844,9,-2.798977694969844
Texas,Camden Heide,1,2,0.5,2.1388449987326483,2,-0.13884499873264833,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.578606700322358,4,0.42139329967764194
Texas,Lassina Traore,0,0,0.0,0.0,0,0.0,3,4,0.75,2.879523403179419,3,0.12047659682058098,2.879523403179419,3,0.12047659682058098
Texas,Declan Duru Jr.,1,1,1.0,1.1243192572021015,2,0.8756807427978985,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,1.844200107996956,2,0.1557998920030439
