Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
The Citadel,Christian Moore,4,9,0.4444444444444444,9.228859765593123,10,0.771140234406877,0,3,0.0,2.159642552384564,0,-2.159642552384564,11.388502317977688,10,-1.3885023179776876
The Citadel,Sola Adebisi,3,6,0.5,6.2898803132832715,6,-0.28988031328327146,0,0,0.0,0.0,0,0.0,6.2898803132832715,6,-0.28988031328327146
The Citadel,Simeon German,1,2,0.5,1.8159520850331172,2,0.18404791496688278,0,0,0.0,0.0,0,0.0,1.8159520850331172,2,0.18404791496688278
The Citadel,Eze Wali,4,8,0.5,7.865740814063869,8,0.13425918593613062,0,0,0.0,0.0,0,0.0,7.865740814063869,8,0.13425918593613062
The Citadel,Carter Kingsbury,2,2,1.0,2.031165149806684,4,1.968834850193316,1,1,1.0,0.7198808507948548,1,0.28011914920514525,2.751046000601539,5,2.248953999398461
The Citadel,Braxton Williams,3,6,0.5,6.422159165264269,7,0.5778408347357313,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.861920866853978,9,1.1380791331460216
The Citadel,Logan Applegate,2,5,0.4,5.389428815394823,6,0.6105711846051767,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,7.549071367779387,8,0.45092863222061297
The Citadel,Keynan Davis,1,5,0.2,5.017069009209312,2,-3.0170690092093118,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.4568307107990215,3,-3.4568307107990215
The Citadel,Gabe Hernandez,4,5,0.8,4.526285150512301,8,3.473714849487699,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,6.6859277028968656,10,3.3140722971031344
The Citadel,Dante Kearse,1,2,0.5,1.5456930709108572,2,0.45430692908914283,0,0,0.0,0.0,0,0.0,1.5456930709108572,2,0.45430692908914283
Davidson,Josh Scovens,6,8,0.75,7.041728899100368,12,4.958271100899632,3,7,0.42857142857142855,5.039165955563983,3,-2.039165955563983,12.08089485466435,15,2.9191051453356494
Davidson,Ian Platteeuw,1,3,0.3333333333333333,2.955444017303968,2,-0.955444017303968,2,4,0.5,2.879523403179419,2,-0.879523403179419,5.8349674204833875,4,-1.8349674204833875
Davidson,Devin Brown,3,8,0.375,8.286894655264888,9,0.7131053447351121,0,0,0.0,0.0,0,0.0,8.286894655264888,9,0.7131053447351121
Davidson,Parker Friedrichsen,1,6,0.16666666666666666,6.081297790622054,3,-3.0812977906220542,0,0,0.0,0.0,0,0.0,6.081297790622054,3,-3.0812977906220542
Davidson,Sam Brown,4,12,0.3333333333333333,12.072334796088523,9,-3.072334796088523,1,1,1.0,0.7198808507948548,1,0.28011914920514525,12.792215646883378,10,-2.7922156468833776
Davidson,Nick Coval,6,8,0.75,8.339444013918676,15,6.660555986081324,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,10.49908656630324,16,5.500913433696759
Davidson,Roberts Blums,5,9,0.5555555555555556,9.53617779022448,14,4.46382220977552,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.97593949181419,16,5.02406050818581
Davidson,Joe Hurlburt,0,3,0.0,3.2050102390988116,0,-3.2050102390988116,0,0,0.0,0.0,0,0.0,3.2050102390988116,0,-3.2050102390988116
Davidson,Hunter Adam,0,2,0.0,2.251527211992026,0,-2.251527211992026,0,0,0.0,0.0,0,0.0,2.251527211992026,0,-2.251527211992026
Davidson,JaQualon Roberts,1,1,1.0,1.094641675607162,2,0.905358324392838,4,4,1.0,2.879523403179419,4,1.120476596820581,3.974165078786581,6,2.025834921213419
