Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Baylor,Tounde Yessoufou,8,15,0.5333333333333333,15.000503002593653,20,4.999496997406347,2,4,0.5,2.879523403179419,2,-0.879523403179419,17.880026405773073,22,4.119973594226927
Baylor,Cameron Carr,3,15,0.2,15.408424856011314,8,-7.4084248560113135,5,5,1.0,3.599404253974274,5,1.4005957460257261,19.007829109985586,13,-6.007829109985586
Baylor,Isaac Williams IV,2,5,0.4,4.322171456070723,6,1.6778285439292766,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.761933157660433,8,2.238066842339567
Baylor,Caden Powell,3,4,0.75,3.819947138023009,6,2.180052861976991,1,5,0.2,3.599404253974274,1,-2.599404253974274,7.419351391997283,7,-0.41935139199728333
Baylor,Michael Rataj,1,5,0.2,4.591398005746392,2,-2.5913980057463917,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,6.751040558130956,4,-2.7510405581309563
Baylor,Dan Skillings Jr.,2,10,0.2,10.318357328031315,4,-6.318357328031315,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,14.637642432800444,9,-5.637642432800444
Baylor,Obi Agbim,3,10,0.3,9.86969361681956,8,-1.8696936168195606,0,0,0.0,0.0,0,0.0,9.86969361681956,8,-1.8696936168195606
Memphis,Dug McDaniel,4,12,0.3333333333333333,10.781438787577319,9,-1.7814387875773185,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.221200489167028,11,-1.2212004891670283
Memphis,William Whorton,0,2,0.0,2.139186704702381,0,-2.139186704702381,0,0,0.0,0.0,0,0.0,2.139186704702381,0,-2.139186704702381
Memphis,Simon Majok,2,6,0.3333333333333333,6.106429059981967,4,-2.1064290599819673,0,0,0.0,0.0,0,0.0,6.106429059981967,4,-2.1064290599819673
Memphis,Quante Berry,0,6,0.0,6.2915404199084595,0,-6.2915404199084595,3,4,0.75,2.879523403179419,3,0.12047659682058098,9.171063823087879,3,-6.171063823087879
Memphis,Aaron Bradshaw,7,12,0.5833333333333334,11.388088076548737,14,2.611911923451263,3,4,0.75,2.879523403179419,3,0.12047659682058098,14.267611479728156,17,2.7323885202718436
Memphis,Sincere Parker,3,8,0.375,7.572311874273632,7,-0.5723118742736322,3,4,0.75,2.879523403179419,3,0.12047659682058098,10.451835277453052,10,-0.45183527745305163
Memphis,Ashton Hardaway,3,6,0.5,6.077308429848576,6,-0.07730842984857578,0,0,0.0,0.0,0,0.0,6.077308429848576,6,-0.07730842984857578
Memphis,Zach Davis,7,14,0.5,13.770788042862009,15,1.2292119571379914,8,10,0.8,7.198808507948548,8,0.8011914920514522,20.969596550810557,23,2.0304034491894427
Memphis,Tariq Ingraham,2,2,1.0,1.7697501617358986,4,2.2302498382641014,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,2.4896310125307535,4,1.5103689874692465
