Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Duke,Nikolas Khamenia,3,7,0.42857142857142855,8.504836396351903,9,0.49516360364809664,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.944598097941613,10,0.05540190205838691
Duke,Caleb Foster,4,9,0.4444444444444444,8.71997099046367,9,0.2800290095363298,3,4,0.75,2.879523403179419,3,0.12047659682058098,11.59949439364309,12,0.40050560635691035
Duke,Cameron Boozer,7,13,0.5384615384615384,12.176931861168296,15,2.8230681388317045,3,4,0.75,2.879523403179419,3,0.12047659682058098,15.056455264347715,18,2.943544735652285
Duke,Isaiah Evans,2,8,0.25,8.63784353437837,6,-2.6378435343783693,3,3,1.0,2.159642552384564,3,0.8403574476154358,10.797486086762934,9,-1.7974860867629339
Duke,Maliq Brown,1,2,0.5,2.006550980575553,2,-0.006550980575553034,0,0,0.0,0.0,0,0.0,2.006550980575553,2,-0.006550980575553034
Duke,Cayden Boozer,1,6,0.16666666666666666,5.4985062818400285,2,-3.4985062818400285,0,0,0.0,0.0,0,0.0,5.4985062818400285,2,-3.4985062818400285
Duke,Dame Sarr,1,4,0.25,4.003958902904524,3,-1.0039589029045244,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.443720604494234,4,-1.4437206044942341
Duke,Darren Harris,1,3,0.3333333333333333,2.8344376223873704,3,0.1655623776126296,0,0,0.0,0.0,0,0.0,2.8344376223873704,3,0.1655623776126296
Duke,Patrick Ngongba II,1,3,0.3333333333333333,2.7306557951203656,2,-0.7306557951203656,4,8,0.5,5.759046806358838,4,-1.759046806358838,8.489702601479204,6,-2.4897026014792036
Michigan State,Jaxon Kohler,5,11,0.45454545454545453,10.060697321952807,14,3.939302678047193,0,0,0.0,0.0,0,0.0,10.060697321952807,14,3.939302678047193
Michigan State,Kur Teng,0,5,0.0,4.791355766870343,0,-4.791355766870343,0,0,0.0,0.0,0,0.0,4.791355766870343,0,-4.791355766870343
Michigan State,Carson Cooper,7,13,0.5384615384615384,12.129278185574604,14,1.870721814425396,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,14.288920737959169,16,1.7110792620408315
Michigan State,Jeremy Fears Jr.,0,10,0.0,8.369042137874022,0,-8.369042137874022,6,6,1.0,4.319285104769128,6,1.6807148952308717,12.688327242643151,6,-6.688327242643151
Michigan State,Coen Carr,4,13,0.3076923076923077,12.136776931033664,8,-4.136776931033664,2,5,0.4,3.599404253974274,2,-1.5994042539742739,15.736181185007938,10,-5.736181185007938
Michigan State,Trey Fort,1,2,0.5,1.7011247647019991,2,0.29887523529800086,0,0,0.0,0.0,0,0.0,1.7011247647019991,2,0.29887523529800086
Michigan State,Cam Ward,0,4,0.0,3.5811327311972807,0,-3.5811327311972807,0,0,0.0,0.0,0,0.0,3.5811327311972807,0,-3.5811327311972807
Michigan State,Divine Ugochukwu,1,2,0.5,1.7458112476723362,3,1.2541887523276638,0,0,0.0,0.0,0,0.0,1.7458112476723362,3,1.2541887523276638
Michigan State,Jesse McCulloch,1,2,0.5,2.354079263591564,3,0.6459207364084358,0,0,0.0,0.0,0,0.0,2.354079263591564,3,0.6459207364084358
Michigan State,Jordan Scott,2,4,0.5,4.217460305706801,6,1.7825396942931988,0,0,0.0,0.0,0,0.0,4.217460305706801,6,1.7825396942931988
