Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
East Texas A&M,Josh Taylor,4,9,0.4444444444444444,7.823220278612866,9,1.1767797213871338,0,0,0.0,0.0,0,0.0,7.823220278612866,9,1.1767797213871338
East Texas A&M,Damian Garcia,4,12,0.3333333333333333,12.820814273341993,11,-1.820814273341993,1,1,1.0,0.7198808507948548,1,0.28011914920514525,13.540695124136848,12,-1.5406951241368478
East Texas A&M,Ronnie Harrison,6,12,0.5,11.004944552632924,13,1.9950554473670756,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.444706254222634,15,2.555293745777366
East Texas A&M,Michael Folarin,1,4,0.25,3.794342466541308,2,-1.7943424665413081,3,4,0.75,2.879523403179419,3,0.12047659682058098,6.673865869720727,5,-1.6738658697207267
East Texas A&M,London Fields,0,2,0.0,2.0836353072306917,0,-2.0836353072306917,0,0,0.0,0.0,0,0.0,2.0836353072306917,0,-2.0836353072306917
East Texas A&M,Noah Pagotto,1,2,0.5,1.8421922574081526,2,0.15780774259184738,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.281953958997862,4,0.7180460410021379
East Texas A&M,Gianni Hunt,4,8,0.5,7.4557116216452135,10,2.5442883783547865,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,9.615354174029777,11,1.3846458259702228
East Texas A&M,Vinny Sigona,1,3,0.3333333333333333,3.4774840305222203,3,-0.4774840305222203,0,0,0.0,0.0,0,0.0,3.4774840305222203,3,-0.4774840305222203
East Texas A&M,Tay Mosher,0,1,0.0,1.4386161836528444,0,-1.4386161836528444,0,0,0.0,0.0,0,0.0,1.4386161836528444,0,-1.4386161836528444
East Texas A&M,Evan Phelps,0,1,0.0,0.7452022821872135,0,-0.7452022821872135,0,0,0.0,0.0,0,0.0,0.7452022821872135,0,-0.7452022821872135
UConn,Silas Demary Jr.,4,9,0.4444444444444444,8.496956668352796,8,-0.49695666835279617,0,0,0.0,0.0,0,0.0,8.496956668352796,8,-0.49695666835279617
UConn,Alex Karaban,5,10,0.5,10.71559738985011,10,-0.7155973898501102,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.15535909143982,12,-0.15535909143981996
UConn,Solo Ball,5,10,0.5,10.56109362570626,12,1.4389063742937402,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.00085532729597,14,1.9991446727040305
UConn,Jaylin Stewart,4,5,0.8,4.75056310421264,8,3.24943689578736,1,1,1.0,0.7198808507948548,1,0.28011914920514525,5.470443955007495,9,3.529556044992505
UConn,Eric Reibe,5,9,0.5555555555555556,9.342976429764091,10,0.6570235702359088,3,5,0.6,3.599404253974274,3,-0.5994042539742739,12.942380683738365,13,0.05761931626163452
UConn,Malachi Smith,3,4,0.75,3.8231687933622984,6,2.1768312066377016,1,1,1.0,0.7198808507948548,1,0.28011914920514525,4.543049644157153,7,2.4569503558428467
UConn,Jayden Ross,2,4,0.5,4.296119205047954,5,0.7038807949520463,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.7358809066376635,6,0.2641190933623365
UConn,Braylon Mullins,4,10,0.4,9.365544209441927,9,-0.3655442094419268,1,1,1.0,0.7198808507948548,1,0.28011914920514525,10.085425060236782,10,-0.08542506023678165
UConn,Dwayne Koroma,1,2,0.5,2.111933755713856,2,-0.111933755713856,0,0,0.0,0.0,0,0.0,2.111933755713856,2,-0.111933755713856
UConn,Jacob Furphy,1,1,1.0,0.8556020285140301,2,1.14439797148597,0,0,0.0,0.0,0,0.0,0.8556020285140301,2,1.14439797148597
UConn,Rrezon Elezaj,0,1,0.0,0.9051836072023163,0,-0.9051836072023163,0,0,0.0,0.0,0,0.0,0.9051836072023163,0,-0.9051836072023163
