Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Fresno State,DeShawn Gory,2,6,0.3333333333333333,5.9169144817420785,4,-1.9169144817420785,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,6.636795332536933,4,-2.6367953325369333
Fresno State,Jake Heidbreder,1,10,0.1,9.938870592462113,2,-7.938870592462113,6,6,1.0,4.319285104769128,6,1.6807148952308717,14.258155697231242,8,-6.258155697231242
Fresno State,Cameron Faas,3,6,0.5,6.5001370381302,6,-0.5001370381301999,0,0,0.0,0.0,0,0.0,6.5001370381302,6,-0.5001370381301999
Fresno State,Zaon Collins,2,14,0.14285714285714285,12.110695513921026,4,-8.110695513921026,0,0,0.0,0.0,0,0.0,12.110695513921026,4,-8.110695513921026
Fresno State,Wilson Jacques,5,9,0.5555555555555556,8.022168083788525,11,2.977831916211475,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.461929785378235,12,2.538070214621765
Fresno State,David Douglas Jr.,1,4,0.25,4.207961597937561,2,-2.207961597937561,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.647723299527271,3,-2.6477232995272706
Fresno State,Jac Mani,4,7,0.5714285714285714,7.779439139839129,10,2.2205608601608713,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.219200841428838,12,2.7807991585711616
Fresno State,Makhan Diouf,1,3,0.3333333333333333,2.941366148007894,2,-0.9413661480078939,0,0,0.0,0.0,0,0.0,2.941366148007894,2,-0.9413661480078939
Fresno State,Gasper Kocevar,1,2,0.5,2.1138831333371835,2,-0.11388313333718347,0,0,0.0,0.0,0,0.0,2.1138831333371835,2,-0.11388313333718347
Fresno State,DJ Stickman,2,2,1.0,2.2099958827661315,5,2.7900041172338685,0,0,0.0,0.0,0,0.0,2.2099958827661315,5,2.7900041172338685
Arkansas,Darius Acuff Jr.,7,12,0.5833333333333334,11.33135990893876,17,5.66864009106124,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,12.77112161052847,18,5.2288783894715305
Arkansas,Trevon Brazile,1,7,0.14285714285714285,6.246534646012113,2,-4.246534646012113,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,8.406177198396676,4,-4.406177198396676
Arkansas,D.J. Wagner,4,10,0.4,10.192473440918372,10,-0.1924734409183717,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.632235142508081,12,0.36776485749191856
Arkansas,Billy Richmond III,3,5,0.6,4.868355398413542,6,1.1316446015864576,0,0,0.0,0.0,0,0.0,4.868355398413542,6,1.1316446015864576
Arkansas,Malique Ewin,4,6,0.6666666666666666,6.121449522886724,8,1.8785504771132757,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,7.561211224476434,9,1.438788775523566
Arkansas,Meleek Thomas,4,12,0.3333333333333333,12.91395288038865,11,-1.9139528803886492,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,14.353714581978359,12,-2.353714581978359
Arkansas,Nick Pringle,1,2,0.5,1.8142937436072457,2,0.1857062563927543,0,0,0.0,0.0,0,0.0,1.8142937436072457,2,0.1857062563927543
Arkansas,Karter Knox,4,9,0.4444444444444444,8.933229591290953,11,2.066770408709047,0,0,0.0,0.0,0,0.0,8.933229591290953,11,2.066770408709047
Arkansas,Isaiah Sealy,2,3,0.6666666666666666,3.302598630190942,4,0.6974013698090582,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,7.62188373496007,8,0.3781162650399299
