Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Gonzaga,Braden Huff,9,11,0.8181818181818182,10.022835271255303,18,7.977164728744697,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,12.182477823639868,20,7.817522176360132
Gonzaga,Mario Saint-Supry,0,3,0.0,3.182840558014939,0,-3.182840558014939,0,0,0.0,0.0,0,0.0,3.182840558014939,0,-3.182840558014939
Gonzaga,Graham Ike,11,18,0.6111111111111112,16.74924804011637,23,6.25075195988363,5,6,0.8333333333333334,4.319285104769128,5,0.6807148952308717,21.0685331448855,28,6.9314668551145004
Gonzaga,Steele Venters,1,4,0.25,4.783645622666125,3,-1.7836456226661248,0,0,0.0,0.0,0,0.0,4.783645622666125,3,-1.7836456226661248
Gonzaga,Adam Miller,4,6,0.6666666666666666,5.950485521054973,11,5.049514478945027,0,0,0.0,0.0,0,0.0,5.950485521054973,11,5.049514478945027
Gonzaga,Jalen Warley,2,3,0.6666666666666666,2.5084800467975734,4,1.4915199532024266,2,2,1.0,1.4397617015897095,2,0.5602382984102905,3.948241748387283,6,2.051758251612717
Gonzaga,Braeden Smith,4,7,0.5714285714285714,6.270317934521499,9,2.7296820654785012,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,8.429960486906063,11,2.5700395130939366
Gonzaga,Tyon Grant-Foster,1,5,0.2,3.9038832093351457,2,-1.9038832093351457,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.343644910924855,4,-1.343644910924855
Gonzaga,Emmanuel Innocenti,2,2,1.0,2.4504468220935554,5,2.5495531779064446,0,0,0.0,0.0,0,0.0,2.4504468220935554,5,2.5495531779064446
Gonzaga,Davis Fogle,0,2,0.0,1.519195897409093,0,-1.519195897409093,0,0,0.0,0.0,0,0.0,1.519195897409093,0,-1.519195897409093
Kentucky,Kam Williams,0,3,0.0,3.478285889492549,0,-3.478285889492549,0,0,0.0,0.0,0,0.0,3.478285889492549,0,-3.478285889492549
Kentucky,Collin Chandler,3,8,0.375,8.079983520850455,8,-0.07998352085045468,3,4,0.75,2.879523403179419,3,0.12047659682058098,10.959506924029874,11,0.04049307597012586
Kentucky,Malachi Moreno,2,6,0.3333333333333333,5.266679607576631,4,-1.2666796075766307,1,1,1.0,0.7198808507948548,1,0.28011914920514525,5.9865604583714855,5,-0.9865604583714855
Kentucky,Otega Oweh,3,7,0.42857142857142855,6.945937862585385,7,0.05406213741461485,9,10,0.9,7.198808507948548,9,1.8011914920514522,14.144746370533934,16,1.8552536294660662
Kentucky,Jaland Lowe,0,5,0.0,4.996255329227944,0,-4.996255329227944,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.436017030817654,1,-5.436017030817654
Kentucky,Jasper Johnson,2,7,0.2857142857142857,6.8813549985880025,5,-1.8813549985880025,3,4,0.75,2.879523403179419,3,0.12047659682058098,9.760878401767421,8,-1.760878401767421
Kentucky,Andrija Jelavić,0,6,0.0,6.784884116320803,0,-6.784884116320803,0,0,0.0,0.0,0,0.0,6.784884116320803,0,-6.784884116320803
Kentucky,Denzel Aberdeen,3,12,0.25,11.016159032290192,7,-4.016159032290192,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,13.175801584674756,8,-5.1758015846747565
Kentucky,Brandon Garrison,2,3,0.6666666666666666,2.8482650753101604,5,2.1517349246898396,0,0,0.0,0.0,0,0.0,2.8482650753101604,5,2.1517349246898396
Kentucky,Trent Noah,1,3,0.3333333333333333,2.8020719891250563,3,0.19792801087494372,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.241833690714766,5,0.758166309285234
