Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Jacksonville,Evan Sterck,3,7,0.42857142857142855,6.4488051579392645,8,1.5511948420607355,0,0,0.0,0.0,0,0.0,6.4488051579392645,8,1.5511948420607355
Jacksonville,Donovan Rivers,0,2,0.0,2.0152314396212785,0,-2.0152314396212785,0,0,0.0,0.0,0,0.0,2.0152314396212785,0,-2.0152314396212785
Jacksonville,Chris Arias,3,7,0.42857142857142855,7.270375947453385,7,-0.27037594745338467,0,0,0.0,0.0,0,0.0,7.270375947453385,7,-0.27037594745338467
Jacksonville,Charles Caporaso,1,2,0.5,1.6841732845052384,2,0.3158267154947616,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,6.723339240069222,6,-0.7233392400692216
Jacksonville,Hayden Wood,3,7,0.42857142857142855,7.853406163581438,8,0.14659383641856216,0,0,0.0,0.0,0,0.0,7.853406163581438,8,0.14659383641856216
Jacksonville,Chris Lockett Jr.,5,15,0.3333333333333333,16.024166543834454,14,-2.024166543834454,1,1,1.0,0.7198808507948548,1,0.28011914920514525,16.74404739462931,15,-1.744047394629309
Jacksonville,Allen Udemadu,0,2,0.0,1.7294343715775171,0,-1.7294343715775171,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.1691960731672264,1,-2.1691960731672264
Jacksonville,Michael Harper Jr.,2,9,0.2222222222222222,8.705399358484437,5,-3.7053993584844367,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,10.145161060074146,6,-4.145161060074146
Jacksonville,Jason Thirdkill Jr.,3,6,0.5,6.142215052165445,7,0.8577849478345554,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.581976753755154,9,1.4180232462448457
Jacksonville,Enrico Borio,1,2,0.5,2.273070934854178,3,0.7269290651458218,0,0,0.0,0.0,0,0.0,2.273070934854178,3,0.7269290651458218
Jacksonville,Jaylen Jones,1,5,0.2,5.24453840472726,2,-3.24453840472726,0,0,0.0,0.0,0,0.0,5.24453840472726,2,-3.24453840472726
Florida International,Larry Olayinka,1,3,0.3333333333333333,2.9624366830406546,2,-0.9624366830406546,3,4,0.75,2.879523403179419,3,0.12047659682058098,5.841960086220073,5,-0.8419600862200731
Florida International,Eric Dibami,4,5,0.8,4.862189035049933,8,3.1378109649500674,6,8,0.75,5.759046806358838,6,0.24095319364116197,10.62123584140877,14,3.3787641585912294
Florida International,Corey Stephenson,4,7,0.5714285714285714,7.130535592385442,10,2.869464407614558,4,4,1.0,2.879523403179419,4,1.120476596820581,10.010058995564862,14,3.9899410044351384
Florida International,Zawdie Jackson,2,2,1.0,1.8214804798149073,4,2.178519520185093,5,5,1.0,3.599404253974274,5,1.4005957460257261,5.4208847337891815,9,3.5791152662108185
Florida International,Kennedy Brown,1,2,0.5,1.7181893981619747,2,0.2818106018380253,0,0,0.0,0.0,0,0.0,1.7181893981619747,2,0.2818106018380253
Florida International,Thiago Sucatzky,3,5,0.6,4.5110161047781165,7,2.4889838952218835,0,0,0.0,0.0,0,0.0,4.5110161047781165,7,2.4889838952218835
Florida International,Brit Harris,4,6,0.6666666666666666,6.8964487767990175,12,5.1035512232009825,0,0,0.0,0.0,0,0.0,6.8964487767990175,12,5.1035512232009825
Florida International,Amarion Nimmers,1,1,1.0,0.9901358384180627,2,1.0098641615819373,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.4298975400077722,3,0.5701024599922278
Florida International,Ashton Williamson,3,5,0.6,4.920945289560723,7,2.0790547104392774,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,5.6408261403555775,7,1.3591738596444225
Florida International,Julian Mackey,3,6,0.5,6.582439760644036,9,2.4175602393559643,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.022201462233745,11,2.9777985377662546
Florida International,Olajuwon Ibrahim,1,6,0.16666666666666666,5.758665171635118,2,-3.7586651716351183,2,4,0.5,2.879523403179419,2,-0.879523403179419,8.638188574814537,4,-4.638188574814537
