Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Morehead State,Josiah LeGree,4,8,0.5,7.066179132296265,9,1.9338208677037354,4,4,1.0,2.8795262120272294,4,1.1204737879727706,9.945705344323494,13,3.0542946556765056
Morehead State,Tamaury Releford,2,4,0.5,3.4964509836451967,4,0.5035490163548033,0,0,0.0,0.0,0,0.0,3.4964509836451967,4,0.5035490163548033
Morehead State,Chase Dawson,2,7,0.2857142857142857,6.267305641835145,4,-2.2673056418351454,1,1,1.0,0.7198815530068073,1,0.28011844699319266,6.987187194841953,5,-1.9871871948419528
Morehead State,Anouar Mellouk,5,10,0.5,9.318776968974442,11,1.6812230310255583,2,2,1.0,1.4397631060136147,2,0.5602368939863853,10.758540074988057,13,2.2414599250119434
Morehead State,Tyonne Farrell,3,6,0.5,6.220190733817465,7,0.7798092661825349,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,8.379835392837887,9,0.6201646071621134
Morehead State,Clayton Parker,4,9,0.4444444444444444,8.123518629419264,9,0.8764813705807359,0,0,0.0,0.0,0,0.0,8.123518629419264,9,0.8764813705807359
Morehead State,George Marshall,5,12,0.4166666666666667,11.9263465150228,14,2.0736534849772,2,5,0.4,3.599407765034037,2,-1.5994077650340368,15.525754280056837,16,0.47424571994316267
Morehead State,Vince Dawson III,1,2,0.5,1.7559538459791253,3,1.2440461540208747,0,0,0.0,0.0,0,0.0,1.7559538459791253,3,1.2440461540208747
Presbyterian,Triston Wilson,5,8,0.625,8.644148827678876,12,3.355851172321124,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,12.96343814571972,17,4.036561854280279
Presbyterian,Josh Pickett,2,5,0.4,5.124540292042868,5,-0.12454029204286776,7,8,0.875,5.759052424054459,7,1.2409475759455413,10.883592716097326,12,1.1164072839026744
Presbyterian,Carl Parrish,7,13,0.5384615384615384,12.386308543883967,18,5.613691456116033,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,13.826071649897582,18,4.173928350102418
Presbyterian,JD Bowden,1,5,0.2,4.252999353910729,2,-2.252999353910729,0,0,0.0,0.0,0,0.0,4.252999353910729,2,-2.252999353910729
Presbyterian,Jaylen Peterson,4,5,0.8,4.628167906097426,8,3.371832093902574,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,6.067931012111041,9,2.932068987888959
Presbyterian,Iverson King,0,2,0.0,2.168784053109966,0,-2.168784053109966,0,0,0.0,0.0,0,0.0,2.168784053109966,0,-2.168784053109966
Presbyterian,Khalon Hudson,4,7,0.5714285714285714,6.846759027542105,8,1.153240972457895,3,3,1.0,2.159644659020422,3,0.8403553409795781,9.006403686562527,11,1.9935963134374735
Presbyterian,Jonah Pierce,4,8,0.5,6.833138351245373,8,1.1668616487546268,3,9,0.3333333333333333,6.478933977061266,3,-3.478933977061266,13.31207232830664,11,-2.3120723283066393
