Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
NJIT,Jordan Rogers,0,1,0.0,1.565201538244532,0,-1.565201538244532,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,3.0049646442581466,1,-2.0049646442581466
NJIT,Jeremy Clayville,4,8,0.5,9.094537874172179,12,2.905462125827821,0,0,0.0,0.0,0,0.0,9.094537874172179,12,2.905462125827821
NJIT,David Bolden,5,11,0.45454545454545453,11.704580686458522,13,1.295419313541478,2,2,1.0,1.4397631060136147,2,0.5602368939863853,13.144343792472137,15,1.855656207527863
NJIT,Ari Fulton,6,11,0.5454545454545454,10.840949518214153,15,4.159050481785847,3,4,0.75,2.8795262120272294,3,0.12047378797277064,13.720475730241382,18,4.2795242697586175
NJIT,Malachi Arrington,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397631060136147,2,0.5602368939863853,1.4397631060136147,2,0.5602368939863853
NJIT,John Kelly,1,3,0.3333333333333333,3.4891842469887226,2,-1.4891842469887226,2,2,1.0,1.4397631060136147,2,0.5602368939863853,4.9289473530023376,4,-0.9289473530023376
NJIT,Rocco Awad,3,10,0.3,11.271206307809194,8,-3.2712063078091944,0,0,0.0,0.0,0,0.0,11.271206307809194,8,-3.2712063078091944
NJIT,Sebastian Robinson,2,8,0.25,7.241341908603157,5,-2.2413419086031574,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,10.120868120630387,7,-3.120868120630387
NJIT,Quentin Duncan,2,3,0.6666666666666666,3.181133416233759,5,1.818866583766241,0,0,0.0,0.0,0,0.0,3.181133416233759,5,1.818866583766241
High Point,Terry Anderson,5,9,0.5555555555555556,9.392266331039126,12,2.607733668960874,4,5,0.8,3.599407765034037,4,0.4005922349659632,12.991674096073163,16,3.0083259039268366
High Point,Cam'Ron Fletcher,5,17,0.29411764705882354,17.47075676556226,10,-7.47075676556226,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,18.910519871575875,11,-7.910519871575875
High Point,Rob Martin,8,12,0.6666666666666666,12.812156329125672,19,6.187843670874328,2,2,1.0,1.4397631060136147,2,0.5602368939863853,14.251919435139287,21,6.748080564860713
High Point,Chase Johnston,2,4,0.5,4.092676629192596,6,1.9073233708074042,0,0,0.0,0.0,0,0.0,4.092676629192596,6,1.9073233708074042
High Point,Scotty Washington,2,7,0.2857142857142857,7.299890071805101,5,-2.299890071805101,2,2,1.0,1.4397631060136147,2,0.5602368939863853,8.739653177818715,7,-1.739653177818715
High Point,Braden Hausen,3,8,0.375,8.21090031367599,8,-0.2109003136759906,2,2,1.0,1.4397631060136147,2,0.5602368939863853,9.650663419689606,10,0.3493365803103945
High Point,Josh Ibukunoluwa,3,5,0.6,5.070217676758174,6,0.9297823232418256,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,5.790099229764982,6,0.20990077023501819
High Point,Conrad Martinez,1,4,0.25,4.1876526137424115,2,-2.1876526137424115,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,7.067178825769641,4,-3.0671788257696413
High Point,Owen Aquino,2,2,1.0,2.041798872122926,4,1.9582011278770741,4,5,0.8,3.599407765034037,4,0.4005922349659632,5.641206637156962,8,2.3587933628430378
