Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Niagara,Justin Hawkins,3,10,0.3,9.10935054699293,6,-3.10935054699293,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,9.829232099999738,6,-3.8292320999997376
Niagara,Will Shortt,1,4,0.25,4.1943604148958595,2,-2.1943604148958595,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,5.634123520909474,3,-2.6341235209094744
Niagara,Reggie Prudhomme,4,8,0.5,7.954415026941469,10,2.0455849730585314,0,0,0.0,0.0,0,0.0,7.954415026941469,10,2.0455849730585314
Niagara,Justin Page,0,4,0.0,4.219294583662272,0,-4.219294583662272,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,5.659057689675887,1,-4.659057689675887
Niagara,Vice Zanki,1,4,0.25,3.7810544323083786,2,-1.7810544323083786,0,0,0.0,0.0,0,0.0,3.7810544323083786,2,-1.7810544323083786
Niagara,Josiah Sabino,2,5,0.4,5.014230995917671,4,-1.0142309959176714,3,4,0.75,2.8795262120272294,3,0.12047378797277064,7.893757207944901,7,-0.8937572079449012
Niagara,Drew Larson,0,2,0.0,2.2984452388448275,0,-2.2984452388448275,0,0,0.0,0.0,0,0.0,2.2984452388448275,0,-2.2984452388448275
Niagara,Brian Griffith,2,8,0.25,8.318916012493771,4,-4.318916012493771,0,0,0.0,0.0,0,0.0,8.318916012493771,4,-4.318916012493771
Niagara,Landon Williams,3,6,0.5,6.5165413777424295,7,0.4834586222575705,0,0,0.0,0.0,0,0.0,6.5165413777424295,7,0.4834586222575705
Niagara,Kabeya Tshibangu,3,4,0.75,4.079103454015226,6,1.9208965459847738,0,0,0.0,0.0,0,0.0,4.079103454015226,6,1.9208965459847738
Niagara,Gael Dalmau,2,4,0.5,4.277903933926444,5,0.722096066073556,0,0,0.0,0.0,0,0.0,4.277903933926444,5,0.722096066073556
Niagara,AJ McBride,1,1,1.0,0.94180952387676,2,1.0581904761232401,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,2.3815726298903748,3,0.6184273701096252
Siena,Gavin Doty,6,10,0.6,9.986167853067302,15,5.013832146932698,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,11.425930959080917,16,4.574069040919083
Siena,Brendan Coyle,5,8,0.625,7.783053161010843,12,4.216946838989157,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,9.222816267024458,13,3.7771837329755424
Siena,Justice Shoats,7,17,0.4117647058823529,15.946971421843962,15,-0.946971421843962,0,0,0.0,0.0,0,0.0,15.946971421843962,15,-0.946971421843962
Siena,Antonio Chandler,1,3,0.3333333333333333,2.7993384106616928,2,-0.7993384106616928,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,4.239101516675308,3,-1.2391015166753077
Siena,Tasman Goodrick,2,3,0.6666666666666666,2.909476052852785,4,1.090523947147215,0,0,0.0,0.0,0,0.0,2.909476052852785,4,1.090523947147215
Siena,Francis Folefac,3,3,1.0,3.2015040948694287,6,2.7984959051305713,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,5.36114875388985,8,2.63885124611015
Siena,Isaiah Henderson,4,5,0.8,5.712560574514731,11,5.287439425485269,2,2,1.0,1.4397631060136147,2,0.5602368939863853,7.152323680528346,13,5.847676319471654
Siena,Christian Jones,2,6,0.3333333333333333,6.431643045749867,6,-0.4316430457498672,3,3,1.0,2.159644659020422,3,0.8403553409795781,8.59128770477029,9,0.4087122952297104
Siena,Mosi Clayton,0,2,0.0,2.2275434429371366,0,-2.2275434429371366,0,0,0.0,0.0,0,0.0,2.2275434429371366,0,-2.2275434429371366
Siena,Chris Torres,1,2,0.5,1.9607954459836119,2,0.039204554016388116,0,0,0.0,0.0,0,0.0,1.9607954459836119,2,0.039204554016388116
