Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Northern Kentucky,Ethan Elliott,0,6,0.0,6.926401260815942,0,-6.926401260815942,0,0,0.0,0.0,0,0.0,6.926401260815942,0,-6.926401260815942
Northern Kentucky,Dan Gherezgher,8,19,0.42105263157894735,18.944603373977113,23,4.055396626022887,4,4,1.0,2.879523403179419,4,1.120476596820581,21.824126777156533,27,5.175873222843467
Northern Kentucky,Tae Dozier,1,5,0.2,5.232117278918829,2,-3.232117278918829,0,0,0.0,0.0,0,0.0,5.232117278918829,2,-3.232117278918829
Northern Kentucky,Kael Robinson,8,16,0.5,16.611295900628335,18,1.3887040993716653,8,8,1.0,5.759046806358838,8,2.240953193641162,22.370342706987174,26,3.6296572930128264
Northern Kentucky,LJ Wells,5,9,0.5555555555555556,8.684052447202571,11,2.3159475527974287,3,4,0.75,2.879523403179419,3,0.12047659682058098,11.56357585038199,14,2.4364241496180092
Northern Kentucky,Donovan Oday,1,7,0.14285714285714285,6.768787841009983,2,-4.768787841009983,2,2,1.0,1.4397617015897095,2,0.5602382984102905,8.208549542599693,4,-4.208549542599693
Northern Kentucky,Donovan Rakotonanahary,2,2,1.0,2.0750644575830486,4,1.9249355424169514,0,0,0.0,0.0,0,0.0,2.0750644575830486,4,1.9249355424169514
Purdue Fort Wayne,Maximus Nelson,2,4,0.5,4.1612019090354995,6,1.8387980909645005,0,0,0.0,0.0,0,0.0,4.1612019090354995,6,1.8387980909645005
Purdue Fort Wayne,Corey Hadnot II,8,14,0.5714285714285714,13.992302098275447,18,4.007697901724553,7,13,0.5384615384615384,9.358451060333111,7,-2.3584510603331115,23.35075315860856,25,1.6492468413914416
Purdue Fort Wayne,DeAndre Craig Jr.,5,11,0.45454545454545453,12.044186688728734,13,0.9558133112712657,3,4,0.75,2.879523403179419,3,0.12047659682058098,14.923710091908154,16,1.0762899080918462
Purdue Fort Wayne,Darius Duffy,3,5,0.6,4.977118557778265,6,1.0228814422217347,0,0,0.0,0.0,0,0.0,4.977118557778265,6,1.0228814422217347
Purdue Fort Wayne,Mikale Stevenson,4,13,0.3076923076923077,12.464865194925872,9,-3.4648651949258724,2,2,1.0,1.4397617015897095,2,0.5602382984102905,13.904626896515582,11,-2.904626896515582
Purdue Fort Wayne,Ebrahim Kaba,1,3,0.3333333333333333,3.6499199549231562,3,-0.6499199549231562,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.089681656512866,5,-0.08968165651286597
Purdue Fort Wayne,Mason Shrout,1,3,0.3333333333333333,2.9696472313465403,2,-0.9696472313465403,0,0,0.0,0.0,0,0.0,2.9696472313465403,2,-0.9696472313465403
Purdue Fort Wayne,Yuval Levin,1,1,1.0,1.0177157738254645,2,0.9822842261745355,0,0,0.0,0.0,0,0.0,1.0177157738254645,2,0.9822842261745355
Purdue Fort Wayne,Deangelo Elisee,2,2,1.0,1.9880304789472065,4,2.0119695210527935,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,2.7079113297420614,4,1.2920886702579386
Purdue Fort Wayne,EJ Mosley,1,1,1.0,0.8150412372123073,2,1.1849587627876927,0,0,0.0,0.0,0,0.0,0.8150412372123073,2,1.1849587627876927
