Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Northwestern State,Landyn Jumawan,0,6,0.0,6.545587673586331,0,-6.545587673586331,0,0,0.0,0.0,0,0.0,6.545587673586331,0,-6.545587673586331
Northwestern State,Omar Adegbola,1,6,0.16666666666666666,6.533534582418435,3,-3.5335345824184348,0,0,0.0,0.0,0,0.0,6.533534582418435,3,-3.5335345824184348
Northwestern State,Izzy Miles,4,11,0.36363636363636365,10.548356465736031,10,-0.5483564657360311,4,6,0.6666666666666666,4.319285104769128,4,-0.3192851047691283,14.86764157050516,14,-0.8676415705051603
Northwestern State,Justin Redmond,6,13,0.46153846153846156,12.92520465607697,15,2.0747953439230304,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,13.645085506871824,15,1.3549144931281756
Northwestern State,Chris Mubiru,4,6,0.6666666666666666,5.781351453337335,10,4.218648546662665,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.221113154927044,12,4.778886845072956
Northwestern State,Micah Thomas,1,2,0.5,1.6927710261491733,3,1.3072289738508267,0,0,0.0,0.0,0,0.0,1.6927710261491733,3,1.3072289738508267
Northwestern State,Willie Williams,0,1,0.0,0.7223419670094834,0,-0.7223419670094834,0,0,0.0,0.0,0,0.0,0.7223419670094834,0,-0.7223419670094834
Northwestern State,Kordrick Turner,0,1,0.0,1.0309479312469736,0,-1.0309479312469736,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.470709632836683,2,-0.4707096328366829
Northwestern State,Moustapha Loum,1,1,1.0,1.0309479312469736,2,0.9690520687530264,0,0,0.0,0.0,0,0.0,1.0309479312469736,2,0.9690520687530264
Northwestern State,Chip Brunt,0,1,0.0,0.8003170161715768,0,-0.8003170161715768,0,0,0.0,0.0,0,0.0,0.8003170161715768,0,-0.8003170161715768
Northwestern State,Quentin Bolton,1,3,0.3333333333333333,3.3616927465589446,3,-0.36169274655894457,0,0,0.0,0.0,0,0.0,3.3616927465589446,3,-0.36169274655894457
McNeese,Larry Johnson,6,12,0.5,12.47532301714215,12,-0.4753230171421503,2,2,1.0,1.4397617015897095,2,0.5602382984102905,13.91508471873186,14,0.08491528126813996
McNeese,Garwey Dual,5,8,0.625,8.126612519482835,11,2.873387480517165,1,1,1.0,0.7198808507948548,1,0.28011914920514525,8.84649337027769,12,3.15350662972231
McNeese,Javohn Garcia,3,8,0.375,8.34184349462571,8,-0.34184349462571006,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.78160519621542,9,-0.7816051962154198
McNeese,Peitok Machar,2,4,0.5,4.174324308264897,4,-0.17432430826489664,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,6.333966860649461,6,-0.33396686064946124
McNeese,Jerrell Colbert,2,2,1.0,2.1823032817764716,4,1.8176967182235284,0,0,0.0,0.0,0,0.0,2.1823032817764716,4,1.8176967182235284
McNeese,Tyshawn Archie,5,10,0.5,10.56518802085871,12,1.4348119791412905,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.00494972244842,14,1.9950502775515808
McNeese,DJ Richards Jr.,3,6,0.5,6.538903887337648,8,1.4610961126623518,0,0,0.0,0.0,0,0.0,6.538903887337648,8,1.4610961126623518
McNeese,Jacolb Fredson-Cole,4,7,0.5714285714285714,6.640895612088151,8,1.3591043879118487,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.080657313677861,9,0.919342686322139
McNeese,Carl Cherenfant,5,6,0.8333333333333334,6.081637743767064,11,4.918362256232936,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,7.521399445356773,12,4.478600554643227
McNeese,Yanis Ndjonga,1,1,1.0,1.136976944499658,2,0.863023055500342,2,2,1.0,1.4397617015897095,2,0.5602382984102905,2.5767386460893675,4,1.4232613539106325
