Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
South Alabama,Adam Olsen,5,13,0.38461538461538464,12.953492969360404,14,1.0465070306395958,1,1,1.0,0.7198808507948548,1,0.28011914920514525,13.673373820155259,15,1.326626179844741
South Alabama,Peyton Law,3,6,0.5,5.874260911698801,6,0.12573908830119862,0,0,0.0,0.0,0,0.0,5.874260911698801,6,0.12573908830119862
South Alabama,Randy Brady,2,4,0.5,3.811427023841146,5,1.188572976158854,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.251188725430856,6,0.7488112745691442
South Alabama,Jayden Cooper,7,13,0.5384615384615384,12.771365377242153,19,6.228634622757847,0,0,0.0,0.0,0,0.0,12.771365377242153,19,6.228634622757847
South Alabama,Brian Hawthorne,0,3,0.0,3.172113172175073,0,-3.172113172175073,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.611874873764783,1,-3.6118748737647826
South Alabama,JJ Wheat,3,5,0.6,5.445461948423236,6,0.5545380515767642,4,5,0.8,3.599404253974274,4,0.4005957460257261,9.04486620239751,10,0.9551337976024907
South Alabama,Chaze Harris,1,7,0.14285714285714285,7.327838219740661,2,-5.327838219740661,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.76759992133037,3,-5.767599921330371
South Alabama,Stephen Williams,2,3,0.6666666666666666,3.183966397471842,4,0.816033602528158,1,4,0.25,2.879523403179419,1,-1.879523403179419,6.063489800651261,5,-1.0634898006512614
South Alabama,Hantz Louis-Jeune,0,1,0.0,1.1073568811359809,0,-1.1073568811359809,0,0,0.0,0.0,0,0.0,1.1073568811359809,0,-1.1073568811359809
East Tennessee State,Brian Taylor II,1,4,0.25,4.1898798760392,3,-1.1898798760391998,0,0,0.0,0.0,0,0.0,4.1898798760392,3,-1.1898798760391998
East Tennessee State,Blake Barkley,7,9,0.7777777777777778,9.393386166353714,15,5.606613833646286,5,5,1.0,3.599404253974274,5,1.4005957460257261,12.992790420327989,20,7.007209579672011
East Tennessee State,Jordan McCullum,5,8,0.625,8.680777875341704,10,1.319222124658296,0,0,0.0,0.0,0,0.0,8.680777875341704,10,1.319222124658296
East Tennessee State,Allen Strothers,0,3,0.0,2.9769794985576166,0,-2.9769794985576166,0,0,0.0,0.0,0,0.0,2.9769794985576166,0,-2.9769794985576166
East Tennessee State,Cam Morris III,5,8,0.625,7.638662850738698,10,2.361337149261302,0,0,0.0,0.0,0,0.0,7.638662850738698,10,2.361337149261302
East Tennessee State,Jaylen Smith,2,8,0.25,7.938416552115818,5,-2.938416552115818,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,9.378178253705528,5,-4.378178253705528
East Tennessee State,Maki Johnson,10,19,0.5263157894736842,20.960382303569798,29,8.039617696430202,0,0,0.0,0.0,0,0.0,20.960382303569798,29,8.039617696430202
East Tennessee State,Milton Matthews III,3,7,0.42857142857142855,7.305232855694679,8,0.6947671443053212,0,0,0.0,0.0,0,0.0,7.305232855694679,8,0.6947671443053212
East Tennessee State,Brayden Crump,0,3,0.0,2.960378830392987,0,-2.960378830392987,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.4001405319826965,2,-2.4001405319826965
East Tennessee State,Gabe Sisk,2,3,0.6666666666666666,2.8146447528572676,4,1.1853552471427324,0,0,0.0,0.0,0,0.0,2.8146447528572676,4,1.1853552471427324
