Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
South Carolina State,Cameron Clark,4,7,0.5714285714285714,6.574027710500599,8,1.4259722894994011,4,4,1.0,2.8795262120272294,4,1.1204737879727706,9.453553922527828,12,2.546446077472172
South Carolina State,Teon Tindal,0,1,0.0,0.8472807783515112,0,-0.8472807783515112,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,2.2870438843651257,0,-2.2870438843651257
South Carolina State,Florian Tenebay,2,5,0.4,3.8574485854350473,4,0.14255141456495268,0,0,0.0,0.0,0,0.0,3.8574485854350473,4,0.14255141456495268
South Carolina State,Jayden Johnson,3,10,0.3,10.232695882374887,8,-2.2326958823748875,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,11.672458988388502,9,-2.6724589883885024
South Carolina State,Owen Bronston Jr.,4,11,0.36363636363636365,12.696055073642196,11,-1.6960550736421958,0,0,0.0,0.0,0,0.0,12.696055073642196,11,-1.6960550736421958
South Carolina State,Chris Parker,4,11,0.36363636363636365,11.037758708417336,8,-3.0377587084173356,6,6,1.0,4.319289318040844,6,1.6807106819591562,15.35704802645818,14,-1.3570480264581803
South Carolina State,Derwin Hodge Jr.,1,3,0.3333333333333333,2.8326331446249187,2,-0.8326331446249187,0,0,0.0,0.0,0,0.0,2.8326331446249187,2,-0.8326331446249187
South Carolina State,Tim Okojie,0,1,0.0,0.7720852779099627,0,-0.7720852779099627,0,0,0.0,0.0,0,0.0,0.7720852779099627,0,-0.7720852779099627
South Carolina State,Noah Treadwell,2,8,0.25,9.369114042159405,5,-4.369114042159405,1,3,0.3333333333333333,2.159644659020422,1,-1.159644659020422,11.528758701179827,6,-5.528758701179827
South Carolina State,Rayniel Wright,0,3,0.0,2.502746253775923,0,-2.502746253775923,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,3.942509359789538,1,-2.942509359789538
South Carolina State,D'Shay Wright,0,2,0.0,1.6431728659885692,0,-1.6431728659885692,0,0,0.0,0.0,0,0.0,1.6431728659885692,0,-1.6431728659885692
Bethune-Cookman,Arterio Morris,5,12,0.4166666666666667,11.770219943022036,11,-0.7702199430220364,6,7,0.8571428571428571,5.039170871047651,6,0.9608291289523487,16.809390814069687,17,0.19060918593031317
Bethune-Cookman,Daniel Rouzan,7,11,0.6363636363636364,10.331387552685586,14,3.6686124473144144,1,1,1.0,0.7198815530068073,1,0.28011844699319266,11.051269105692393,15,3.948730894307607
Bethune-Cookman,Jakobi Heady,8,10,0.8,10.496052564354862,20,9.503947435645138,2,2,1.0,1.4397631060136147,2,0.5602368939863853,11.935815670368477,22,10.064184329631523
Bethune-Cookman,Seneca Willoughby,0,2,0.0,1.7267454754978175,0,-1.7267454754978175,0,0,0.0,0.0,0,0.0,1.7267454754978175,0,-1.7267454754978175
Bethune-Cookman,Quentin Heady,1,7,0.14285714285714285,6.852390335273485,3,-3.852390335273485,0,0,0.0,0.0,0,0.0,6.852390335273485,3,-3.852390335273485
Bethune-Cookman,Ariel Bland,2,6,0.3333333333333333,5.477162855657659,4,-1.4771628556576593,0,0,0.0,0.0,0,0.0,5.477162855657659,4,-1.4771628556576593
Bethune-Cookman,Rickey Mitchell Jr.,3,6,0.5,6.341591199061779,8,1.6584088009382212,0,0,0.0,0.0,0,0.0,6.341591199061779,8,1.6584088009382212
Bethune-Cookman,Tyler Andrews,2,4,0.5,4.026955304816247,4,-0.026955304816246972,0,0,0.0,0.0,0,0.0,4.026955304816247,4,-0.026955304816246972
Bethune-Cookman,Jordan Johnson,2,3,0.6666666666666666,2.8851165664007787,5,2.1148834335992213,0,0,0.0,0.0,0,0.0,2.8851165664007787,5,2.1148834335992213
Bethune-Cookman,Dailon Minor,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397631060136147,2,0.5602368939863853,1.4397631060136147,2,0.5602368939863853
