Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Stony Brook,Andrej Shoshkikj,0,3,0.0,3.0062955420710247,0,-3.0062955420710247,0,0,0.0,0.0,0,0.0,3.0062955420710247,0,-3.0062955420710247
Stony Brook,Quin Gorman,2,5,0.4,5.349754132271573,4,-1.3497541322715731,3,4,0.75,2.879523403179419,3,0.12047659682058098,8.229277535450992,7,-1.2292775354509917
Stony Brook,Richard Goods,7,15,0.4666666666666667,15.14844220230492,18,2.8515577976950794,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,16.58820390389463,19,2.4117960961053697
Stony Brook,Erik Pratt,7,16,0.4375,17.377886065349237,16,-1.3778860653492373,3,4,0.75,2.879523403179419,3,0.12047659682058098,20.257409468528657,19,-1.2574094685286568
Stony Brook,Rob Brown III,4,11,0.36363636363636365,11.469299710460517,10,-1.4692997104605166,2,2,1.0,1.4397617015897095,2,0.5602382984102905,12.909061412050226,12,-0.9090614120502263
Stony Brook,Toby Onyekonwu,4,6,0.6666666666666666,5.449552907710219,9,3.5504470922897813,0,0,0.0,0.0,0,0.0,5.449552907710219,9,3.5504470922897813
Stony Brook,Tomas Valentiny,0,5,0.0,5.327530243262133,0,-5.327530243262133,2,2,1.0,1.4397617015897095,2,0.5602382984102905,6.767291944851843,2,-4.767291944851843
Stony Brook,Oleg Kojenets,2,4,0.5,3.660598827531984,4,0.33940117246801593,0,0,0.0,0.0,0,0.0,3.660598827531984,4,0.33940117246801593
Stony Brook,Ethan Simmon,0,1,0.0,0.9358593063261234,0,-0.9358593063261234,0,0,0.0,0.0,0,0.0,0.9358593063261234,0,-0.9358593063261234
Stony Brook,Jonah Butler,1,2,0.5,2.6341803665045087,3,0.3658196334954913,0,0,0.0,0.0,0,0.0,2.6341803665045087,3,0.3658196334954913
Duquesne,John Hugley IV,8,15,0.5333333333333333,14.504579958094528,18,3.495420041905472,7,8,0.875,5.759046806358838,7,1.240953193641162,20.263626764453367,25,4.736373235546633
Duquesne,Jimmie Williams,6,9,0.6666666666666666,10.36644007512843,15,4.6335599248715695,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.80620177671814,17,5.19379822328186
Duquesne,Cam Crawford,2,6,0.3333333333333333,6.285369616942967,5,-1.2853696169429671,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,8.445012169327532,6,-2.4450121693275317
Duquesne,David Dixon,2,3,0.6666666666666666,3.2810790921670674,5,1.7189209078329326,2,3,0.6666666666666666,2.159642552384564,2,-0.15964255238456415,5.4407216445516315,7,1.5592783554483685
Duquesne,Jake DiMichele,1,4,0.25,4.413587901771465,2,-2.413587901771465,0,0,0.0,0.0,0,0.0,4.413587901771465,2,-2.413587901771465
Duquesne,Alex Williams,2,3,0.6666666666666666,3.1374250805481623,5,1.8625749194518377,0,0,0.0,0.0,0,0.0,3.1374250805481623,5,1.8625749194518377
Duquesne,Dom Aekins,1,2,0.5,2.0296977331154444,3,0.9703022668845556,0,0,0.0,0.0,0,0.0,2.0296977331154444,3,0.9703022668845556
Duquesne,Maximus Edwards,1,2,0.5,2.132668646813416,3,0.867331353186584,0,0,0.0,0.0,0,0.0,2.132668646813416,3,0.867331353186584
Duquesne,Jakub Necas,3,7,0.42857142857142855,7.0298110742743205,7,-0.029811074274320504,4,5,0.8,3.599404253974274,4,0.4005957460257261,10.629215328248595,11,0.37078467175140517
Duquesne,Stef van Bussel,0,0,0.0,0.0,0,0.0,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,0.7198808507948548,0,-0.7198808507948548
Duquesne,Tarence Guinyard,1,7,0.14285714285714285,6.813358640659674,2,-4.813358640659674,3,4,0.75,2.879523403179419,3,0.12047659682058098,9.692882043839093,5,-4.692882043839093
